input,emission_factor_tco2e_per_t_low,emission_factor_tco2e_per_t_high,basis,protein_share,cost_at_25_usd_per_t_product,cost_at_50_usd_per_t_product,cost_at_100_usd_per_t_product,cost_at_25_usd_per_t_protein,cost_at_50_usd_per_t_protein,cost_at_100_usd_per_t_protein,source_ids,evidence_label,confidence,foresight_type,horizon_year,notes
"Soybean meal, Argentina, no land-use change (Dalgaard et al. 2008)",0.72,0.72,"attributional LCA, delivered Rotterdam, no LUC",0.46,18,36,72,39,78,157,ECF-21; ECF-22,general,Medium,trend,n/a (measured factor),EF as cited by Wilke et al. 2023; no LUC. Carbon cost = EF x price; applies only if a price reaches embodied emissions (no instrument does so today).
"Soybean meal, Argentina, with land-use change (GFLI 2022 via Wilke et al. 2023)",4.09,4.09,"GFLI database, country-level LUC",0.46,102,204,409,222,445,889,ECF-22,general,Medium,trend,n/a (measured factor),GFLI 2022 value as cited; country-level LUC method. Carbon cost = EF x price; applies only if a price reaches embodied emissions (no instrument does so today).
"Soybean meal, origin mix in a German LCA dataset (Wilke et al. 2023)",4.42,4.42,study dataset incl. LUC,0.46,110,221,442,240,480,961,ECF-22,general,Low,trend,n/a (measured factor),Study dataset; origin mix not specified in excerpt. Carbon cost = EF x price; applies only if a price reaches embodied emissions (no instrument does so today).
"Soybean, Brazil exports average 2010-2015 (Escobar et al. 2020)",0.69,0.69,"spatially explicit, incl. LUC (one third); per t soy, applied to meal under mass allocation",0.46,17,34,69,38,75,150,ECF-23,general,High,trend,n/a (measured factor),"2010-2015 average; China-bound 0.67, EU-bound 0.77; per t soybean. Carbon cost = EF x price; applies only if a price reaches embodied emissions (no instrument does so today)."
"Soybean, Brazil Cerrado biome (Escobar et al. 2020)",1.00,1.00,as above,0.46,25,50,100,54,109,217,ECF-23,general,High,trend,n/a (measured factor),Biome average; per t soybean. Carbon cost = EF x price; applies only if a price reaches embodied emissions (no instrument does so today).
"Soybean, Brazil Matopiba frontier, up to 6x average (Escobar et al. 2020)",4.14,4.14,as above; 6 x 0.69,0.46,103,207,414,225,450,900,ECF-23,general,Medium,trend,n/a (measured factor),Paper: 'up to six times' the 0.69 average; 4.14 is our upper reading. Carbon cost = EF x price; applies only if a price reaches embodied emissions (no instrument does so today).
"Fishmeal, Peru anchoveta, ex-plant 2019-2021 (Deville et al. 2025)",0.29,0.32,energy allocation,0.65,7 to 8,14 to 16,29 to 32,11 to 12,22 to 25,45 to 49,ECF-24,general,High,trend,n/a (measured factor),Energy allocation; 2019 Coishco 0.292 +/- 0.027. Carbon cost = EF x price; applies only if a price reaches embodied emissions (no instrument does so today).
"Fishmeal, Peru, delivered to China (Deville et al. 2025)",0.53,0.56,ex-plant plus 0.239 transport,0.65,13 to 14,26 to 28,53 to 56,20 to 22,41 to 43,82 to 86,ECF-24,general,High,trend,n/a (measured factor),Adds 0.239 t CO2e per t for shipping to China. Carbon cost = EF x price; applies only if a price reaches embodied emissions (no instrument does so today).
"Fungal feed protein on cassava glucose, Vietnam, 2023 grid 0.6592 (ECF estimate)",2.06,5.26,"our estimate, part C; protein 55% at low end, 45% at high end",0.55 to 0.45,52 to 132,103 to 263,206 to 526,94 to 292,188 to 585,"375 to 1,170",ECF-25; ECF-26; COST-08; FTG,VN-direct,Low,estimate,2026 (current grid),Our estimate from ch09 input quantities; see ecf_calc.py part C. Carbon cost = EF x price; applies only if a price reaches embodied emissions (no instrument does so today).
"Fungal feed protein on cassava glucose, Vietnam, 2030 grid (FTG avg) 0.35 (ECF estimate)",1.78,4.31,"our estimate, part C; protein 55% at low end, 45% at high end",0.55 to 0.45,45 to 108,89 to 215,178 to 431,81 to 239,162 to 478,325 to 957,ECF-25; ECF-26; COST-08; FTG,VN-direct,Low,estimate,2030,Our estimate from ch09 input quantities; see ecf_calc.py part C. Carbon cost = EF x price; applies only if a price reaches embodied emissions (no instrument does so today).
"Fungal feed protein on cassava glucose, Vietnam, 2050 grid (FTG avg) 0.02 (ECF estimate)",1.49,3.28,"our estimate, part C; protein 55% at low end, 45% at high end",0.55 to 0.45,37 to 82,74 to 164,149 to 328,68 to 182,135 to 365,271 to 729,ECF-25; ECF-26; COST-08; FTG,VN-direct,Low,estimate,2050,Our estimate from ch09 input quantities; see ecf_calc.py part C. Carbon cost = EF x price; applies only if a price reaches embodied emissions (no instrument does so today).
"Power-to-protein (H2 route), Vietnam 2023 grid, electricity only (FTG)",29.90,29.90,FTG estimate per t protein x 0.65,0.65,748,"1,495","2,990","1,150","2,300","4,600",FTG; COST-08,VN-direct,Low,estimate,2026 (current grid),Electricity only; FTG per-protein figure x 0.65 protein share. Carbon cost = EF x price; applies only if a price reaches embodied emissions (no instrument does so today).
"Power-to-protein (H2 route), Vietnam 2030 grid, electricity only (FTG)",15.60,18.20,FTG estimate per t protein x 0.65,0.65,390 to 455,780 to 910,"1,560 to 1,820",600 to 700,"1,200 to 1,400","2,400 to 2,800",FTG; COST-08,VN-direct,Low,estimate,2030,Electricity only; FTG per-protein figure x 0.65 protein share. Carbon cost = EF x price; applies only if a price reaches embodied emissions (no instrument does so today).
"Power-to-protein (H2 route), Vietnam 2050 grid, electricity only (FTG)",0.72,0.91,FTG estimate per t protein x 0.65,0.65,18 to 23,36 to 45,72 to 91,28 to 35,55 to 70,110 to 140,FTG; COST-08,VN-direct,Low,estimate,2050,Electricity only; FTG per-protein figure x 0.65 protein share. Carbon cost = EF x price; applies only if a price reaches embodied emissions (no instrument does so today).
