record_id,study_or_observation,country,year,product,price_condition,value,unit,base_n,comparison,source_ids,evidence_label,confidence,demand_evidence_type,notes
WTP-01,GFI APAC and Good Growth price ladder,Vietnam,2023,plant-based meat versus meat (no product described),20% cheaper than meat,88,% choosing plant-based meat,1049,"six-country average 80%; TH 82, PH 87, MY 72, ID 84, SG 67",CON-02; ECO-23,VN-direct,Medium,stated,"Question: Imagine you were doing your grocery shopping and the following products were available that would suit the dish you were wanting to cook. Which would you purchase? GFI says answers indicate relative interest, not definitive WTP"
WTP-02,GFI APAC and Good Growth price ladder,Vietnam,2023,plant-based meat versus meat (no product described),Same price as meat,74,% choosing plant-based meat,1049,"six-country average 62%; TH 65, PH 73, MY 54, ID 66, SG 41",CON-02; ECO-23,VN-direct,Medium,stated,"Question: Imagine you were doing your grocery shopping and the following products were available that would suit the dish you were wanting to cook. Which would you purchase? GFI says answers indicate relative interest, not definitive WTP"
WTP-03,GFI APAC and Good Growth price ladder,Vietnam,2023,plant-based meat versus meat (no product described),20% dearer than meat,64,% choosing plant-based meat,1049,"six-country average 47%; TH 50, PH 56, MY 42, ID 44, SG 26",CON-02; ECO-23,VN-direct,Medium,stated,"Question: Imagine you were doing your grocery shopping and the following products were available that would suit the dish you were wanting to cook. Which would you purchase? GFI says answers indicate relative interest, not definitive WTP"
WTP-04,GFI APAC and Good Growth price ladder,Vietnam,2023,plant-based meat versus meat (no product described),50% dearer than meat,47,% choosing plant-based meat,1049,"six-country average 35%; TH 38, PH 44, MY 33, ID 30, SG 18",CON-02; ECO-23,VN-direct,Medium,stated,"Question: Imagine you were doing your grocery shopping and the following products were available that would suit the dish you were wanting to cook. Which would you purchase? GFI says answers indicate relative interest, not definitive WTP"
WTP-05,GFI APAC and Good Growth price ladder,Vietnam,2023,plant-based meat versus meat (no product described),100% dearer than meat,26,% choosing plant-based meat,1049,"six-country average 22%; TH 21, PH 30, MY 20, ID 23, SG 10",CON-02; ECO-23,VN-direct,Medium,stated,"Question: Imagine you were doing your grocery shopping and the following products were available that would suit the dish you were wanting to cook. Which would you purchase? GFI says answers indicate relative interest, not definitive WTP"
WTP-06,"GFI APAC and Good Growth, high-interest segments",Six SEA countries,2023,plant-based meat,Same price as meat,up to 76,% of high-interest segments choosing plant-based meat,5971,"Enthusiasts 76%, Curious 69%, Expanders 66%",CON-02,VN-adjacent,Medium,stated,
WTP-07,"Imported modern plant-based meat on shelf (Unconventional, Italy)",Vietnam (Ho Chi Minh City),2026,frozen burger and sausage,Posted retail price,"542,000 to 622,000",VND per 100 g of protein,2 SKUs,"Eggs and chicken breast VND 34,000 to 46,000; tofu VND 66,000; hydrated gluten or TVP analogues VND 112,000 per 100 g protein",FORM-01,VN-direct,High,revealed,"12 to 18 times chicken or eggs per unit of protein, far beyond the +20% point where stated interest falls to 64%"
WTP-08,Oat milk in speciality cafes,"Vietnam (Ho Chi Minh City, Hanoi)",2023,oat-milk coffee drinks (Oatside),Upcharge per cup versus cow milk,"10,000 to 15,000",VND per cup,about 100 cafes,"Cafe chains named: Là Việt, %Arabica, Kohibito, Rifine, The Little Cam",CON-35,VN-direct,Medium,revealed,Premium paid at the point of sale; volumes not known
WTP-09,Oatside retail versus domestic cow milk,Vietnam,2023,oat milk 1 L,Posted retail price,"75,000 to 85,000 (oat) versus 33,000 to 45,000 (cow milk)",VND per litre,not applicable,Oat milk 1.7 to 2.6 times cow milk (our arithmetic),CON-35,VN-direct,Medium,revealed,"By 2026 Oatside listed at VND 59,900 per litre at Nam An (FORM-01)"
WTP-10,Plant milk shelf price ladder (retail audit),Vietnam (Nha Trang and Ho Chi Minh City),2026,"Fami soy milk, 1.2 L (Lotte Mart Go Vap)",Posted retail price,"22,900",VND per litre,1 or more SKUs,"Domestic cow milk VND 33,000 to 45,000 per litre in 2023 (CON-35)",FORM-01,VN-direct,High,revealed,"2.5 g protein per 100 ml. Posted prices show what retailers stock, not sales"
