where,current,proposed,evidence_source_ids,strength,type
"ch25.6 table, row 'Higher-protein chay product', column 'First route'; channel_ranking.csv CRK-004","Modern frozen chay sections of the two big chains and Co.op, Lotte, GO!","Two first routes: incumbent chay brands in modern frozen sections, and retailer private label made by an existing certified co-packer (Co.op Select through GN Foods, which makes all five Co.op Select frozen chay dishes; Lotte Mart Choice L). We found no chay private label at WinCommerce (one store checked online) or AEON Topvalu. Add CRK-015 for the private-label route.",CPC-15; CPC-16; CPC-17; CPC-18; AIB-28; AIB-29; FORM-01; ECO-35; CPC-19; CPC-20,moderate,adds
"ch25.6 table, row 'Textured plant protein ingredient', column 'Second route'; channel_ranking.csv CRK-002",Contract caterers for factory canteens,"Contract caterers, reached through makers of dry chay pieces and HoReCa distributors (Kamereo, MM Mega Market) that already sell tofu and dry soy-gluten pieces to kitchens. The price to beat is domestic dry soy-gluten pieces at VND 135,000 per kg (about VND 20,000 to 25,000 per 100 g protein if 53 to 67 g protein) and tofu at about VND 36,000 to 48,000 per 100 g protein, not only the VND 7,500 to 14,000 dish budget.",CPC-12; CPC-13; CPC-14; FORM-01; DIE-12,moderate,updates
"ch25.6 table, row 'Premium modern analogue', column 'Not first'; channel_ranking.csv CRK-007 notes","Mass retail, canteens, schools","Mass retail, canteens, schools, and B2B foodservice distribution: CP Meat Zero, imported from Thailand, was listed on Kamereo at VND 175,000 to 378,000 per kg against CP minced pork at VND 114,450, shows 386 units sold across 8 SKUs and was not orderable on 25 September 2026.",AIS-25; CPC-12; CPC-13,moderate,strengthens
"ch25.4 verdict and ch25.6 row 'Premium modern analogue', second route ('four and five star hotels as showcase'); channel_ranking.csv CRK-009","Hotels are a showcase, not a volume channel; no hotel group named","Keep 'showcase, not volume' and name Accor as the one hotel group whose published target binds its Vietnamese hotels: 50% vegetarian or plant-based dishes by 2030 (Novotel 25% by 2026), 43 hotels in October 2024. The metric counts dishes and can be met with vegetables and tofu; Accor's 2025 cage-free pledge was 'not yet achieved in Asia'.",AFN-40; AFN-41; AFN-18,moderate,adds
ch25.2 (new closing paragraph 'Corporate commitments') and AD.3,"No mention of corporate plant-based, protein or welfare commitments","Add: corporate commitments are not a volume lever in Vietnam in 2026. Only Accor's dish target binds Vietnamese units; Marriott's 2026 to 2030 goals omit food; IHG, Hilton and Minor have cage-free pledges with slow Asian delivery (IHG EAPAC 4.1% of hotels aligned in 2024; Hilton APAC managed 42% in 2025; Minor Asia Pacific hotels 13% in 2025); Sodexo's group target is low-carbon dishes and its Vietnamese operation is unconfirmed; Lever Foundation, which turns such pledges into procurement ratios in Asian hotels and caterers, lists no Vietnamese programme.",AFN-40; AFN-18; CPC-01; CPC-02; CPC-03; CPC-04; CPC-05; CPC-07; CPC-08; AIB-38; CPC-10; AFN-39,moderate,adds
ch26.6 'Novel protein: a clean negative',"We found no Vietnamese food company piloting mycoprotein, precision-fermented dairy protein or a hybrid meat product using a novel protein.","Add: nor does any Vietnamese protein buyer publish an alternative-protein or protein-diversification target. FAIRR (2024) records Vinamilk's plant-based products at 1.30% of its range with no timebound target; ARE's APB 100 (February 2026) places Vinamilk in Tier 3, Masan Tier 4, Vinh Hoan Tier 5 and Minh Phu and Nam Viet Tier 6, and finds only 2 of 100 Asian buyers publishing alternative-protein sourcing targets. CP Foods sells Meat Zero with no quantified target.",AFN-21; AFN-18; AIB-12; AIB-19,strong,strengthens
ch26.5 'How ingredients are bought',"Distributors VMC, TDGIMEX, Brenntag and Barentz; Fi Vietnam exhibitors","Add: ACC (Asia Ingredients Group) has marketed Angel Yeast's yeast protein (55 to 90% protein, company claim) to Vietnamese makers since May 2025 with sampling and application support; no price or named user is public. Kitchens buy plant protein through HoReCa distributors: Kamereo lists 37 tofu SKUs and dry soy-gluten pieces; MM Mega Market lists about 39 chay prepared foods and 31 tofu items.",AIS-38; CPC-21; CPC-22; CPC-12; CPC-13; CPC-14,moderate,adds
ch26.7 buyer map and buyer_map.csv,BM-01 to BM-20; BM-04 says no plant-based product or statement from C.P. in Vietnam,"Add BM-21 (Co.op Select with GN Foods), BM-22 (Lotte Mart Choice L), BM-23 (Kamereo), BM-24 (MM Mega Market), BM-25 (Accor hotels in Vietnam), BM-26 (ACC); update BM-04 (Meat Zero reached Vietnamese B2B and is not orderable; CPF Vietnam revenue THB 101.3 billion, food THB 8.2 billion) and BM-09 (Vinamilk plant-based 1.30% of range, no target). Rows in data_buyer_map_additions.csv.",CPC-12; CPC-15; FORM-01; AIS-26; CPC-14; AFN-40; AFN-41; CPC-21; AIB-19; AFN-21,moderate,adds
target_product_profiles.csv TPP-01 first_buyers,"Chay makers; frozen chay co-packers (Cholimex, CJ Cau Tre, Vissan chay lines); Acecook (noodle garnish); contract caterers","Add retailer co-packers (GN Foods for Co.op Select) and makers of dry chay pieces already sold to kitchens (for example Panko, An Nhien); change 'contract caterers' to 'contract caterers through HoReCa distributors'.",CPC-15; CPC-12; CPC-14,moderate,adds
"target_product_profiles.csv TPP-02 first_buyers, price_target and cheapest_first_test; ch29.2 table row TPP-02",First buyers: consumers through incumbent chay brands and retailer private labels (no retailer named; ch29.2 names brands only). First test: reformulate one top SKU; in-store test in 20 minimarts.,"Name the private-label buyers: Saigon Co.op (Co.op Select, made by GN Foods) and Lotte Mart (Choice L); private-label chay sells at VND 107,800 to 141,500 per kg. First test: pitch a 10 g per 100 g version of an existing Co.op Select chay SKU with GN Foods through Co.op's supplier portal (answer within 10 working days), then the minimart repeat test.",CPC-15; CPC-17; CPC-18; FORM-01; AIB-28,moderate,adds
