where,current,proposed,evidence_source_ids,strength,type
front-exec-summary (Startups); ch29.6 (Startups); brief-startups,Win a first business customer before building a consumer brand,"Sell a familiar food with little capital, and aim first for ingredient, private-label or co-packing supply to incumbents. A restaurant menu listing for your own analogue brand is not a business customer: in the region such firms mostly went quiet or pivoted. No founder has yet tested the ingredient route, so treat it as the hypothesis to test, not a proven path.",data_firm_outcomes.csv; AIS-28; AIS-29; BRD-08; BRD-09; BRD-10; BRD-14; BRD-15,moderate,corrects
ch25.7 (Startups bullet),"A signed channel partner (a chain, an integrated meat group, a caterer) is worth more than a brand plan",Add: if the partner buys your product as an ingredient or under its own label; menu placements of a branded analogue did not keep regional firms alive,data_firm_base_rates.csv,weak,updates
"brief-startups, demand side",No firm base rates,"Add a box: of 24 regional and Vietnamese firms (2019 to 2026), 7 active, 4 pivoted, 2 exited, 11 dormant; every pivot moved to private label, co-manufacturing or non-food; Vietnamese analogue startups 0 of 4 active, traditional-format makers 3 of 3",data_firm_base_rates.csv,weak,adds
ch23.7,Abroad evidence is sales and panel data,"Add the regional firm record (TiNDLE to private label; GOOD Meat and Vow pivoted; Karana, Float Foods, Phuture dormant) as revealed firm behaviour",AIS-28; AIS-37; NOV-12; BRD-08; BRD-09; BRD-10,moderate,adds
launches_exits.csv LE-12 (VMEAT),Unknown after 2022,Dormant: no evidence after 2022; news-site search and company site checked 25 Sep 2026,BRD-18; BRD-19,moderate,updates
launches_exits.csv (new rows and column),Emmay and Ong Tempeh absent; no first-channel field,"Add Emmay (Nam Tuoi Cuoi; mushroom floss and fillings; supermarkets and distributors; active) and Ong Tempeh (tempeh; direct, e-commerce and hotels; active); add a first_channel_class column",AIS-39; AIS-40; AIS-43,moderate,adds
ch22.1; demand_assumptions.csv DMA-024 note,No probability survey asks about diet,"No probability survey asks about chay. The Diet Quality Questionnaire (Gallup, 1,007 adults, 13 Nov to 12 Dec 2021) found 7.9% (5.3 to 11.0%) ate no meat, poultry or fish on the previous day, a ceiling for chay-day person-days",APR-36; BRD-01; BRD-03,strong,corrects
ch22.6 displacement arithmetic,Illustrative range 1.3 to 6.7% of person-days,Keep 2.5% central; state that the flesh-free ceiling makes about 5% the practical upper bound,APR-36; BRD-01,moderate,updates
ch22.1 rejected claim of 10% vegetarian,Rejected for lack of a survey,"Add: national diet data contradict it (7.9% flesh-free person-days, upper bound 11.0%)",APR-36,moderate,strengthens
ch22.3 soybeans for food,"About 550,000 t, roughly 5 kg per person (USDA)","Add FAO cross-check: 533,000 t and 5.31 kg per person (2023)",DIE-07,strong,strengthens
ch21 or ch23.5,No national frequency of plant-protein eating,"Add: 40.0% of adults ate dried beans, soybeans, tofu, soy milk or bean flour on the previous day (2021), with no urban and rural gap",APR-36; BRD-01,moderate,adds
ch28 R3; demand_assumptions.csv DMA-059,5% processed share; no national figure found,"No numerical change. Note: national diet surveillance counts processed-meat days (18.1%) but omits giò and chả, so it cannot test R3",APR-36; BRD-01,weak,adds
ch26.1,3504 jump fits feed-grade proteins better than food isolates (not verified),Add monthly evidence: no lunar timing; USD 1.03 per kg against China 2.44 average; Viet Nam customs recorded only 38% of China Oct to Dec 2023 value as 3504; 2106.10 by contrast rises 33% before Vu Lan in 5 of 6 years,BRD-05; BRD-06,moderate,strengthens
demand_assumptions.csv DMA-004,"90%, 40% and 70% of 2106.10, 3504 and 1109 to food; pool 40 kt (30 to 50)","Note that monthly evidence points to about 20% for 3504 and a pool near 35 kt, the lower half of the range; keep the range",BRD-05; BRD-06; BUY-02,weak,updates
ch22.7 Build for the calendar; brief-startups,Plan for two to three times normal demand in lunar months 1 and 7,Add for ingredient makers: imports of textured protein rise about a third in the two months before the Vu Lan month and fall to about 40% of normal in the Tet month,BRD-05; BRD-06,moderate,adds
"open_questions.csv OQ-168, OQ-189; demand_moves.csv DMV-01",A chay-day question in a new probability survey,Add a cheaper first step: ask the Global Diet Quality Project or Gallup to tabulate the 2021 flesh-free share by the lunar date of the recall day,BRD-03,moderate,adds
