record_id,name,country,operator,type,capacity,food_grade,open_to_third_parties,status_2026,source_ids,evidence_label,confidence,notes
FR-001,"ScaleUp Bio commercial pilot plant (LOGOS Food21, 21 Tuas West Drive)",Singapore,"ScaleUp Bio Pte Ltd (shareholders ADM and, from Mar 2026, Fusionopolis Ventures/EDIS)","Precision and biomass fermentation CDMO, pilot to small commercial","Up to 10,000 L fermentation plus downstream (2024 figures)",Yes: SFA food manufacturing licence May 2024,"Yes, foreign clients (named 2024 clients from Australia, US, Malaysia, Singapore)","Operating; Mar 2026 said operations 'consolidated' in Tuas and scope widened to pharma, cosmetics, specialty chemicals and energy",RGN-10; RGN-11; RGN-12; RGN-13; RGN-14,VN-adjacent,High,"Original JV of Nurasa (Temasek) and ADM. Mar 2026 releases name only ADM and Fusionopolis Ventures; Nurasa exit not confirmed. Named clients 2024: Nourish Ingredients, C16 Biosciences, Ultimeat, Allium Bio, Allozymes, Algrow Biosciences; LOIs Terra Bioindustries, Argento Labs. 2026 capacity not restated."
FR-002,"ScaleUp Bio - A*STAR SIFBI fermentation joint lab (Food Tech Innovation Centre, Biopolis)",Singapore,ScaleUp Bio with A*STAR SIFBI,Process development lab,Up to 100 L,Food-application standard (claimed),Yes,Operating,RGN-10; RGN-11; RGN-13,VN-adjacent,Medium,
FR-003,Esco Aster,Singapore,Esco Aster Pte Ltd,Cell culture CDMO (cultivated meat and cell/gene therapy),"Target 50,000 L announced 2021 (claimed, not verified built)","Yes: SFA food processing licence for cultured animal cells (dated 28 Jul 2021, announced 15 Sep 2021); ISO 22000 (2022)",Yes,"Operating; 2025-2026 news almost all cell therapy, regenerative medicine and exosomes; food activity limited to BioGarage accelerator (ImpacFat, Oct 2025)",RGN-15; RGN-16,VN-adjacent,Medium,"Treat as low-volume option for cultivated pilots, not a scale plant."
FR-004,Cell AgriTech,Singapore / Penang (Malaysia),Cell AgriTech,Cultivated meat and seafood CDMO,Not disclosed; Penang capacity mentioned for regional supply,Not verified,Yes (Aleph Farms CDMO agreement Jan 2026),Producing initial volumes for Aleph Farms; volumes to grow through 2028 (Aleph statement),RGN-30; RGN-31,VN-adjacent,Low,Company website unreachable this wave.
FR-005,EECi Biorefinery Pilot Plant,"Thailand (Wangchan, Rayong)",IBIG / NSTDA at Eastern Economic Corridor of Innovation,Biorefinery and fermentation pilot plant,"12 fermenters incl. 2 x 15,000 L, full downstream (filters, centrifuges, dryers, evaporators, chromatography)",Not stated,"Yes: process development, scale-up, contract manufacturing, tech transfer offered to enterprises",Operating (opening date not stated),RGN-36,VN-adjacent,Medium,Largest verified open pilot fermentation capacity near Vietnam. Food-grade status and foreign-client terms: ask EECi directly.
FR-006,Food Innopolis food pilot plant,"Thailand (Thailand Science Park, Pathum Thani)",Food Innopolis (government agency under NSTDA/MHESI),"Food processing pilot plant, Future Food Lab",Not stated,Not stated,Services offered; foreign access not stated,Operating,RGN-37,VN-adjacent,Low,
FR-007,Thai GMP precision fermentation pilot plant (planned),Thailand,MHESI / NXPO framework,"Precision fermentation pilot plant, GMP",Not stated,Planned GMP,Planned as shared national infrastructure and CDMO network,Planned under 2026-2035 framework,RGN-35,VN-adjacent,Medium,
FR-008,BBGI biotechnology plant (with Fermbox Bio),Thailand,BBGI Public Co. (Bangchak group) with Fermbox Bio (India),Synthetic biology / precision fermentation manufacturing; linked to Aleph Farms' Thai plans,Not verified,Not verified,Was to serve partners,SET announcement dated 22 Sep 2026 titled 'Notification of the Termination of the Biotechnology Plant Construction Project' (content not readable),RGN-38; RGN-29; RGN-32,VN-adjacent,Low,Green Queen (4 Aug 2026) still described a Thai factory under construction with BBGI and Fermbox Bio. Termination notice needs reading before use.
FR-009,"Angel Yeast yeast protein plant (Yichang, Hubei)",China,Angel Yeast,Yeast protein (biomass fermentation),"11,000+ t/yr; second plant to 20,000 t (GFI report) or 30,000+ t (GFI article)","Yes (NHC-approved yeast protein, per GFI)",Own products; not a CDMO,Operating since late 2024/2025,RGN-20; RGN-24; RGN-25,general,Medium,Expansion figure differs between two GFI sources; both recorded.
FR-010,Fushine Biotech mycoprotein plant (Jingdezhen),China,Fushine Biotech,Mycoprotein (biomass fermentation) and CDMO,"1,200 t/yr expanding to 20,000 t/yr",Yes (NHC mycoprotein approval),"Yes, described as CDMO",Expanding,RGN-23; RGN-24,general,Medium,
FR-011,More Meat / Guangzhou Shuangqiao mycoprotein JV (Guangzhou),China,More Meat with Guangzhou Shuangqiao,Mycoprotein,"20,000 t/yr",Not verified,Not stated,Construction from mid-2025; first commercial runs June 2026,RGN-24,general,Medium,"Guangzhou Shuangqiao is a starch-sugar maker, a natural buyer of cassava starch."
FR-012,Cabio Biotech,China (Wuhan),Cabio Biotech,Fermentation (fats/oils) CDMO partner,"'Capacity to formulate 170,000 t of finished products' (claim)",Yes (food ingredients),"Yes (Nourish Ingredients, Australia)",Operating,RGN-23; RGN-24,general,Low,"Capacity figure is a partnership claim, not a fermenter volume."
FR-013,JSPC (Jiangshan Pharmaceutical),China,JSPC,Pharma CDMO repurposed for food (microalgae protein),Not disclosed,Not verified,"Yes (Nutrition from Water, Portugal: tech transfer Dec 2025, commercial run May 2026)",Operating,RGN-24,general,Medium,Client quote: 'two times as long and double the cost' elsewhere.
FR-014,Uiseong cultivated meat research centre (Gyeongbuk),South Korea,Public (Uiseong County / Gyeongbuk),Shared cultivated meat scale-up and regulatory support centre,"2,660 m2; KRW 14.5 bn",Planned,Planned for industry use,Opening expected 2027,RGN-19; RGN-21,VN-adjacent,Medium,Related: Cell Culture Industry Support Center opened 2023 in the same special zone.
FR-015,Vow production line,Australia (location not verified),Vow,Cultivated meat,"22,000 L line, described as the largest food-grade cell culture bioreactor globally (claim)",Yes (claimed),Used for Parima runs (per GFI),Operating,RGN-28,general,Low,Claimed cost below USD 50/kg finished product; not independently verified.
FR-016,"Liberation Bioindustries (ex-Liberation Labs), Richmond, Indiana",United States,Liberation Bioindustries,Precision fermentation contract manufacturing,"Not stated on website (earlier public figure ~600,000 L, not verified this wave)",Intended food-grade,Yes,Rebranded Jun 2025; open to customer inquiries 2026,RGN-42,general,Low,Reference point for 'purpose-built' PF capacity.
