record_id,market,category,metric,value,unit,year,trend,data_provider,source_ids,evidence_label,confidence,demand_evidence_type,notes
DM-01,Global,"Plant-based meat, seafood, milk, yoghurt, ice cream, cheese",Retail sales,28.9,USD billion,2025,Up 3% on 2024 (including inflation),Euromonitor via GFI,EXP-03; EXP-01,general,High,revealed,Non-dairy (dairy alternatives) USD 22.7bn; milk alternatives USD 18.2bn (EXP-01).
DM-02,Global,Plant-based meat and seafood,Retail sales,6.6,USD billion,2025,"Up 8% nominal, 4% real; volume up 3%",Euromonitor via GFI,EXP-03; EXP-01; EXP-10,general,High,revealed,vegconomist gives USD 6.8bn (EXP-04); GFI figure preferred. 2024: USD 6.1bn (EXP-44).
DM-03,Europe,Plant-based meat and seafood,Retail sales,3.6,USD billion,2025,Growth driven by Europe,Euromonitor via GFI,EXP-10,general,High,revealed,Europe plus North America about 83% of global plant-based meat and seafood retail.
DM-04,By region,All plant-based categories,Retail sales,Europe 10.1; Asia-Pacific 9.2; North America 6.9,USD billion,2025,n/a,Euromonitor via GFI,EXP-01,general,Medium,revealed,Secondary summary of GFI report.
DM-05,Asia-Pacific,Dairy alternatives share of plant-based sales,Share (derived),at least 88,%,2025,n/a,Our derivation,EXP-01; EXP-10,general,Low,inferred,"Derived: regions outside Europe and North America hold about 17% (USD 1.1bn) of plant-based meat and seafood, so at most USD 1.1bn of APAC's USD 9.2bn is meat and seafood."
DM-06,United States,All plant-based foods,Retail dollar sales,7.9,USD billion,2025,"Down 2% in value, 3% in units; down about 7% in value since 2023",SPINS via GFI,EXP-02,general,High,revealed,60% of households bought plant-based foods; 78% repeat.
DM-07,United States,Plant-based meat and seafood,Retail dollar sales,1.0,USD billion,2025,"Down 10% in value, 11% in units; down 17% value and 21% units since 2023",SPINS via GFI,EXP-02,general,High,revealed,Household penetration 11%; repeat rate above 60%; average household bought about once a month.
DM-08,United States,Plant-based meat,Retail dollar sales,1.2,USD billion,2024,"Down 7% in value, 11% in units",SPINS via GFI and PBFA,EXP-44,general,Medium,revealed,Frozen USD 782.3m and refrigerated USD 349.7m in 52 weeks to 20 April 2025.
DM-09,United States,Plant-based meat,Average items per store,9.7,items,April 2025,Down 10.3% year on year and 31% since early 2021,SPINS via press,EXP-44,general,Medium,revealed,Shelf space contraction.
DM-10,United States,Plant-based milk,Retail dollar sales,2.7,USD billion,2025,"Down 2% in value, 5% in units",SPINS via GFI,EXP-02,general,High,revealed,13% of all milk dollar sales. Green Queen gives USD 2.5bn (EXP-01); GFI primary figure preferred.
DM-11,United States,"Soy milk; coconut milk; chunks, shreds and strips",Growth,+4%; +27%; +8% units,%,2025,Growing,SPINS via GFI (secondary),EXP-01,general,Medium,revealed,Formats and bases closest to Vietnamese capabilities.
DM-12,United States (foodservice),Plant-based proteins,Growth,-5,%,2024,Falling,Circana via press,EXP-44,general,Medium,revealed,"Plant-based milk in foodservice +9% in dollars, +6% volume."
DM-13,"Six European countries (France, Germany, Italy, Netherlands, Spain, UK)",All plant-based (up to six categories),Retail sales value,"4,748.7",EUR million,2025,"Up 3.3% from EUR 4,595.1m in 2024",Circana via GFI Europe,EXP-05,general,High,revealed,Sum of country values.
DM-14,Six European countries,All plant-based,Retail sales volume,"1,572.8",million kg,2025,"Up 4.8% from 1,500.4 million kg in 2024",Circana via GFI Europe,EXP-05,general,High,revealed,Our sum of GFI Europe country volumes; an automated summary gave -1.7% in error.
DM-15,Germany,All plant-based,Retail sales value,"1,709.7",EUR million,2025,"Up 3.1% in value, 6.2% in volume",Circana via GFI Europe,EXP-05,general,High,revealed,Private-label plant milk cheaper than private-label dairy milk; 60% of plant milk volume.
