record_id,question_id,actor_ids,audience,question,decision_it_informs,part_vi_coverage,where_in_part_vi,evidence_strength,better_answer_changes_decision,decision_value,notes
AFN-Q01,AFN-Q01,AFN-A02; AFN-A01,international,"Is there a Vietnamese public body that buys meals at scale (schools, factory canteens, hospitals, army) with a named decision-maker, a reason to move and a window in 2026 to 2028, that could procure an innovative protein product rather than a whole-food dish?",Whether a market-shaping funder backs procurement advocacy in Vietnam or keeps to Japan and Korea,partly,"ch15.3; app-d4 D4.4; ch25.4 DMV-17; OQ-219, OQ-220, OQ-228",moderate,yes,High,"Part III sizes schools (Hanoi) and canteens and cites Dispatch 64, but gives no decision-maker or window map, misses Decision 973/QĐ-TTg (School Health Programme 2026 to 2035), and has no data on hospitals or the army."
AFN-Q02,AFN-Q02,AFN-A02; AFN-A09; AFN-A10; AFN-A12; AFN-A17,international,"Which retailers, caterers and hotel groups operating in Vietnam have published protein-diversification, plant-based sales or plant-based menu targets, and how are they measured?",Whether 'retailer and corporate commitments' is a live lever in Vietnam,not answered,ch15.1 to 15.2 list chains and meat-free trials only,none,yes,High,"Accor's 50% vegetarian or plant-based dishes target (all hotels, 2030) covers 43 Vietnamese hotels (AFN-40, AFN-41); ARE scores five Vietnamese buyers (AFN-18). Part III mentions neither."
AFN-Q03,AFN-Q03,AFN-A09; AFN-A10,investors,"What share of Vinamilk's, Masan's and other listed Vietnamese protein buyers' sales or ranges is plant or alternative protein, and has any set a sourcing target?",Which Vietnamese companies investors engage and what they ask for,partly,ch16.3 (Vinamilk pea protein; Masan no plant product); ch16.6; ch13.5,moderate,maybe,Medium,"FAIRR 2024: Vinamilk plant-based 1.30% of product range, no timebound target (AFN-21). APB 100: Vinamilk in Tier 3 (AFN-18)."
AFN-Q04,AFN-Q04,AFN-A02; AFN-A01,international,"Would an advance market commitment or public purchase of domestic textured plant protein (TPP-01, TPP-04) at the Chinese landed price pull a first plant, and how many tonnes would it have to cover?",Design and size of a demand-pull instrument for Vietnam,partly,"ch18.3 (R1 about 11.6 kt protein by 2035; about 7,000 t offtake per 1 t per hour line); ch16.2; ch25.2 TPP-01, TPP-04",weak,yes,High,"Part III gives the offtake a line needs and the price to beat, but no instrument design and no view on whether a funder would class textured soy as 'innovative protein' rather than whole food."
AFN-Q05,AFN-Q05,AFN-A01,research,"Is there demand from Vietnamese buyers or exporters for plant-based or fermented catfish, tilapia or shrimp analogues that would turn fish-flavour research into industry uptake?",Whether Vietnamese applicants can show a 'credible pathway to industry uptake' in the fish-flavour topic,partly,ch17.7 (plant-based seafood the weakest export bet); ch11.3 (shrimp price headroom); ch14.1,moderate,maybe,Medium,
AFN-Q06,AFN-Q06,AFN-A01; AFN-A04,research,"In Vietnamese dishes (toppings, fillings, rolls), is taste or price the binding barrier for plant and fermented proteins?",Whether taste R&D is the right lever for Vietnam,partly,"ch11.3 (price ladder, revealed); ch13.3 (stated: least interest in meat-like taste); ch14.4; OQ-197",moderate,maybe,Medium,Price evidence is strong and revealed; taste evidence in Vietnamese formats is absent (no tested study).
AFN-Q07,AFN-Q07,AFN-A05; AFN-A01,manufacturers,"Will a Vietnamese processor or foodservice chain launch plant-enhanced meat at price parity in 2026 to 2028, and who would make it?",GFI APAC corporate engagement targets; investors' pipeline for extender ingredients,partly,"ch14.4; ch16.3 (Vissan 31% of formulations list soy protein); ch15.6; DMV-03, DMV-14",moderate,yes,High,Revealed evidence covers conventional binders only; no processor interest in novel extenders found.
AFN-Q08,AFN-Q08,AFN-A05,startups,"Does a high-protein claim (giàu đạm) sell to Vietnamese adults, as GFI APAC's 'protein maximisation' positioning assumes?",Product specification and messaging,partly,ch11.8 ('do not sell more protein to adults'); ch13.5 (high-protein nut milk); ch13.8; DMV-04,weak,maybe,Medium,Part III and GFI APAC agree on protein density in meat-replacing formats; they differ on protein as the pitch.
AFN-Q09,AFN-Q09,AFN-A05; AFN-A04; AFN-A07,international,What would a probability sample including rural and older people show against the online-panel figures funders cite for Vietnam (74% choose at parity; 15% intend to cut meat)?,Whether funders should keep citing Decoding Demand for Vietnam,partly,ch13.1; ch14.6,weak,maybe,Medium,Part III flags the gap clearly but cannot close it.
AFN-Q10,AFN-Q10,AFN-A07,research,"Which Vietnam-specific acceptance and nutrition studies (20 to 30% blends in giò lụa, okara protein, protein quality) could the Bezos Centre at NUS co-run with Vietnamese institutes?",Partnership scoping for research funders,partly,"ch25.4 DMV-03, DMV-04; ch14.6 (HUST as partner)",weak,maybe,Medium,
AFN-Q11,AFN-Q11,AFN-A07; AFN-A08,investors,Is there a Vietnam-based or Vietnam-focused alternative-protein startup at TRL 7 to 9 with a named commercial partner?,Whether accelerators and startup competitions scout Vietnam,partly,ch13.5 (VMEAT inactive after 2022); ch16.6 (no novel-protein pilots); ch08,moderate,no,Low,Part III's clean negative is adequate for this decision.
AFN-Q12,AFN-Q12,AFN-A11; AFN-A12; AFN-A13,international,"How many meals a year could a plant-forward or blended menu commitment by one large Vietnamese caterer or hotel group shift, and at what cost per meal replaced?",Whether diet-change funders allocate to Vietnam rather than Thailand or Indonesia,partly,"ch15.3 (up to 1.2 billion canteen meals; caterers serve 30,000 to 120,000 meals a day); ch18.2 R4; DMV-05",weak,yes,High,Benchmark: ACE estimates 3.4 meals replaced per USD for Sinergia's institutional work (AFN-26). Part III gives no cost per meal replaced.
AFN-Q13,AFN-Q13,AFN-A11,international,"Which Vietnamese institutions took part in Humane World's 2025 plant-based chef and nutritionist training, and did any commit to menu shifts?",Whether an implementer for canteen or hospital menu work already exists,not answered,wave-6 chay note and app-m5 row cite CHY-63 as showing no plant-based programme,none,maybe,Medium,
AFN-Q14,AFN-Q14,AFN-A13; AFN-A11; AFN-A14; AFN-A18,international,Do meat-free days in Vietnamese canteens or schools add meat-free occasions over days and weeks without compensation?,"Whether the added-chay-day route, Part III's cheapest displacement route on paper, is worth funding",partly,ch18.4; ch12.6; ch18.6; OQ-178; OQ-261; DMV-05,none,yes,High,"Framed as a hypothesis. Korea has periodic plant-based school meal days in all 17 education offices (AFN-42), an Asian precedent Part III does not cite, but no displacement measure."
AFN-Q15,AFN-Q15,AFN-A02; AFN-A13; AFN-A14,international,"Which funders would pay for each of Part III's 19 demand moves, given their stated exclusions (whole-food plant-based, culture change, individual diet change, direct R&D) and priority geographies?","Which moves get funded at all, and by whom",not answered,ch25.4; brief-international ('fund measurement first'); ch18.6,none,yes,High,Nova Vista excludes chay-day promotion as framed; ReRoot excludes Vietnam; research funders fund supply-side topics.
AFN-Q16,AFN-Q16,AFN-A16; AFN-A20,policy,"How many pupils eat bán trú nationally, at what price, and what protein standard (protein quality or animal share) do the national menu sets under Decision 973/QĐ-TTg apply?",Feasibility of blended or plant protein in school meals,partly,ch15.3; app-d4 D4.4; OQ-219; DMV-17,moderate,yes,High,"Hanoi data are strong; national data are weak (25 million students, Low). Decision 973 and the 400-menu model are missing."
