record_id,scenario_id,species,t2_cost_case,t2_cost_usd_per_t,comparator,comparator_price_usd_per_t,inclusion_pct,extra_cost_usd_per_t_feed,feed_price_usd_per_t,gain_needed_pct_of_feed_cost,source_ids,evidence_label,confidence,demand_evidence_type,notes
FBA-PP-01,FBA-PP-01,shrimp,low end of the indicative cost stack,2227,"imported bulk inactive yeast, 2025 (FOB)",1100,1,11.3,1270 to 1920,0.6 to 0.9,FBA-17; FM-04; COST-43; COST-44,VN-direct,Low,inferred,Our calculation: (T2 cost minus bulk yeast price) x inclusion / feed price; the gain is the extra feed-cost saving (for example feed conversion or survival) a head-to-head trial must show over commodity yeast
FBA-PP-02,FBA-PP-02,shrimp,low end of the indicative cost stack,2227,"imported bulk inactive yeast, 2025 (FOB)",1100,2,22.5,1270 to 1920,1.2 to 1.8,FBA-17; FM-04; COST-43; COST-44,VN-direct,Low,inferred,Our calculation: (T2 cost minus bulk yeast price) x inclusion / feed price; the gain is the extra feed-cost saving (for example feed conversion or survival) a head-to-head trial must show over commodity yeast
FBA-PP-03,FBA-PP-03,shrimp,low end of the indicative cost stack,2227,"imported bulk inactive yeast, 2025 (FOB)",1100,5,56.4,1270 to 1920,2.9 to 4.4,FBA-17; FM-04; COST-43; COST-44,VN-direct,Low,inferred,Our calculation: (T2 cost minus bulk yeast price) x inclusion / feed price; the gain is the extra feed-cost saving (for example feed conversion or survival) a head-to-head trial must show over commodity yeast
FBA-PP-04,FBA-PP-04,shrimp,high end of the indicative cost stack,6612,"imported bulk inactive yeast, 2025 (FOB)",1100,1,55.1,1270 to 1920,2.9 to 4.3,FBA-17; FM-04; COST-43; COST-44,VN-direct,Low,inferred,Our calculation: (T2 cost minus bulk yeast price) x inclusion / feed price; the gain is the extra feed-cost saving (for example feed conversion or survival) a head-to-head trial must show over commodity yeast
FBA-PP-05,FBA-PP-05,shrimp,high end of the indicative cost stack,6612,"imported bulk inactive yeast, 2025 (FOB)",1100,2,110.2,1270 to 1920,5.7 to 8.7,FBA-17; FM-04; COST-43; COST-44,VN-direct,Low,inferred,Our calculation: (T2 cost minus bulk yeast price) x inclusion / feed price; the gain is the extra feed-cost saving (for example feed conversion or survival) a head-to-head trial must show over commodity yeast
FBA-PP-06,FBA-PP-06,shrimp,high end of the indicative cost stack,6612,"imported bulk inactive yeast, 2025 (FOB)",1100,5,275.6,1270 to 1920,14.4 to 21.7,FBA-17; FM-04; COST-43; COST-44,VN-direct,Low,inferred,Our calculation: (T2 cost minus bulk yeast price) x inclusion / feed price; the gain is the extra feed-cost saving (for example feed conversion or survival) a head-to-head trial must show over commodity yeast
FBA-PP-07,FBA-PP-07,pangasius,low end of the indicative cost stack,2227,"imported bulk inactive yeast, 2025 (FOB)",1100,1,11.3,385 to 770,1.5 to 2.9,FBA-17; FM-04; COST-43; COST-44,VN-direct,Low,inferred,Our calculation: (T2 cost minus bulk yeast price) x inclusion / feed price; the gain is the extra feed-cost saving (for example feed conversion or survival) a head-to-head trial must show over commodity yeast
FBA-PP-08,FBA-PP-08,pangasius,low end of the indicative cost stack,2227,"imported bulk inactive yeast, 2025 (FOB)",1100,2,22.5,385 to 770,2.9 to 5.9,FBA-17; FM-04; COST-43; COST-44,VN-direct,Low,inferred,Our calculation: (T2 cost minus bulk yeast price) x inclusion / feed price; the gain is the extra feed-cost saving (for example feed conversion or survival) a head-to-head trial must show over commodity yeast
FBA-PP-09,FBA-PP-09,pangasius,low end of the indicative cost stack,2227,"imported bulk inactive yeast, 2025 (FOB)",1100,5,56.4,385 to 770,7.3 to 14.6,FBA-17; FM-04; COST-43; COST-44,VN-direct,Low,inferred,Our calculation: (T2 cost minus bulk yeast price) x inclusion / feed price; the gain is the extra feed-cost saving (for example feed conversion or survival) a head-to-head trial must show over commodity yeast
FBA-PP-10,FBA-PP-10,pangasius,high end of the indicative cost stack,6612,"imported bulk inactive yeast, 2025 (FOB)",1100,1,55.1,385 to 770,7.2 to 14.3,FBA-17; FM-04; COST-43; COST-44,VN-direct,Low,inferred,Our calculation: (T2 cost minus bulk yeast price) x inclusion / feed price; the gain is the extra feed-cost saving (for example feed conversion or survival) a head-to-head trial must show over commodity yeast
FBA-PP-11,FBA-PP-11,pangasius,high end of the indicative cost stack,6612,"imported bulk inactive yeast, 2025 (FOB)",1100,2,110.2,385 to 770,14.3 to 28.6,FBA-17; FM-04; COST-43; COST-44,VN-direct,Low,inferred,Our calculation: (T2 cost minus bulk yeast price) x inclusion / feed price; the gain is the extra feed-cost saving (for example feed conversion or survival) a head-to-head trial must show over commodity yeast
FBA-PP-12,FBA-PP-12,pangasius,high end of the indicative cost stack,6612,"imported bulk inactive yeast, 2025 (FOB)",1100,5,275.6,385 to 770,35.8 to 71.6,FBA-17; FM-04; COST-43; COST-44,VN-direct,Low,inferred,Our calculation: (T2 cost minus bulk yeast price) x inclusion / feed price; the gain is the extra feed-cost saving (for example feed conversion or survival) a head-to-head trial must show over commodity yeast
FBA-PP-13,FBA-PP-13,any,low end of the indicative cost stack,2227,"imported specialty yeast products, 2025 (FOB, unit value USD 2 per kg or more)",8550,,,,"none: T2 cost is USD 6,323 per t below the specialty unit value",FBA-17; COST-43; COST-44,VN-direct,Low,inferred,"Specialty tier was only 464 t (USD 3.97 million) in 2025, half of it from Japan, probably not all feed; to compete here T2 must match branded yeast fractions on documented function"
