record_id,brand,product,format,total_sugar_g_per_100ml,added_sugar_pct_ingredient_list,carbohydrate_g_per_100ml,protein_g_per_100ml,energy_kcal_per_100ml,declared_standards,declaration_date,above_5g_threshold,retail_price_vnd_per_litre_sep_2026,price_2027_if_taxed_vnd_per_litre,price_2028_if_taxed_vnd_per_litre,source_ids,evidence_label,confidence,demand_evidence_type,notes
FTR-SG-01,Vinasoy,Fami Nguyên Chất (original soy milk),200 ml and 1 L carton,9.3,8.5,9.4,2.2,59,QCVN 6-2:2010/BYT; TCVN 12443:2018,2025 (10NS),yes,22900,24732,25190,FTR-18; FORM-01,VN-direct,High,revealed,"Label read by OCR and checked against energy (our calculation). Price is RDS-036, the mass soy-milk shelf price. Taxed prices assume full proportional pass-through of the excise (our calculation)."
FTR-SG-02,Vinasoy,Fami Nguyên Chất Ít Đường (less sugar),200 ml and 1 L carton,6.5,5.8,6.7,2.5,50,QCVN 6-2:2010/BYT; TCVN 12443:2018,10 Feb 2025 (08NS),yes,22917,24750,25209,FTR-17; FORM-01,VN-direct,Medium,revealed,"Label image is low resolution; 6.5 g and 6.7 g fit the declared energy (our calculation). Declaration says 30% less sugar than Fami Nguyên Chất. Retail audit SKU-146 logged 6.5 g as carbohydrate. Price from SKU-146 (VND 27,500 for 6 x 200 ml)."
FTR-SG-03,Vinasoy,Fami Canxi (calcium soy milk),200 ml carton,not legible,8.5,9.4,2.0,58,QCVN 6-2:2010/BYT; TCVN 12443:2018,20 Feb 2025 (12NS),yes,not logged,,,FTR-19; FORM-01,VN-direct,Medium,revealed,Above 5 g on the added sugar alone.
FTR-SG-04,Vinasoy,Fami Canxi Ít Đường,200 ml carton,not legible,5.8,6.7,2.5,50,QCVN 6-2:2010/BYT; TCVN 12443:2018; declared as thực phẩm bổ sung,20 Feb 2025 (13NS),yes,22915,24748,25207,FTR-20; FORM-01,VN-direct,Medium,revealed,5.8% added sugar alone exceeds 5 g per 100 ml. Price from SKU-126.
FTR-SG-05,Vinasoy,Fami Go vị đậu đỏ nếp cẩm,carton,8.5,not stated,9.3,3.2,80,QCVN 6-2:2010/BYT; TCVN 12443:2018,10 Feb 2025 (06NS),yes,not logged,,,FTR-25,VN-direct,Medium,revealed,OCR of label.
FTR-SG-06,Vinasoy,"Fami Nguyên Chất vị Đường đen (brown sugar), 2025 declaration",200 ml carton,9.3,not stated (brown sugar 1.3%),not legible,2.2,62,QCVN 6-2:2010/BYT; TCVN 12443:2018,2025 (18NS),yes,not logged,,,FTR-21,VN-direct,Medium,revealed,OCR of label.
FTR-SG-07,Vinasoy,"Fami Nguyên Chất vị Đường đen, 2026 re-declaration",200 ml carton,9.0,not stated (brown sugar 1.3%),9.5,2.2,62,QCVN 6-2:2010/BYT; TCVN 12443:2018,30 Jun 2026 (18NS),yes,not logged,,,FTR-22,VN-direct,Medium,revealed,"Re-declared six months before the excise starts, still at 9.0 g; shelf life extended from 6 to 8 months."
FTR-SG-08,Vinasoy,Fami Green Soy rất ít đường (very little sugar),carton,3.9,3.5,4.1,2.5,43,QCVN 6-2:2010/BYT; TCVN 12443:2018,20 Jan 2025 (29),no,not logged,,,FTR-23; FORM-01,VN-direct,High,revealed,Already below the threshold.
FTR-SG-09,Vinasoy,Fami Green Soy không bổ sung đường (no added sugar),carton,not read,0,not read,not read,not read,QCVN 6-2:2010/BYT; TCVN 12443:2018,20 Jan 2025 (28),no (our inference),not logged,,,FTR-24,VN-direct,Medium,revealed,No sugar in the ingredient list; soy intrinsic sugars are small.
FTR-SG-10,Vinasoy,Veyo Sữa hạt 5 loại cao cấp (5-nut milk),1 L carton,6.5 or 8.5 (label illegible),"sugar listed, percentage not stated",8.9,1.1,70,QCVN 6-2:2010/BYT; declared as thực phẩm bổ sung,20 Jan 2025 (32),yes,not logged,,,FTR-27,VN-direct,Medium,revealed,Both readings exceed 5 g.
FTR-SG-11,Vinasoy,"Veyo Sữa hạt yến mạch (oat), no added sugar",1 L and 180 ml carton,4.4 or 6.4 (label illegible),0 (barley-malt extract),8.9,1.0,61,QCVN 6-2:2010/BYT; declared as thực phẩm bổ sung,20 Jan 2025 (31),unclear,not per litre,,,FTR-26; FORM-01,VN-direct,Low,revealed,The borderline case: a cereal drink with no added sugar that may still exceed 5 g from oat hydrolysis.
