where,current,proposed,evidence_source_ids,strength,type
"ch29.3 table, row T1 (and play_demand_check.csv T1 demand_evidence)",Plant-protein imports from China nearly tripled; chay makers are the most switchable buyers; only an ingredient fits canteen budgets; most benchmark-path demand is this,"Keep market pull 5 on the C1 definition (several named buyers already buy the imported equivalent), but replace the reason: named chay makers buy imported textured soy; China-origin textured protein (HS 2106.10) grew 54% from 2019 to 2025, to 10,201 t, and textured-type imports from China, India and Serbia were 12,832 t in 2025; the near tripling of all plant-protein imports is mostly HS 3504 at about USD 1 per kg. A soy extrusion line addresses about 30% of the R1 pool by tonnage and about a sixth of benchmark-path delivered protein in 2035, not most of it (our calculation)",BUY-02; TIC-12; TIC-14,moderate,corrects
"ch29.3 paragraph ""What changes""","T1 moves to first place under the balanced preset (3.95, against 3.9 for the cassava sugar hub)","Add: the lead is 0.05; a one-point fall in T1 market pull or defensibility returns first place to T4. Raising T1 capital efficiency from 4 to 5 and cutting Vietnam advantage from 3 to 2 (see plays.csv row) leaves the balanced score at 3.95 and T1 first under the investor, startup and manufacturer presets (our calculation)",TIC-02; TIC-03; TIC-14; FORM-10,moderate,adds
ch29.3 kill tests and play_demand_check.csv T1 demand_kill_test,Domestic ex-factory cost stays above Chinese landed cost; three chay makers decline a trial on quality,"T1 fails if (a) food-grade, low-temperature defatted soy flour (non-GMO where buyers require it) cannot be delivered below about USD 700 to 940 per t for a 1 t/h line, or USD 590 to 900 per t for a 0.5 t/h line, at 70% utilisation, with Chinese textured protein landing at USD 1.29 to 1.44 per kg (the range reflects lean or heavy staffing, rent and overhead; our calculation for a 15% margin at 0% duty); (b) fewer than three buyers sign conditional orders totalling at least 2,000 t a year (a 0.5 t/h line at 50%); or (c) India-origin textured soy (USD 0.98 per kg FOB in 2025) becomes the reference price",TIC-12; TIC-13; BUY-02; BUY-38,moderate,updates
target_product_profiles.csv TPP-01 price_target and ch29.2 table,At or below Chinese landed textured protein: USD 1.24 per kg FOB in 2025 plus freight and 5% duty (about USD 1.9 per kg of protein),"At or below Chinese landed textured protein: USD 1.29 to 1.44 per kg duty-paid (2025 FOB USD 1.24 plus 3 to 8% freight and insurance, 0% or 5% duty, USD 15 to 40 per t port and inland), about USD 2.0 to 2.2 per kg of protein at 65% or 2.3 to 2.6 at 55%; India-origin textured soy (USD 0.98 per kg FOB) is a lower reference",BUY-02; TIC-12; REG2-20,strong,corrects
target_product_profiles.csv TPP-01 cheapest_first_test and first_buyers,Trials with three chay makers in 20 to 25 kg lots; declaration-level customs data to size the food share,"First, five delivered quotes for food-grade defatted soy flour (the input that decides the margin); then trials and conditional orders with three chay makers totalling at least 2,000 t a year; declaration-level data to size the textured share of HS 2106.10. Add distributors (Brenntag, VMC, TDGIMEX) to first buyers as the channel to the long tail: one 1 t/h line at 90% needs 26 to 131 buyers of Vissan soy-protein size",TIC-13; TIC-18; BUY-36; BUY-37; BUY-04,moderate,updates
"plays.csv T1 capital_note, capital_efficiency and vietnam_advantage; ch11 T1 card",Indicative equipment USD 1.5 to 4 million for a 1 t/h line (assumption; no verified extrusion capex found); capital_efficiency 4; vietnam_advantage 3,"Chinese dry-TVP lines of 0.5 to 1 t/h with dryer are listed at USD 11,000 to 100,000; installed capex in Vietnam USD 0.28 to 1.38 M (our calculation); working capital USD 0.6 to 3.5 M is the larger need; a European-grade line is unverified (USD 2.0 to 5.6 M on the Part I assumption). capital_efficiency 4 to 5. vietnam_advantage 3 to 2: the main input (63 to 85% of cost) is imported from the competitor countries and the net shelter from freight and duty is about USD 30 to 130 per t",TIC-01; TIC-02; TIC-03; TIC-05; TIC-07; TIC-10; TIC-12; TIC-13; FORM-10,moderate,corrects
plays.csv T1 must_be_true and kill_tests,"Ex-factory cost at or below landed Chinese textured protein (about USD 1.6/kg before freight and duty, 2023); ... Chinese landed price stays below Vietnamese ex-factory cost at 3,000 t a year","USD 1.24 per kg FOB in 2025 (USD 1.29 to 1.44 landed); test at 2,800 t a year (0.5 t/h at 70%) or 5,600 t (1 t/h at 70%) and state the operating hours; add ""a food-grade flour supply below the breakeven price"" to must_be_true",BUY-02; TIC-12,moderate,updates
app-i I16 cost stack B and ch09.4 cost stack B,"3,000 t a year on one 1 t/h line; raw material USD 566 to 1,391; capital charge USD 60 to 240 per t; total USD 792 to 2,065 per t","Replace with the two-size, three-utilisation table (data_t1_cost_per_kg.csv): full cost USD 761 to 1,294 per t at 1 t/h and 90%, USD 858 to 1,573 at 0.5 t/h and 50%; capital charge USD 5 to 91 per t with Chinese equipment (USD 33 to 181 with a European-grade line); raw material USD 646 to 990 per t for a flour-based product at USD 627 to 925 per t of flour delivered; raw material 63 to 85% of cost. Keep the soy concentrate blend as a separate, dearer product",TIC-02; TIC-03; TIC-07; TIC-12; TIC-13; COST-01; COST-19; COST-20; COST-21,moderate,updates
ch09.4 Reading paragraph,"Chinese textured protein and concentrates entered Vietnam at about USD 1.6 per kg in 2023 (China-reported unit value, before freight and duty), inside our Vietnamese cost range","In 2025 China shipped HS 2106.10 to Vietnam at USD 1.24 per kg FOB, its lowest price to any of eight Asian and US partners (world average USD 1.95). Landed at USD 1.29 to 1.44 per kg, it sits inside the domestic full-cost range (USD 0.76 to 1.57 per kg), so the price of food-grade flour decides",TIC-12; TIC-14,moderate,updates
app-i I11 rows: freeze alignment; plant protein isolate and high-moisture extrusion; and gap 8,Plant-based meat by freeze alignment (Thailand): not extracted. Plant protein isolate and high-moisture extrusion: no verified benchmark found,"Freeze alignment: a 100 t a year plant modelled with Japanese wages; total capital USD 1.76 to 2.48 M; minimum selling price USD 1.18 per 100 g; raw material 32% and labour 24% of cost; not comparable with extrusion. High-moisture extrusion: Chinese lines up to 500 to 600 kg/h listed at USD 88,000 to 90,000 (listing). Gap 8 partly closed for dry TVP; isolate capex still open",COST-56; TIC-09; TIC-23,weak,corrects
