scope,scenario,hog_scenario,lean_replaced_t,textured_soy_dry_t,soy_isolate_dry_t,fungal_biomass_dry_t,plant_protein_delivered_t,meat_protein_removed_t,meat_protein_displaced_t_at_0_9,displaced_share_of_2025_meat_protein_pct,saving_vnd_billion,saving_usd_million,source_ids,evidence_label,confidence,demand_evidence_type,notes
"Vissan, 18,547 t processed food (2025)",30% of output in lean-based lines at 0.56 kg lean per kg product; 10% of lean replaced,"median (2019 to 2024 annual, FAOSTAT)",312,112,62,125,56,59,53,0.005,28.9,1.1,BUY-04; HXE-11; BUY-05; TIC-12; DIE-25; AIB-15,VN-direct,Low,inferred,Our calculation; Chinese textured soy as the extender; the share of output in lean-based lines is illustrative (the same 30 to 50% range as ch26.3); compare Vissan 2025 pre-tax profit VND 105.1 billion (HXE-11)
"Vissan, 18,547 t processed food (2025)",30% of output in lean-based lines at 0.56 kg lean per kg product; 10% of lean replaced,"Q1 2026 (Vissan AGM, midpoint)",312,112,62,125,56,59,53,0.005,36.7,1.4,BUY-04; HXE-11; BUY-05; TIC-12; DIE-25; AIB-15,VN-direct,Low,inferred,Our calculation; Chinese textured soy as the extender; the share of output in lean-based lines is illustrative (the same 30 to 50% range as ch26.3); compare Vissan 2025 pre-tax profit VND 105.1 billion (HXE-11)
"Vissan, 18,547 t processed food (2025)",30% of output in lean-based lines at 0.56 kg lean per kg product; 20% of lean replaced,"median (2019 to 2024 annual, FAOSTAT)",623,224,125,249,112,118,107,0.011,57.7,2.2,BUY-04; HXE-11; BUY-05; TIC-12; DIE-25; AIB-15,VN-direct,Low,inferred,Our calculation; Chinese textured soy as the extender; the share of output in lean-based lines is illustrative (the same 30 to 50% range as ch26.3); compare Vissan 2025 pre-tax profit VND 105.1 billion (HXE-11)
"Vissan, 18,547 t processed food (2025)",30% of output in lean-based lines at 0.56 kg lean per kg product; 20% of lean replaced,"Q1 2026 (Vissan AGM, midpoint)",623,224,125,249,112,118,107,0.011,73.4,2.8,BUY-04; HXE-11; BUY-05; TIC-12; DIE-25; AIB-15,VN-direct,Low,inferred,Our calculation; Chinese textured soy as the extender; the share of output in lean-based lines is illustrative (the same 30 to 50% range as ch26.3); compare Vissan 2025 pre-tax profit VND 105.1 billion (HXE-11)
"Vissan, 18,547 t processed food (2025)",30% of output in lean-based lines at 0.56 kg lean per kg product; 30% of lean replaced,"median (2019 to 2024 annual, FAOSTAT)",935,337,187,374,168,178,160,0.016,86.6,3.3,BUY-04; HXE-11; BUY-05; TIC-12; DIE-25; AIB-15,VN-direct,Low,inferred,Our calculation; Chinese textured soy as the extender; the share of output in lean-based lines is illustrative (the same 30 to 50% range as ch26.3); compare Vissan 2025 pre-tax profit VND 105.1 billion (HXE-11)
"Vissan, 18,547 t processed food (2025)",30% of output in lean-based lines at 0.56 kg lean per kg product; 30% of lean replaced,"Q1 2026 (Vissan AGM, midpoint)",935,337,187,374,168,178,160,0.016,110.0,4.2,BUY-04; HXE-11; BUY-05; TIC-12; DIE-25; AIB-15,VN-direct,Low,inferred,Our calculation; Chinese textured soy as the extender; the share of output in lean-based lines is illustrative (the same 30 to 50% range as ch26.3); compare Vissan 2025 pre-tax profit VND 105.1 billion (HXE-11)
"Vissan, 18,547 t processed food (2025)",50% of output in lean-based lines at 0.65 kg lean per kg product; 10% of lean replaced,"median (2019 to 2024 annual, FAOSTAT)",603,217,121,241,108,115,103,0.01,55.9,2.1,BUY-04; HXE-11; BUY-05; TIC-12; DIE-25; AIB-15,VN-direct,Low,inferred,Our calculation; Chinese textured soy as the extender; the share of output in lean-based lines is illustrative (the same 30 to 50% range as ch26.3); compare Vissan 2025 pre-tax profit VND 105.1 billion (HXE-11)
"Vissan, 18,547 t processed food (2025)",50% of output in lean-based lines at 0.65 kg lean per kg product; 10% of lean replaced,"Q1 2026 (Vissan AGM, midpoint)",603,217,121,241,108,115,103,0.01,71.0,2.7,BUY-04; HXE-11; BUY-05; TIC-12; DIE-25; AIB-15,VN-direct,Low,inferred,Our calculation; Chinese textured soy as the extender; the share of output in lean-based lines is illustrative (the same 30 to 50% range as ch26.3); compare Vissan 2025 pre-tax profit VND 105.1 billion (HXE-11)
"Vissan, 18,547 t processed food (2025)",50% of output in lean-based lines at 0.65 kg lean per kg product; 20% of lean replaced,"median (2019 to 2024 annual, FAOSTAT)",1206,434,241,482,217,229,206,0.02,111.7,4.3,BUY-04; HXE-11; BUY-05; TIC-12; DIE-25; AIB-15,VN-direct,Low,inferred,Our calculation; Chinese textured soy as the extender; the share of output in lean-based lines is illustrative (the same 30 to 50% range as ch26.3); compare Vissan 2025 pre-tax profit VND 105.1 billion (HXE-11)
"Vissan, 18,547 t processed food (2025)",50% of output in lean-based lines at 0.65 kg lean per kg product; 20% of lean replaced,"Q1 2026 (Vissan AGM, midpoint)",1206,434,241,482,217,229,206,0.02,141.9,5.5,BUY-04; HXE-11; BUY-05; TIC-12; DIE-25; AIB-15,VN-direct,Low,inferred,Our calculation; Chinese textured soy as the extender; the share of output in lean-based lines is illustrative (the same 30 to 50% range as ch26.3); compare Vissan 2025 pre-tax profit VND 105.1 billion (HXE-11)
