record_id,study,country,fieldwork_year,item_type,item,question_wording,value,unit,rank_in_country,base_n,base_description,comparison_value,comparison_label,vn_minus_comparison_pp,source_ids,evidence_label,confidence,demand_evidence_type,notes
BAR-01,"GFI APAC and Good Growth, Decoding demand",Vietnam,2023,barrier (factor to eat more),More affordable,What would make you eat more plant-based meat? (rank up to 3),38,% of respondents ranking in top 3,1,1049 (subset),"Vietnam respondents except those who said they would not eat any or were unlikely to try (six-country base n=5,693)",47,six-country average,-9,CON-02,VN-direct,Medium,stated,Vietnam lowest of six (range 38 to 54)
BAR-02,"GFI APAC and Good Growth, Decoding demand",Vietnam,2023,barrier (factor to eat more),More nutritious,What would make you eat more plant-based meat? (rank up to 3),36,% of respondents ranking in top 3,2,1049 (subset),"Vietnam respondents except those who said they would not eat any or were unlikely to try (six-country base n=5,693)",41,six-country average,-5,CON-02,VN-direct,Medium,stated,range 30 to 49
BAR-03,"GFI APAC and Good Growth, Decoding demand",Vietnam,2023,barrier (factor to eat more),More available when shopping,What would make you eat more plant-based meat? (rank up to 3),31,% of respondents ranking in top 3,3,1049 (subset),"Vietnam respondents except those who said they would not eat any or were unlikely to try (six-country base n=5,693)",27,six-country average,4,CON-02,VN-direct,Medium,stated,Vietnam top-3 barrier; range 22 to 32
BAR-04,"GFI APAC and Good Growth, Decoding demand",Vietnam,2023,barrier (factor to eat more),Tasted better,What would make you eat more plant-based meat? (rank up to 3),30,% of respondents ranking in top 3,4,1049 (subset),"Vietnam respondents except those who said they would not eat any or were unlikely to try (six-country base n=5,693)",34,six-country average,-4,CON-02,VN-direct,Medium,stated,range 29 to 40
BAR-05,"GFI APAC and Good Growth, Decoding demand",Vietnam,2023,barrier (factor to eat more),More variety,What would make you eat more plant-based meat? (rank up to 3),29,% of respondents ranking in top 3,5,1049 (subset),"Vietnam respondents except those who said they would not eat any or were unlikely to try (six-country base n=5,693)",23,six-country average,6,CON-02,VN-direct,Medium,stated,range 16 to 31
BAR-06,"GFI APAC and Good Growth, Decoding demand",Vietnam,2023,barrier (factor to eat more),Contained fewer additives,What would make you eat more plant-based meat? (rank up to 3),27,% of respondents ranking in top 3,6,1049 (subset),"Vietnam respondents except those who said they would not eat any or were unlikely to try (six-country base n=5,693)",21,six-country average,6,CON-02,VN-direct,Medium,stated,Vietnam highest of six (range 17 to 27)
BAR-07,"GFI APAC and Good Growth, Decoding demand",Vietnam,2023,barrier (factor to eat more),Tasted more like meat,What would make you eat more plant-based meat? (rank up to 3),23,% of respondents ranking in top 3,7,1049 (subset),"Vietnam respondents except those who said they would not eat any or were unlikely to try (six-country base n=5,693)",28,six-country average,-5,CON-02,VN-direct,Medium,stated,Vietnam lowest of six (range 23 to 29)
BAR-08,"GFI APAC and Good Growth, Decoding demand",Vietnam,2023,barrier (factor to eat more),More available when eating out,What would make you eat more plant-based meat? (rank up to 3),22,% of respondents ranking in top 3,8,1049 (subset),"Vietnam respondents except those who said they would not eat any or were unlikely to try (six-country base n=5,693)",21,six-country average,1,CON-02,VN-direct,Medium,stated,tie
BAR-09,"GFI APAC and Good Growth, Decoding demand",Vietnam,2023,barrier (factor to eat more),Knew how to cook it better,What would make you eat more plant-based meat? (rank up to 3),22,% of respondents ranking in top 3,8,1049 (subset),"Vietnam respondents except those who said they would not eat any or were unlikely to try (six-country base n=5,693)",16,six-country average,6,CON-02,VN-direct,Medium,stated,Vietnam highest of six (range 11 to 22); tie
BAR-10,"GFI APAC and Good Growth, Decoding demand",Vietnam,2023,barrier (factor to eat more),Less processed,What would make you eat more plant-based meat? (rank up to 3),16,% of respondents ranking in top 3,10,1049 (subset),"Vietnam respondents except those who said they would not eat any or were unlikely to try (six-country base n=5,693)",19,six-country average,-3,CON-02,VN-direct,Medium,stated,range 13 to 25
BAR-11,"GFI APAC and Good Growth, Decoding demand",Vietnam,2023,barrier (factor to eat more),Lower in sodium,What would make you eat more plant-based meat? (rank up to 3),15,% of respondents ranking in top 3,11,1049 (subset),"Vietnam respondents except those who said they would not eat any or were unlikely to try (six-country base n=5,693)",14,six-country average,1,CON-02,VN-direct,Medium,stated,range 11 to 19
BAR-12,"GFI APAC and Good Growth, Decoding demand",Vietnam,2023,behaviour intention,Intend to reduce meat consumption,Weighted average of total responses for consumers who intend to reduce meat,15,% of respondents,,1049,Vietnam sample,21,six-country average (range 15 to 26),-6,CON-02,VN-direct,Medium,stated,Lowest of six countries
BAR-13,"GFI APAC and Good Growth, Decoding demand",Vietnam,2023,driver (openness),Very interested in trying a meat and plant-based blend,How interested are you in trying a type of meat that has mixed both animal and plant-based meat in it?,55,% of respondents,,1049,Vietnam sample,49,six-country average,6,CON-02,VN-direct,Medium,stated,"Indonesia 64%, Thailand 61%, Philippines 58% very interested; Singapore 26%"
BAR-14,"GFI APAC and Good Growth, Decoding demand",Vietnam,2023,driver (openness),Slightly interested,How interested are you in trying a type of meat that has mixed both animal and plant-based meat in it?,40,% of respondents,,1049,Vietnam sample,44,six-country average,-4,CON-02,VN-direct,Medium,stated,"Indonesia 64%, Thailand 61%, Philippines 58% very interested; Singapore 26%"
BAR-15,"GFI APAC and Good Growth, Decoding demand",Vietnam,2023,driver (openness),Not interested,How interested are you in trying a type of meat that has mixed both animal and plant-based meat in it?,5,% of respondents,,1049,Vietnam sample,7,six-country average,-2,CON-02,VN-direct,Medium,stated,"Indonesia 64%, Thailand 61%, Philippines 58% very interested; Singapore 26%"
BAR-16,"GFI APAC and Good Growth, Decoding demand",Six-country average (no Vietnam split published),2023,association,Healthy,Check all the statements that you think apply to plant-based meat,65,% of respondents,,5971,"All respondents, six countries",,,,CON-02; ECO-23,VN-adjacent,Medium,stated,Regional rank 1. Transfer assumption: Vietnam close to average; not verified
BAR-17,"GFI APAC and Good Growth, Decoding demand",Six-country average (no Vietnam split published),2023,association,Easy to digest,Check all the statements that you think apply to plant-based meat,44,% of respondents,,5971,"All respondents, six countries",,,,CON-02; ECO-23,VN-adjacent,Medium,stated,Regional rank 2. Transfer assumption: Vietnam close to average; not verified
BAR-18,"GFI APAC and Good Growth, Decoding demand",Six-country average (no Vietnam split published),2023,association,Tastes good,Check all the statements that you think apply to plant-based meat,38,% of respondents,,5971,"All respondents, six countries",,,,CON-02; ECO-23,VN-adjacent,Medium,stated,Regional rank 3. Transfer assumption: Vietnam close to average; not verified
BAR-19,"GFI APAC and Good Growth, Decoding demand",Six-country average (no Vietnam split published),2023,association,High in protein,Check all the statements that you think apply to plant-based meat,33,% of respondents,,5971,"All respondents, six countries",,,,CON-02; ECO-23,VN-adjacent,Medium,stated,Regional rank 4. Transfer assumption: Vietnam close to average; not verified
BAR-20,"GFI APAC and Good Growth, Decoding demand",Six-country average (no Vietnam split published),2023,association,Low in cholesterol,Check all the statements that you think apply to plant-based meat,31,% of respondents,,5971,"All respondents, six countries",,,,CON-02; ECO-23,VN-adjacent,Medium,stated,Regional rank 5. Transfer assumption: Vietnam close to average; not verified
BAR-21,"GFI APAC and Good Growth, Decoding demand",Six-country average (no Vietnam split published),2023,association,Hygienic,Check all the statements that you think apply to plant-based meat,29,% of respondents,,5971,"All respondents, six countries",,,,CON-02; ECO-23,VN-adjacent,Medium,stated,Regional rank 6. Transfer assumption: Vietnam close to average; not verified
BAR-22,"GFI APAC and Good Growth, Decoding demand",Six-country average (no Vietnam split published),2023,association,Natural or no additives,Check all the statements that you think apply to plant-based meat,22,% of respondents,,5971,"All respondents, six countries",,,,CON-02; ECO-23,VN-adjacent,Medium,stated,Regional rank 7. Transfer assumption: Vietnam close to average; not verified
BAR-23,"GFI APAC and Good Growth, Decoding demand",Six-country average (no Vietnam split published),2023,association,Is overly processed,Check all the statements that you think apply to plant-based meat,19,% of respondents,,5971,"All respondents, six countries",,,,CON-02; ECO-23,VN-adjacent,Medium,stated,Regional rank 8. Transfer assumption: Vietnam close to average; not verified
BAR-24,"GFI APAC and Good Growth, Decoding demand",Six-country average (no Vietnam split published),2023,association,May have bad chemicals or additives,Check all the statements that you think apply to plant-based meat,16,% of respondents,,5971,"All respondents, six countries",,,,CON-02; ECO-23,VN-adjacent,Medium,stated,Regional rank 9. Transfer assumption: Vietnam close to average; not verified
BAR-25,"GFI APAC and Good Growth, Decoding demand",Six-country average (no Vietnam split published),2023,association,Low in protein,Check all the statements that you think apply to plant-based meat,11,% of respondents,,5971,"All respondents, six countries",,,,CON-02; ECO-23,VN-adjacent,Medium,stated,Regional rank 10. Transfer assumption: Vietnam close to average; not verified
BAR-26,"GFI APAC and Good Growth, Decoding demand",Six-country average (no Vietnam split published),2023,association,High in sodium,Check all the statements that you think apply to plant-based meat,11,% of respondents,,5971,"All respondents, six countries",,,,CON-02; ECO-23,VN-adjacent,Medium,stated,Regional rank 11. Transfer assumption: Vietnam close to average; not verified
BAR-27,"GFI APAC and Good Growth, Decoding demand",Six-country average (no Vietnam split published),2023,association,May have hormones,Check all the statements that you think apply to plant-based meat,9,% of respondents,,5971,"All respondents, six countries",,,,CON-02; ECO-23,VN-adjacent,Medium,stated,Regional rank 12. Transfer assumption: Vietnam close to average; not verified
BAR-28,"GFI APAC and Good Growth, Decoding demand",Six-country average (no Vietnam split published),2023,association,Tastes bad,Check all the statements that you think apply to plant-based meat,8,% of respondents,,5971,"All respondents, six countries",,,,CON-02; ECO-23,VN-adjacent,Medium,stated,Regional rank 13. Transfer assumption: Vietnam close to average; not verified
BAR-29,"Rakuten Insight, Plant-based food alternatives 2025",Vietnam,2025,driver,Belief that plant-based products are healthier,Reason(s) for choosing plant-based alternatives,55,% of respondents,1,1942,Vietnam panel sample (base for each question not stated),49,12-market average 2025,6,CON-07,VN-direct,Medium,stated,"Category is all plant-based alternatives, mainly plant milk"
BAR-30,"Rakuten Insight, Plant-based food alternatives 2025",Vietnam,2025,driver,I wanted to try a food trend,Reason(s) for choosing plant-based alternatives,36,% of respondents,2,1942,Vietnam panel sample (base for each question not stated),39,12-market average 2025,-3,CON-07,VN-direct,Medium,stated,"Category is all plant-based alternatives, mainly plant milk"
BAR-31,"Rakuten Insight, Plant-based food alternatives 2025",Vietnam,2025,driver,Follow a vegetarian or vegan diet,Reason(s) for choosing plant-based alternatives,35,% of respondents,3,1942,Vietnam panel sample (base for each question not stated),,,,CON-07,VN-direct,Medium,stated,"Category is all plant-based alternatives, mainly plant milk"
