record_id,parameter,scenario,year,value,unit,basis,source_ids,confidence,notes
BLA-001,population,ALL,2025,101.6,million,"projection: UN WPP 2024 medium variant, read via OWID in edition 1.0",GT-12,Medium,"UN series used for all years, including 2025, so growth rates never mix UN and GSO (GSO 2025 = 102.3 M). Same path in all scenarios."
BLA-002,population,ALL,2030,104.25,million,"projection: UN WPP 2024 medium variant, read via OWID in edition 1.0",GT-12,Medium,"UN series used for all years, including 2025, so growth rates never mix UN and GSO (GSO 2025 = 102.3 M). Same path in all scenarios."
BLA-003,population,ALL,2035,106.53,million,"projection: UN WPP 2024 medium variant, read via OWID in edition 1.0",GT-12,Medium,"UN series used for all years, including 2025, so growth rates never mix UN and GSO (GSO 2025 = 102.3 M). Same path in all scenarios."
BLA-004,population,ALL,2040,108.44,million,"projection: UN WPP 2024 medium variant, read via OWID in edition 1.0",GT-12,Medium,"UN series used for all years, including 2025, so growth rates never mix UN and GSO (GSO 2025 = 102.3 M). Same path in all scenarios."
BLA-005,population,ALL,2050,110.01,million,"projection: UN WPP 2024 medium variant, read via OWID in edition 1.0",GT-12,Medium,"UN series used for all years, including 2025, so growth rates never mix UN and GSO (GSO 2025 = 102.3 M). Same path in all scenarios."
BLA-006,base_pork_lw_kt,ALL,ALL,5389.2,kt live weight,measured (official estimate) 2025,MAC-14; MAC-12,High,
BLA-007,base_poultry_lw_kt,ALL,ALL,2601.9,kt live weight,measured (official estimate) 2025,MAC-14; MAC-12,High,
BLA-008,base_ruminant_lw_kt,ALL,ALL,624.3,kt live weight,measured 2025: beef 499.1 + buffalo 125.2,MAC-12,Medium,
BLA-009,base_eggs_bn,ALL,ALL,21.4,billion eggs,measured (official estimate) 2025,MAC-14,High,
BLA-010,egg_weight_kg,ALL,ALL,0.055,kg per egg,"assumption: mix of hen, duck and quail eggs",QNT-model,Low,Only affects the split of poultry feed between meat and eggs; the 2025 poultry feed total is calibrated.
BLA-011,base_milk_kt,ALL,ALL,1300,kt fresh milk,measured (official estimate) 2025,MAC-14,High,
BLA-012,base_aq_pangasius_kt,ALL,ALL,1938.8,kt,measured 2025,MAC-15,High,
BLA-013,base_aq_whiteleg_kt,ALL,ALL,994.4,kt,measured 2025,MAC-15,High,
BLA-014,base_aq_othershrimp_kt,ALL,ALL,387.3,kt,"derived 2025: shrimp 1,381.7 minus whiteleg 994.4 (black tiger 296.7 plus other crustaceans)",MAC-15,High,
BLA-015,base_aq_otherfish_kt,ALL,ALL,2096.2,kt,"derived 2025: fish 4,035.0 minus pangasius 1,938.8",MAC-15,High,
BLA-016,base_aq_nonfed_kt,ALL,ALL,700.1,kt,"measured 2025: other aquaculture (molluscs, seaweed and others), treated as unfed",MAC-15,High,
BLA-017,base_feed_livestock_mt,ALL,ALL,22.0,Mt,"measured (official estimate) 2025 livestock and poultry compound feed, excludes aquafeed",MAC-01; MAC-28,High,
BLA-018,feed_share_pig,ALL,ALL,0.553,share,measured 2024 split applied to 2025,MAC-28,High,
BLA-019,feed_share_poultry,ALL,ALL,0.409,share,measured 2024 split applied to 2025,MAC-28,High,
BLA-020,feed_share_other_livestock,ALL,ALL,0.037,share,measured 2024 split applied to 2025,MAC-28,High,
BLA-021,base_aquafeed_mt,ALL,ALL,6.5,Mt,estimate 2025 (USDA Post; method not disclosed),MAC-01,Medium,Unresolved against industry 3.9 to 4.8 Mt (MAC-06). USDA used because the 7.2 Mt soybean-meal feed use is also USDA. Industry value tested in sensitivity.
BLA-022,base_aquafeed_mt,SENS-LOW,ALL,4.35,Mt,estimate 2025: midpoint of industry range 3.9 to 4.8 Mt,MAC-06,Low,
BLA-023,base_aquafeed_mt,SENS-HIGH,ALL,6.5,Mt,same as base (one-sided test),MAC-01,Medium,
