record_id,year,flow,hs_code,basis,value_usd_million,quantity_t,unit_value_usd_per_kg,bulk_tier_t,bulk_tier_value_usd_million,bulk_tier_unit_value_usd_per_kg,specialty_tier_t,specialty_tier_value_usd_million,specialty_tier_unit_value_usd_per_kg,top_partners_by_tonnage,source_ids,evidence_label,confidence,demand_evidence_type,notes
FBA-TR-2019-M,2019,imports into Vietnam,2102.20,"mirror (partner-reported exports), FOB",8.28,3828,2.16,3354,4.31,1.28,474,3.97,8.39,"China 1,899 t at USD 1.19 per kg; Brazil 1,399 t at USD 1.43 per kg; France 119 t at USD 2.01 per kg; Hungary 102 t at USD 3.29 per kg; Japan 79 t at USD 29.19 per kg",FBA-17,VN-direct,Medium,revealed,"Partner-reported exports to Vietnam, FOB, all end uses (food and feed not separable at HS6); tier split at USD 2 per kg is our choice"
FBA-TR-2020-M,2020,imports into Vietnam,2102.20,"mirror (partner-reported exports), FOB",10.43,6016,1.73,5498,5.67,1.03,518,4.76,9.19,"China 2,399 t at USD 1.33 per kg; Indonesia 1,445 t at USD 0.31 per kg; Brazil 1,269 t at USD 1.45 per kg; Cambodia 336 t at USD 0.43 per kg; Japan 132 t at USD 23.25 per kg",FBA-17,VN-direct,Medium,revealed,"Partner-reported exports to Vietnam, FOB, all end uses (food and feed not separable at HS6); tier split at USD 2 per kg is our choice"
FBA-TR-2021-M,2021,imports into Vietnam,2102.20,"mirror (partner-reported exports), FOB",11.42,7904,1.44,7583,7.07,0.93,321,4.35,13.55,"Indonesia 2,946 t at USD 0.31 per kg; China 2,195 t at USD 1.51 per kg; Brazil 1,453 t at USD 1.37 per kg; Cambodia 697 t at USD 0.52 per kg; France 137 t at USD 1.93 per kg",FBA-17,VN-direct,Medium,revealed,"Partner-reported exports to Vietnam, FOB, all end uses (food and feed not separable at HS6); tier split at USD 2 per kg is our choice"
FBA-TR-2022-M,2022,imports into Vietnam,2102.20,"mirror (partner-reported exports), FOB",10.92,7614,1.43,7166,6.7,0.93,448,4.22,9.42,"Indonesia 2,119 t at USD 0.41 per kg; Cambodia 2,088 t at USD 0.60 per kg; Brazil 1,256 t at USD 1.31 per kg; China 1,232 t at USD 1.75 per kg; Spain 185 t at USD 1.53 per kg",FBA-17,VN-direct,Medium,revealed,"Partner-reported exports to Vietnam, FOB, all end uses (food and feed not separable at HS6); tier split at USD 2 per kg is our choice"
FBA-TR-2023-M,2023,imports into Vietnam,2102.20,"mirror (partner-reported exports), FOB",10.44,9605,1.09,9288,7.78,0.84,317,2.66,8.4,"Cambodia 3,853 t at USD 0.43 per kg; China 2,259 t at USD 1.57 per kg; Indonesia 2,103 t at USD 0.54 per kg; Brazil 524 t at USD 1.57 per kg; Serbia 460 t at USD 1.09 per kg",FBA-17,VN-direct,Medium,revealed,"Partner-reported exports to Vietnam, FOB, all end uses (food and feed not separable at HS6); tier split at USD 2 per kg is our choice"
FBA-TR-2024-M,2024,imports into Vietnam,2102.20,"mirror (partner-reported exports), FOB",12.96,9336,1.39,8980,10.06,1.12,355,2.89,8.14,"China 3,556 t at USD 1.37 per kg; Cambodia 2,381 t at USD 1.16 per kg; Indonesia 1,292 t at USD 0.55 per kg; Brazil 832 t at USD 1.25 per kg; Myanmar 528 t at USD 0.51 per kg",FBA-17,VN-direct,Medium,revealed,"Partner-reported exports to Vietnam, FOB, all end uses (food and feed not separable at HS6); tier split at USD 2 per kg is our choice"
FBA-TR-2025-M,2025,imports into Vietnam,2102.20,"mirror (partner-reported exports), FOB",13.53,9193,1.47,8729,9.56,1.1,464,3.97,8.55,"China 4,236 t at USD 1.27 per kg; Brazil 2,712 t at USD 1.10 per kg; Serbia 940 t at USD 0.87 per kg; Indonesia 600 t at USD 0.43 per kg; Myanmar 240 t at USD 0.49 per kg",FBA-17,VN-direct,Medium,revealed,"Partner-reported exports to Vietnam, FOB, all end uses (food and feed not separable at HS6); tier split at USD 2 per kg is our choice; Cambodia and some other partners had not reported 2025 when queried, so 2025 is a lower bound"
FBA-TR-2019-VNM,2019,imports into Vietnam,2102.20,"Vietnam-reported imports, CIF",5.98,,,,,,,,,,FBA-18,VN-direct,Low,revealed,"Value usable; Comtrade flags the net weight (1,571 t) as estimated, with the same unit value for every partner, so tonnage and unit value are not used; 2024 not available at HS6 when queried"
FBA-TR-2020-VNM,2020,imports into Vietnam,2102.20,"Vietnam-reported imports, CIF",5.91,,,,,,,,,,FBA-18,VN-direct,Low,revealed,"Value usable; Comtrade flags the net weight (1,380 t) as estimated, with the same unit value for every partner, so tonnage and unit value are not used; 2024 not available at HS6 when queried"
FBA-TR-2021-VNM,2021,imports into Vietnam,2102.20,"Vietnam-reported imports, CIF",8.26,,,,,,,,,,FBA-18,VN-direct,Low,revealed,"Value usable; Comtrade flags the net weight (1,906 t) as estimated, with the same unit value for every partner, so tonnage and unit value are not used; 2024 not available at HS6 when queried"
FBA-TR-2022-VNM,2022,imports into Vietnam,2102.20,"Vietnam-reported imports, CIF",9.4,,,,,,,,,,FBA-18,VN-direct,Low,revealed,"Value usable; Comtrade flags the net weight (1,919 t) as estimated, with the same unit value for every partner, so tonnage and unit value are not used; 2024 not available at HS6 when queried"
FBA-TR-2023-VNM,2023,imports into Vietnam,2102.20,"Vietnam-reported imports, CIF",9.65,,,,,,,,,"2023 by value: China USD 3.64 million, Cambodia 1.63, Indonesia 1.24, Brazil 0.88, United States 0.56, Canada 0.54",FBA-18,VN-direct,Low,revealed,"Value usable; Comtrade flags the net weight (1,934 t) as estimated, with the same unit value for every partner, so tonnage and unit value are not used; 2024 not available at HS6 when queried"
FBA-TR-2024-X,2024,exports from Vietnam,2102.20,"mirror (partner-reported imports from Vietnam), CIF",9.84,7297,1.35,,,,,,,"United States 2,956 t at USD 1.63 per kg; Japan 2,466 t at USD 1.00 per kg; Singapore 862 t at USD 1.23 per kg; Thailand 350 t at USD 1.13 per kg; New Zealand 182 t at USD 1.41 per kg",FBA-19,VN-direct,Medium,revealed,"End use not stated; domestic yeast plants include AB Mauri La Nga (6,000 t a year) and Saf-Viet (Lesaffre) (IND-15; IND-17); the exporter is not identified in trade data"
