record_id,retailer,programme_or_sku,record_type,category,pack_size_g,price_vnd,vnd_per_kg,protein_g_per_100g,protein_basis,vnd_per_100g_protein,main_protein_ingredient,manufacturer_named,availability_2026_09_25,source_ids,evidence_label,confidence,demand_evidence_type,notes
PL-01,Saigon Co.op,"Private-label programme (Co.op Happy, Co.op Select, Co.op Finest)",programme,all,,,,,,,,more than 100 Vietnamese manufacturers,active,AIB-28; AIB-29,VN-direct,Medium,stated,"More than 2,500 private-label SKUs; 15 to 30% below comparable brands; retailer chooses the maker and sets standards; six in ten member shoppers buy one per visit."
PL-02,Saigon Co.op,Online private-label collection,programme,all,,,,,,,,,active,CPC-16,VN-direct,High,revealed,"1,665 product URLs in the online 'Nhan hang Co.op' collection; 7 vegetarian (5 frozen chay dishes, 1 noodle, 1 vegetarian fish sauce)."
PL-03,Saigon Co.op,Supplier route,programme,all,,,,,,,,,active,CPC-17; CPC-18,VN-direct,Medium,revealed,"Pitch at the office or through the supplier portal: legal file, product file with samples, review, result within 10 working days. No published document or certificate list."
PL-04,Saigon Co.op,Ha cao chay Co.op Select 415 g,SKU,frozen chay dumpling,415,46500,112048,,not shown,,dam lua mi (wheat protein); edamame,GN Foods (Cong ty CP Thuc pham GN),in stock,AIB-30; CPC-15,VN-direct,High,revealed,Vegetables 37%; onion and garlic (not suitable for strict chay).
PL-05,Saigon Co.op,Sui cao chay Co.op Select 530 g,SKU,frozen chay dumpling,530,62000,116981,,not shown,,soybean 15.26%; wheat wrapper 34.72%,GN Foods,in stock,CPC-15,VN-direct,High,revealed,"Onion, shallot and garlic listed."
PL-06,Saigon Co.op,Cha gio chay Co.op Select 400 g,SKU,frozen chay spring roll,400,45700,114250,,not shown,,mung bean (no protein ingredient),GN Foods,in stock,CPC-15,VN-direct,High,revealed,"Starch-and-vegetable filling (jicama 16%, carrot 14%)."
PL-07,Saigon Co.op,Mi sui cao chay Co.op Select 200 g,SKU,frozen chay noodle meal,200,28300,141500,,not shown,,dam chay (vegetarian protein) and tofu in the dumpling (25% of pack),GN Foods,out of stock,CPC-15,VN-direct,High,revealed,Noodles contain egg: chay but not vegan.
PL-08,Saigon Co.op,Banh cuon chay Co.op Select 290 g,SKU,frozen chay rice roll,290,39000,134483,,not shown,,"edamame, green peas (no protein ingredient)","GN Foods (Long Hau Extended IP, Can Giuoc, Tay Ninh)",out of stock,CPC-15; FORM-29,VN-direct,High,revealed,
PL-09,Saigon Co.op,Mi chay Co.op Select 300 g,SKU,dry noodles labelled chay,300,17500,58333,,not shown,,wheat flour 96.5%,not captured,in stock,CPC-15,VN-direct,High,revealed,Not a protein product.
PL-10,Saigon Co.op,Dau hu trang Co.op Select 280 g,SKU,tofu,280,10200,36429,9.3,"label (FORM-01, same SKU)",39171,soybean 37%,Vi Nguyen,out of stock,CPC-15; FORM-01,VN-direct,Medium,revealed,Protein from the September 2026 shelf audit label.
