study,country,year,n,frame,category,metric,value,source_ids,evidence_label,confidence,demand_evidence_type,notes
"Lin et al. 2026, Discover Food",Singapore; Vietnam; China; Japan; South Korea,published 2026 (fieldwork year not retrieved),3005 (split by country not retrieved),Survey in five countries; panel and sampling details not retrieved (abstract only),cultivated meat and cell-cultured foods,Country concentration of the most open consumer segment,Open-Minded Seekers concentrated in Vietnam and China; Resistant Evaluators mostly Japan; Hesitant Observers more in Singapore and South Korea,NOV-01,VN-direct,Medium,stated,Only multi-country Asian study with Vietnamese cultivated meat data we found. Segment shares by country not retrieved. Funded by New Zealand MBIE and Plant and Food Research.
"Nghiem-Phu 2023, Food Research",Vietnam,published 2023,393,Young Vietnamese consumers (details not retrieved),cultivated meat (in vitro meat),Share of respondents in the optimist segment,About one quarter,NOV-03,VN-direct,Medium,stated,"Three segments: pessimists, optimists, mainstreamers. Abstract only."
"Nguyen M.Q. et al. 2025, HUST",Vietnam (Hanoi),published 2025,288,"Structured questionnaire, adults aged 18 to 25 living in Hanoi","novel alternative protein (plant-based meat, yeast-based protein, insect protein)",Aware of products but never used,70 percent (202 of 288); text also states 84 percent,NOV-02,VN-direct,Medium,stated,Internal inconsistency logged in disagreements.csv; we prefer the computed 70 percent.
"Nguyen M.Q. et al. 2025, HUST",Vietnam (Hanoi),published 2025,288,"Adults aged 18 to 25, Hanoi",novel alternative protein,Standardised effect of price on attitude; on willingness to try,-0.359 on attitude; -0.250 on willingness to try (both significant),NOV-02,VN-direct,High,stated,Price is the largest single coefficient on attitude; health concern 0.251; subjective norms 0.411 on willingness to try.
"Nguyen M.Q. et al. 2025, HUST",Vietnam (Hanoi),published 2025,288,"Adults aged 18 to 25, Hanoi",novel alternative protein,Where respondents first heard of the products,Social media 47.9 percent; e-commerce 22.7 percent,NOV-02,VN-direct,High,stated,
"Nguyen M.Q. et al. 2024 (RD-32), HUST",Vietnam (Hanoi and Ho Chi Minh City),published 2024,260 (179 in primary scope),"Adults aged 18 to 25, Hanoi and Ho Chi Minh City",fermentation-derived (brewer's spent yeast protein energy bar),Willing to try the product,46 percent,RD-32,VN-direct,Medium,stated,Existing supply-study source. Also 84 percent aware of alternative proteins but not used; convenience 67.4 percent top reason.
"GFI APAC and Good Growth Co. 2024, Decoding Demand",Indonesia; Malaysia; Philippines; Singapore; Thailand; Vietnam,published January to February 2024 (fieldwork year not stated in sources read),5971 total (per country not retrieved),"Online survey, capital-city regions plus Ho Chi Minh City; plus 8-person focus groups per country",blended meat (plant plus conventional meat),Interested in at least trying blended meat,93 percent,NOV-35; NOV-36; ECO-24,VN-adjacent,Medium,stated,"Measures interest in trying, not purchase. Vietnam breakout not available. Commissioned and paid for by GFI APAC (advocacy)."
"GFI APAC and Good Growth Co. 2024, Decoding Demand",Six Southeast Asian markets incl. Vietnam,published 2024,5971,"Online, urban",plant-based meat,Eat plant-based meat regularly,5 percent,NOV-35; NOV-36,VN-adjacent,Medium,stated,Useful as a check on the 93 percent figure.
"GFI APAC and Good Growth Co. 2024, Decoding Demand",Six Southeast Asian markets incl. Vietnam,published 2024,5971,"Online, urban",plant-based meat,Would buy if 20 percent cheaper than conventional meat,80 percent,NOV-35; NOV-36,VN-adjacent,Medium,stated,Price-conditional stated intent; overstates behaviour.
"GFI APAC and Good Growth Co. 2024, Decoding Demand",Vietnam (Ho Chi Minh City sample),published 2024,not retrieved,"Online, Ho Chi Minh City",plant-based meat,Rank on interest in increasing future consumption,Vietnamese respondents most interested of six markets,NOV-36,VN-direct,Low,stated,Qualitative ranking from a secondary summary; no number.
"Tong et al. 2021, IJFAEC",Vietnam,published 2021,not retrieved,Experimental auction (location not retrieved),GMO attitudes (non-GM soymilk),Willingness-to-pay premium for soymilk with non-GM information,84 percent,NOV-08,VN-direct,Medium,tested,Risk aversion was the main predictor. Abstract only.
"Ngo et al. 2024, PLoS ONE",Vietnam,published 2024,424,"Online convenience sample, skewed young",GMO attitudes,Path from trust to purchase intention via perceived benefits,Standardised indirect effect 0.234 (p below 0.001); knowledge raises benefits and lowers risks,NOV-04,VN-direct,Medium,stated,Descriptive levels not retrieved.
"Ngo et al. 2026, JAFR",Vietnam,published 2026,416,Generation Z respondents,GMO attitudes,Main route from knowledge to purchase intention,Through perceived benefits; risk pathway not supported,NOV-05,VN-direct,Medium,stated,
"Nguyen T.H. et al. 2022, JFPM",Vietnam,published 2022,407,Survey with implicit association test and information treatments,genome-edited and GM foods,Implicit attitude link between GE and GM foods,Highly correlated under condensed information; in-depth information reduced the correlation,NOV-07,VN-direct,Medium,tested,Relevant analogue for how Vietnamese consumers may lump precision fermentation with GMO.
"Nguyen T.H. et al. 2024, Agribusiness",Vietnam,published 2024,not retrieved,Double-bounded contingent valuation with information treatments,genome-edited rice,Acceptance of quality-improved GE rice,Wide acceptance; in-depth information raised acceptance,NOV-06,VN-direct,Medium,stated,Contingent valuation is stated preference.
"Pham et al. 2026, VJAS","Vietnam (Hanoi, Hung Yen, Nghe An)",published 2026,170,Interviews with consumers in three pork value chains,food safety trust (context),Trust in value chain actors; top concern,Low trust in value chain actors; heightened concern over chemical residues; higher trust in government TV news,NOV-79,VN-direct,Medium,stated,Context for positioning novel proteins on residue-free claims.
"Bryant et al. 2019, Frontiers",China,fieldwork 2018 (inferred from publication),"about 1000 (3030 across USA, India, China)","Online, quotas by age and gender; urban, educated, high-income skew",cultivated meat ('purity meat' in Chinese),Very or extremely likely to purchase,59.3 percent (6.7 percent not at all likely),NOV-28,general,High,stated,GFI co-authors. Contrasts with NOV-29 choice experiment.
"Yang et al. 2024, Frontiers","China (Beijing, Shenyang, Wuhan, Chengdu, Guangzhou)",fieldwork October 2020,about 1000,"Online discrete choice experiment (Credamo), urban adult meat eaters",cultivated meat and plant-based meat (beef burger),Willingness-to-pay premium versus farm-raised meat,Negative for both; plant-based valued above cultivated; positive information narrowed the gap,NOV-29,general,Medium,tested,
"Takeda et al. 2022, FQP",Japan,published 2022,5000,"Online, nationwide",cultivated meat and other alternative proteins,Social acceptance,Cultured meat 40.9 percent; plant-based meat 70.2 percent; milk alternatives 50.8 percent; insects 19.5 percent,NOV-30,general,Medium,stated,"Funded by Ministry of Health, Labour and Welfare."
"Chia et al. 2024, FQP",Singapore,published 2024,1224,"Multi-Ethnic Cohort 2 adults (75 percent Chinese, 15 percent Indian, 10 percent Malay)","plant-based meat, cultivated meat, insect foods",Barriers and order of consumption intent,"Plant-based highest, then cultivated, then insect; perceived unnaturalness strongest barrier and strongest for cultivated meat; distrust in gene technology specific to cultivated meat; drug-residue concern raised willingness to pay",NOV-31,VN-adjacent,Medium,stated,"Cohort sample, stronger than online panels. Transfer assumption: urban ethnic-Chinese Southeast Asian consumers."
"Zollman Thomas et al. 2023, Frontiers",Singapore,published 2023,1004,Research panel weighted by age,precision-fermented egg,Probably or definitely willing to try; to purchase,Try 56.2 percent; purchase 48.1 percent; price was top reason to buy (17.1 percent),NOV-34,VN-adjacent,Medium,stated,Funded by Formo; first author employed by Formo.
"Chong et al. 2023, J Environ Psychol",Singapore,published 2023,not retrieved (qualitative stage of 20 reported),Survey experiments on framing and names,cultivated meat naming,Preferred name; effective frames for Buddhists,'Cultivated meat' preferred and linked to positive attitudes; 'cell-based' least liked; animal welfare and emissions frames effective among Buddhists,NOV-32; NOV-33,VN-adjacent,Medium,stated,Buddhist framing result relevant to Vietnam; not tested in Vietnamese.
"Ho et al. 2024, Science Communication",Singapore,published 2024,658,Muslim Singaporeans,"cultivated meat, halal",Role of halal consciousness,"Halal consciousness raised attention to benefit messages, shaping attitudes via presumed media influence",NOV-54,VN-adjacent,Medium,stated,Abstract only.
"GOOD Meat customer survey at Huber's Bistro, reported 2024",Singapore,up to May 2024,not disclosed,Restaurant diners who ate cultivated chicken (company-reported),cultivated chicken,Willingness to retry; flavour rating (out of 5),Retry 4.41; flavour 4.21,NOV-10,VN-adjacent,Low,stated,Company-reported among self-selected triers; not repeat purchase data.
"A*STAR SIFBI blind test for GFI APAC and NECTAR, 2025",Singapore,published November 2025,more than 100 (116 per NOV-40),"Double-blind central tasting, 20 blended products in 10 categories",blended meat (animal plus plant),Likelihood of being liked versus plant-based meat,Blended 1.8 times more likely to be rated like or like very much,NOV-37; NOV-39,VN-adjacent,Medium,tested,Advocacy-commissioned; run by a government lab.
"A*STAR SIFBI blind test for GFI APAC and NECTAR, 2025",Singapore,published November 2025,more than 100,Blind tasting,blended meat,Would buy: blended versus plant-based versus conventional,22 percent versus 16 percent (NOV-39); 58 percent versus 38 percent versus 95 percent conventional (NOV-38),NOV-38; NOV-39,VN-adjacent,Low,tested,"Two outlets report different figures, probably different scale cut-offs; see disagreements.csv. Ratio blended to plant-based is 1.4 to 1.5 in both."
"A*STAR SIFBI blind test for GFI APAC and NECTAR, 2025",Singapore,published 2025 to 2026,116,Blind tasting,blended meat,Preferred animal share in a blend,57 percent preferred about 75 percent animal content; 18 percent preferred 50:50,NOV-40,VN-adjacent,Medium,tested,"Also 69 percent rated blends healthier than conventional meat (stated, post-tasting)."
"Aleph Farms blind test, 2026",Israel,early 2026,60,Blind tasting by New Sense Research for the company; restaurant-goers,cultivated beef hybrid (cells plus soy and wheat),Acceptance and purchase intent versus beef,Acceptance 96 percent versus 98 percent; purchase intent 50 percent versus 51 percent; not significant,NOV-19,general,Low,tested,"Company-commissioned, small sample, press report."
"Aleph Farms and Thai Union survey, 2021 (as reported)",Thailand,2021,not retrieved (a later survey n = 1500),Company-commissioned surveys,cultivated meat,Willing to try; aware of cultured meat,97 percent willing to try; 24 percent aware,NOV-26,VN-adjacent,Low,stated,"Rejected as a headline number: company-commissioned, low awareness means respondents judged an unfamiliar product."
