record_id,product_name_vi,category,chay_product,retail_price_vnd,ingredient_list_published,lists_soy_protein,lists_wheat_gluten_or_wheat_protein,lists_milk_protein,lists_egg_white_powder,lists_fibre,ingredient_list_excerpt_vi,url,source_ids,evidence_label,confidence,demand_evidence_type,notes
VLA-001,HOTDOG WOW 33G,sterilised sausage,no,4500,yes,no,no,no,no,yes,"Thịt gà, mỡ heo, nước, chất ổn định (1412, 407, 508), chất điều chỉnh độ acid (325, 262i), đường, chất điều vị (621, 627, 631), muối, chất xơ từ lúa mì, chất làm ẩm (451i, 450i, 450ii, 450iii), chất bảo quản (200, 234), phẩm màu tự nhiên (120), chất giữ màu (250), hương thịt tổng hợp, hương khói tự ",https://vissanmart.com/hotdog-wow-33g.html,BUY-05,VN-direct,High,revealed,"Vissanmart online shop, read 24 Sep 2026. Pack sizes of the same formulation appear as separate rows. Presence on label only; inclusion level not disclosed."
VLA-002,HOTDOG WOW VỊ CAY 33G,sterilised sausage,no,4500,yes,no,no,no,no,yes,"Thịt gà, mỡ heo, nước, chất ổn định (1412, 407, 508), chất điều chỉnh độ acid (325, 262i), đường, chất điều vị (621, 627, 631), muối, chất xơ từ lúa mì, chất làm ẩm (451i, 450i, 450ii, 450iii), chất bảo quản (200, 234), gia vị ớt, phẩm màu tự nhiên (120), phẩm màu tổng hợp (110) chất giữ màu (250), ",https://vissanmart.com/hotdog-wow-v-cay-33g.html,BUY-05,VN-direct,High,revealed,"Vissanmart online shop, read 24 Sep 2026. Pack sizes of the same formulation appear as separate rows. Presence on label only; inclusion level not disclosed."
VLA-003,XXTT BOOM BOOM 23G_5 cây/gói,sterilised sausage,no,11900,no,n/a,n/a,n/a,n/a,n/a,,https://vissanmart.com/xxtt-boom-boom-23g-5-cay-goi.html,BUY-05,VN-direct,High,revealed,"Vissanmart online shop, read 24 Sep 2026. Pack sizes of the same formulation appear as separate rows. Presence on label only; inclusion level not disclosed."
VLA-004,XXTT BOOM BOOM 18G CA NHỰA - 50 CÂY - 900G,sterilised sausage,no,88000,no,n/a,n/a,n/a,n/a,n/a,,https://vissanmart.com/xxtt-boom-boom-18g-ca-nh-a-900g.html,BUY-05,VN-direct,High,revealed,"Vissanmart online shop, read 24 Sep 2026. Pack sizes of the same formulation appear as separate rows. Presence on label only; inclusion level not disclosed."
VLA-005,XX DINH DƯỠNG GOLDEN 3,sterilised sausage,no,18600,no,n/a,n/a,n/a,n/a,n/a,,https://vissanmart.com/xx-dinh-du-ng-golden-3.html,BUY-05,VN-direct,High,revealed,"Vissanmart online shop, read 24 Sep 2026. Pack sizes of the same formulation appear as separate rows. Presence on label only; inclusion level not disclosed."
VLA-006,XÚC XÍCH TRỘN ĐỀU XỐT MAYONNAISE VỊ CÀ CHUA VISSAN 62G_4 CÂY,sterilised sausage,no,8900,no,n/a,n/a,n/a,n/a,n/a,,https://vissanmart.com/xx-tr-n-d-u-x-t-mayonnaise-v-ca-chua-vissan-62g-4-cay.html,BUY-05,VN-direct,High,revealed,"Vissanmart online shop, read 24 Sep 2026. Pack sizes of the same formulation appear as separate rows. Presence on label only; inclusion level not disclosed."
VLA-007,XÚC XÍCH TRỘN ĐỀU XỐT TAMARIND VISSAN 62G_4 CÂY,sterilised sausage,no,8900,no,n/a,n/a,n/a,n/a,n/a,,https://vissanmart.com/xx-tr-n-d-u-x-t-tamarind-vissan-62g-4-cay.html,BUY-05,VN-direct,High,revealed,"Vissanmart online shop, read 24 Sep 2026. Pack sizes of the same formulation appear as separate rows. Presence on label only; inclusion level not disclosed."
VLA-008,XÚC XÍCH TRỘN ĐỀU XỐT CHANH DÂY VISSAN 62G_4 CÂY,sterilised sausage,no,8900,no,n/a,n/a,n/a,n/a,n/a,,https://vissanmart.com/xx-tr-n-d-u-x-t-chanh-day-vissan-62g.html,BUY-05,VN-direct,High,revealed,"Vissanmart online shop, read 24 Sep 2026. Pack sizes of the same formulation appear as separate rows. Presence on label only; inclusion level not disclosed."
VLA-009,XÚC XÍCH TRỘN ĐỀU XỐT BBQ VISSAN 62G_4 CÂY,sterilised sausage,no,8900,no,n/a,n/a,n/a,n/a,n/a,,https://vissanmart.com/xx-tr-n-d-u-x-t-bbq-vissan-62g-4-cay.html,BUY-05,VN-direct,High,revealed,"Vissanmart online shop, read 24 Sep 2026. Pack sizes of the same formulation appear as separate rows. Presence on label only; inclusion level not disclosed."
VLA-010,XÚC XÍCH LẮC KÊU VỊ BƠ TỎI VISSAN 56G_4 CÂY,sterilised sausage,no,8900,no,n/a,n/a,n/a,n/a,n/a,,https://vissanmart.com/xx-l-c-k-u-v-bo-t-i-vissan-56g-4-cay.html,BUY-05,VN-direct,High,revealed,"Vissanmart online shop, read 24 Sep 2026. Pack sizes of the same formulation appear as separate rows. Presence on label only; inclusion level not disclosed."
VLA-011,XÚC XÍCH LẮC KÊU VỊ PHÔ MAI VISSAN 56G_4 CÂY,sterilised sausage,no,8900,no,n/a,n/a,n/a,n/a,n/a,,https://vissanmart.com/xx-l-c-k-u-v-pho-mai-vissan-56g-4-cay.html,BUY-05,VN-direct,High,revealed,"Vissanmart online shop, read 24 Sep 2026. Pack sizes of the same formulation appear as separate rows. Presence on label only; inclusion level not disclosed."
VLA-012,Xúc xích tiệt trùng Boom Boom 23g/cây_50 cây/hũ,sterilised sausage,no,93900,yes,yes,yes,no,no,yes,"nạc gà, mỡ heo, nước, chất ổn định (1412), protein đậu nành, gluten, đường, muối i-ốt (muỗi, kali iodat), chất điều vị (621), chất nhũ hóa (451i, 452i), chất xơ, hương thịt tổng hợp, chất điều chỉnh độ acid (262i), chất chống oxy hóa (316), phẩm màu tổng hợp (129).",https://vissanmart.com/xuc-xich-tiet-trung-boom-boom-23g-hu-50-cay.html,BUY-05,VN-direct,High,revealed,"Vissanmart online shop, read 24 Sep 2026. Pack sizes of the same formulation appear as separate rows. Presence on label only; inclusion level not disclosed."
VLA-013,Xúc xích tiệt trùng phô mai 35g/cây_5 cây/gói,sterilised sausage,no,18400,yes,yes,yes,no,no,yes,"Nạc gà, nạc heo, mỡ heo, nước, phô mai hạt 5% (sữa, nước), chất ổn định (1412, 1411), protein đậu nành, chất xơ, gluten, đường, muối, chất điều chỉnh độ acid (262i, 325), gia vị hỗn hợp (chiết xuất nấm men, chất điều vị (621, 631)), chất làm ẩm (451i, 452i), chất ổn định (407), hương thịt và hương p",https://vissanmart.com/xuc-xich-tiet-trung-pho-mai-goi-175g.html,BUY-05,VN-direct,High,revealed,"Vissanmart online shop, read 24 Sep 2026. Pack sizes of the same formulation appear as separate rows. Presence on label only; inclusion level not disclosed."
VLA-014,Xúc xích tiệt trùng Bò 18g/cây_5 cây/gói,sterilised sausage,no,8900,yes,no,no,no,no,no,"Nạc bò (55%), nạc trâu, mỡ cá, tinh bột bắp, đường, muối, tiêu, gừng, ớt, chất bảo quản (249), chất ổn định (452i), chất điều vị (621).",https://vissanmart.com/xuc-xich-tiet-trung-bo-goi-90g.html,BUY-05,VN-direct,High,revealed,"Vissanmart online shop, read 24 Sep 2026. Pack sizes of the same formulation appear as separate rows. Presence on label only; inclusion level not disclosed."
VLA-015,Xúc xích Dinh Dưỡng DHA Bò 35g/cây_5 cây/gói,sterilised sausage,no,19500,yes,yes,no,no,no,yes,"Nạc bò (58%), mỡ heo, protein đậu nành, tinh bột, chất xơ, đường, muối, tiêu, gừng, ớt, DHA, chất ổn định (452i), chất điều vị (621), màu thực phẩm tổng hợp (127).",https://vissanmart.com/xuc-xich-dinh-duong-bo-goi-175g.html,BUY-05,VN-direct,High,revealed,"Vissanmart online shop, read 24 Sep 2026. Pack sizes of the same formulation appear as separate rows. Presence on label only; inclusion level not disclosed."
VLA-016,Xúc xích tiệt trùng Bò 40g/cây_4 cây/gói,sterilised sausage,no,16900,yes,no,no,no,no,no,"Nạc bò (55%), nạc trâu, mỡ cá, tinh bột bắp, đường, muối, tiêu, gừng, ớt, chất bảo quản (249), chất ổn định (452i), chất điều vị (621).",https://vissanmart.com/xuc-xich-tiet-trung-bo-goi-160g.html,BUY-05,VN-direct,High,revealed,"Vissanmart online shop, read 24 Sep 2026. Pack sizes of the same formulation appear as separate rows. Presence on label only; inclusion level not disclosed."
VLA-017,Xúc xích tiệt trùng Bò 70g/cây_4 cây/gói,sterilised sausage,no,32000,yes,no,no,no,no,no,"Nạc bò (55%), nạc trâu, mỡ cá, tinh bột bắp, đường, muối, tiêu, gừng, ớt, chất bảo quản (249), chất ổn định (452i), chất điều vị (621).",https://vissanmart.com/xuc-xich-tiet-trung-bo-goi-280g.html,BUY-05,VN-direct,High,revealed,"Vissanmart online shop, read 24 Sep 2026. Pack sizes of the same formulation appear as separate rows. Presence on label only; inclusion level not disclosed."
VLA-018,Xúc xích tiệt trùng Heo 18g/cây_5 cây/gói,sterilised sausage,no,8900,yes,no,no,no,no,no,"Nạc heo (55%), mỡ cá, tinh bột bắp, đường, muối, tiêu, chất bảo quản (251), chất ổn định (452i), chất điều vị (621).",https://vissanmart.com/xuc-xich-tiet-trung-heo-goi-90g.html,BUY-05,VN-direct,High,revealed,"Vissanmart online shop, read 24 Sep 2026. Pack sizes of the same formulation appear as separate rows. Presence on label only; inclusion level not disclosed."
VLA-019,Xúc xích Dinh Dưỡng DHA Heo 35g/cây_5 cây/gói,sterilised sausage,no,19500,yes,yes,no,no,no,yes,"Nạc heo (58%), mỡ heo, protein đậu nành, tinh bột, chất xơ, DHA, đường, muối, tiêu, chất ổn định (452i), chất điều vị (621), màu thực phẩm tổng hợp (127).",https://vissanmart.com/xuc-xich-dinh-duong-heo-goi-175g.html,BUY-05,VN-direct,High,revealed,"Vissanmart online shop, read 24 Sep 2026. Pack sizes of the same formulation appear as separate rows. Presence on label only; inclusion level not disclosed."
VLA-020,Xúc xích tiệt trùng Heo 40g/cây_4 cây/gói,sterilised sausage,no,16900,yes,no,no,no,no,no,"Nạc heo (55%), mỡ cá, tinh bột bắp, đường, muối, tiêu, chất bảo quản (251), chất ổn định (452i), chất điều vị (621).",https://vissanmart.com/xuc-xich-tiet-trung-heo-goi-160g.html,BUY-05,VN-direct,High,revealed,"Vissanmart online shop, read 24 Sep 2026. Pack sizes of the same formulation appear as separate rows. Presence on label only; inclusion level not disclosed."
VLA-021,Xúc xích tiệt trùng Heo  70g/cây_4 cây/gói,sterilised sausage,no,32000,yes,no,no,no,no,no,"Nạc heo (55%), mỡ cá, tinh bột bắp, đường, muối, tiêu, chất bảo quản (251), chất ổn định (452i), chất điều vị (621).",https://vissanmart.com/xuc-xich-tiet-trung-heo-goi-280g.html,BUY-05,VN-direct,High,revealed,"Vissanmart online shop, read 24 Sep 2026. Pack sizes of the same formulation appear as separate rows. Presence on label only; inclusion level not disclosed."
