topic,claim_a,claim_b,position_taken,notes
"Meat eaten per person, level (supply vs intake)","FAOSTAT food supply: 60.5 kg of meat per person in 2023, carcass weight, plus 7.0 kg offal (DIE-07)","NIN General Nutrition Survey: 136.4 g per person per day in 2020, about 49.8 kg a year as eaten (DIE-01; DIE-02)","Use NIN for intake and nutrition claims, FAO for international comparison and trends. Do not average.","Bases differ: carcass weight includes bone and trim, supply includes waste, and the years differ (2020 vs 2023, with fast growth in between). The gap is expected, not an error."
"Meat eaten per person, household survey vs nutrition survey","VHLSS: 2.60 kg per person per month for home use in 2024, 31.2 kg a year (DIE-05)","NIN: 136.4 g per day, 49.8 kg a year (2020) (DIE-01)",Treat VHLSS as home consumption only. The difference is roughly the meat eaten away from home plus basis differences.,VHLSS records meals eaten out only as spending (our reading of the table structure). Not a contradiction but a warning not to use VHLSS quantities as total intake.
"Meat per person, OECD-FAO vs FAOSTAT","OECD-FAO: 45.5 kg per person in 2023 (pork, poultry, beef, sheep) (DIE-11)",FAOSTAT: 60.5 kg per person in 2023 (all meat) (DIE-07),"Both usable within their own series. OECD-FAO for projections, FAOSTAT for levels and neighbours.","OECD reports retail weight (convention, not re-verified); converting 2023 OECD pork and poultry to carcass weight gives values close to FAOSTAT."
Eggs eaten per person,"FAOSTAT: 3.96 kg per person in 2023, roughly 66 to 72 eggs (our conversion at 55 to 60 g) (DIE-07)",NSO production of 21.4 billion eggs in 2025 implies about 211 eggs per person (our division; supply study MI-010); VHLSS home use is 61 eggs a year (DIE-05),Prefer VHLSS for household consumption (61 eggs at home). Flag FAO egg supply as probably too low.,"FAO records egg production of 472 thousand tonnes (2023), far below what NSO egg counts imply. Unresolved; see open questions."
Milk supply per person,FAOSTAT: 53.9 kg per person in 2021,FAOSTAT: 37.4 kg per person in 2023 (same series) (DIE-07),Do not read the fall as a real drop in dairy consumption.,"The swing is driven by residual and trade adjustments in the balance sheet (residual of -1,579 thousand tonnes in 2019). Use industry sales or VHLSS once milk is split out."
FAOSTAT series break,Historic food balance sheet: Vietnam meat supply 51.5 kg per person in 2010 (DIE-08),New food balance sheet: 41.0 kg per person in 2010 (DIE-07),"Use the new series from 2010 and the historic series only before 2010, and never join them without a note.",Methodology change at FAO. The 1990 and 2000 protein ladder points come from the historic series.
Protein content of tofu,Vietnamese Food Composition Table: 10.9 g protein per 100 g (DIE-12),Retail labels in the supply study audit: 3.8 to 9.3 g per 100 g (FORM-01),Report both. Use the FCT for the standard comparison and flag that some commercial tofu is much wetter.,"At WinMart's 32,750 VND per kg, tofu costs 30,046 VND per 100 g protein on the FCT value but 35,215 to 86,184 VND on label values."
Protein content of pangasius fillet,Commercial frozen fillets 12.5 to 15.7 g per 100 g (DIE-13),Untreated fillets 18 g or more (DIE-14),Use 15 g central with a 12.5 to 18 g range.,Added water and phosphates lower protein in some retail fillets.
"Peak live hog price, 2020","Press: the 2020 peak reached about 100,000 VND per kg live weight (DIE-27, press, secondary)","FAOSTAT producer price: annual average 78,138 VND per kg in 2020 (DIE-25)",Both can be true (monthly peak vs annual average). Use the FAO annual figure for comparisons.,No official monthly series was retrieved.
Is protein intake adequate?,"Average intake is about 73 to 80 g per person per day (DIE-32; derived from DIE-01), 1.5 times the 50 g label reference (DIE-04)",35.5% of adults in the Hanoi and Thai Binh study were below the recommended protein intake (DIE-32),"Adequate on average for adults; do not claim a general protein gap. Undernutrition is concentrated in children in poorer, mountainous areas.","A single 24 hour recall overstates the share below a requirement, and the study used the 2016 recommendations, which the 2026 update lowered for some adult groups (DIE-04)."
Willingness to pay for safer pork,"Discrete choice experiment: 70% premium for certified-abattoir pork, up to 102% for hormone- and drug-free pork (DIE-29)",Incentive-compatible auction: 20% premium for pork from upgraded shops (DIE-30),Plan on the auction figure (about 20%) as the realistic ceiling for a safety premium in fresh protein.,"Hypothetical choice tasks overstate what people pay. Different products and cities, so not a clean comparison."
Meat intake reported at the survey launch,136.4 g per person per day (DIE-01; DIE-02),134 g per person per day (DIE-03),"Use 136.4 g, reported by two outlets with the full launch data.","Small difference, possibly rounding or a different age range."
Beef per person in OECD-FAO history,OECD-FAO: 8.3 kg (2015) and 7.1 kg (2019) (DIE-11),OECD-FAO: 3.6 kg (2020); FAOSTAT 2.7 to 3.9 kg over 2015 to 2020 (DIE-07),Use FAOSTAT for beef history; use OECD-FAO beef only from 2020 on.,Probably informal live-cattle trade accounting. Does not affect the pork and poultry picture.
Fish eaten at home,VHLSS: 1.50 kg per person per month (2020) falling to 1.13 kg (2022) in every region (DIE-05),FAOSTAT fish supply flat at 40 to 41 kg per person over 2020 to 2023 (DIE-07),Treat the VHLSS drop as a possible questionnaire change until NSO explains it.,"A 25% fall in two years across all regions and quintiles looks methodological, not behavioural."
Overweight in children under 5,NIN General Nutrition Survey: 7.4% (2020) (DIE-03),"UNICEF/WHO/World Bank modelled estimate: 8.0% (2020), 10.5% (2024) (DIE-28)",Use the survey value for 2020 and the modelled series for the trend.,Modelled estimates smooth and extrapolate.
