record_id,layer,item,province_current,province_former,status,capacity_or_size,horizon_year,foresight_type,source_ids,evidence_label,confidence,notes
HL-001,energy,"Northern inter-regional renewable energy industry and service centre (equipment manufacturing, ports, green industrial zones, R&D)",Hai Phong; Quang Ninh; Hung Yen,Hai Phong; Hai Duong; Quang Ninh; Thai Binh,planned,one of 2 centres due by 2030,2030,projection,HUB-01; HUB-02; HUB-03; HUB-21; HUB-29,VN-direct,High,"Decision 768/QD-TTg names regions only; Decision 1509/QD-BCT (30 May 2025) names 'Hải Phòng, Quảng Ninh, Thái Bình' with scope to extend to neighbours. Official target, not a forecast."
HL-002,energy,Southern inter-regional renewable energy industry and service centre,Khanh Hoa; Lam Dong; Ho Chi Minh City,Ninh Thuan; Binh Thuan; Ba Ria-Vung Tau; Ho Chi Minh City,planned,one of 2 centres due by 2030,2030,projection,HUB-02; HUB-03; HUB-29,VN-direct,High,"'khu vực Ninh Thuận, Bình Thuận, Bà Rịa - Vũng Tàu và TP. Hồ Chí Minh'. Components: equipment manufacturing, ports, full renewable value chain."
HL-003,energy,Offshore wind for domestic demand (national),"national (regions Bac Bo, Nam Trung Bo, Nam Bo)",n/a,planned,6.0 GW (2030); 17.032 GW (2035); 113.5 to 139.1 GW (2050),2030; 2035; 2050,projection,FTG-15; HUB-02; HUB-03,VN-direct,High,No provincial MW allocation published in the implementation plan summaries read.
HL-004,energy,"Offshore wind to produce new energy (hydrogen, green ammonia)",national (no provinces named),n/a,proposed,about 15 GW (2035); about 240 GW (2050),2035; 2050,projection,FTG-15; FTG-28; HUB-29,VN-direct,High,No legal track: Decree 272/2026 covers grid supply only. 'chủ yếu là nguồn điện gió ngoài khơi'.
HL-005,energy,Ca Mau wind projects with investment approval; offshore wind potential,Ca Mau,Ca Mau; Bac Lieu,planned,"28 projects, 1,740.2 MW approved; offshore potential up to 10 GW; total wind potential over 25 GW",2030,signal,HUB-22,VN-direct,Medium,Operating share not stated. Province frames a chain 'nguồn điện-lưới điện-cảng biển-logistics-công nghiệp hỗ trợ-hydrogen xanh-xuất khẩu năng lượng'.
HL-006,energy,Highest solar irradiance (south),Tay Ninh; Lam Dong,Tay Ninh; Binh Thuan,operating,"1,868 to 2,002 kWh/m2/yr (north 1,500 to 1,700)",current,trend,FTG-18,VN-direct,Medium,"Resource layer; PV capacity factor about 17% (BNEF, FTG-19)."
HL-007,energy,Ninh Thuan 1 and 2 nuclear power plants,Khanh Hoa,Ninh Thuan,planned,4.0 to 6.4 GW (2030 to 2035); national 10.5 to 14.0 GW (2050),2030 to 2035,projection,FTG-15; NT-067; GT-11 (edition 1.0),VN-direct,High,"Resettlement project started Jan 2026 (search listing only, not read). Firm low-carbon baseload for the south-central coast."
HL-008,energy,Quang Ngai power pipeline 2026 to 2030,Quang Ngai,Quang Ngai; Kon Tum,planned,"109 projects, 2,720 MW (817 small hydro, 676 wind, 800 solar, 43 biomass, 300 pumped storage, 15 waste)",2030,signal,HUB-25,VN-direct,Medium,Province seeks 9 special mechanisms for a national refining and energy centre at Dung Quat.
HL-009,energy,"Dung Quat I, II, III combined-cycle gas plants",Quang Ngai,Quang Ngai,planned,capacity not stated in source,not set,signal,HUB-24,VN-direct,Medium,Delayed: Ca Voi Xanh first-gas timing 'chưa xác định' (Jul 2026).
HL-010,energy,"HVDC lines linking Central, South-Central and North after 2030",multiple,multiple,planned,not sized,after 2030,projection,HUB-01,VN-direct,High,"'các đường dây truyền tải siêu cao áp một chiều kết nối khu vực Trung Trung Bộ, Nam Trung Bộ và Bắc Bộ'."
HL-011,energy,"Industrial power tariff for a 24/7 plant at 22 kV (national, uniform by location)",national,n/a,operating,"VND 1,952 per kWh (about USD 75 per MWh)",2026,trend,COST-01; COST-03 (edition 1.0),VN-direct,High,"Grid tariff does not vary by province, so location advantage for power comes only from direct or private supply (not verified for Vietnam this round)."
HL-012,hydrogen,"Tra Vinh Green Hydrogen plant (TGS Tra Vinh Green Hydrogen JSC), Dinh An Economic Zone, Dong Hai commune",Vinh Long,Tra Vinh,planned,"24 kt H2, 182.5 kt NH3, about 195 kt O2 a year; VND 7,856 bn; 22.36 ha land plus 30.4 ha water; export buoy to 40,000 DWT",Q2 2027 (stated 2025); not credible,signal,HUB-04; HUB-05; FTG-27,VN-direct,Medium,"Only fence, gate, guardhouse and part of internal roads by May 2026; overlaps offshore wind survey area; not enough land. Province asked for a full review (5 May 2026)."
HL-013,hydrogen,Ben Tre green hydrogen project,Vinh Long,Ben Tre,planned,24 kt H2; 182.5 kt NH3 a year,Q2 2028 (stated),signal,HUB-04; FTG-17,VN-direct,Low,FTG-17 gives about 30 kt; see disagreements.
