question,why_it_matters,cheapest_way_to_close,owner_org_to_ask,priority
"How much of the China-shipped HS 3504, 2106.10 and 1109 tonnage (about 54,000 t in 2025) goes to food rather than feed, and to which buyers?","China's HS 3504 unit value (USD 0.89 to 1.03/kg) is too low for food-grade isolates, so the food market for plant protein may be much smaller than trade totals suggest; this sizes the addressable B2B market for a domestic ingredient","Buy 2024 to 2025 Vietnamese customs declaration-level data (8-digit code, goods description, importer) from a trade-data vendor, or request a tabulation from the customs statistics unit",General Department of Customs (statistics); commercial trade-data vendors,High
"Which firms import soy protein isolate, TVP and gluten into Vietnam, and in what tonnage each?",Names the real first customers and the distributors who control SME access,"Same declaration-level dataset; cross-check with distributor interviews (VMC Group, Brenntag Vietnam, Barentz Vietnam)",Trade-data vendors; distributors,High
"What inclusion rates and annual tonnages of soy protein, gluten, milk protein and egg white do Vissan, Masan MEATLife, CJ and Cholimex use?",Converts label presence (31% of Vissan formulations) into tonnes and spend,Short structured interview with R&D or purchasing managers using the supply study founder questionnaire,Vissan R&D; Masan MEATLife; CJ Foods Vietnam; Cholimex Food,High
"How long does ingredient qualification take (sample, pilot, line trial, supplier audit, listing) at a large Vietnamese processor, and what documents are required?",Sets the time to first revenue for any domestic or novel ingredient,Interviews at Fi Vietnam or through the Vietnam Association of Food Science and Technology; ask for supplier approval checklists,Vinamilk QA; Acecook QA; Vissan QA; VAFoST,High
"At what price and specification would Vinamilk, Vinasoy or Nutifood trial a Vietnamese rice or mung bean protein isolate instead of imported pea protein?",Tests the most promising pull for a domestic plant-protein isolate,Send specification sheet and samples; run a price-point interview with 5 to 10 R&D buyers,Vinamilk R&D; Vinasoy; Nutifood NNRIS,High
What is Vietnam's total industrial processed-meat output (t per year) by product type?,Needed to scale meat-extender demand beyond one company,"NSO industrial production statistics by product code; MOIT; company filings (Vissan, Masan MEATLife, CAN)",National Statistics Office; Ministry of Industry and Trade,Medium
"Where does Vinamilk source its pea protein, and how much does it buy?",Measures the only confirmed large non-soy isolate demand,Customs declarations; supplier interview; Vinamilk procurement,Vinamilk procurement,Medium
"Do instant-noodle makers (Acecook, Masan Consumer, Uniben, Asia Foods) plan protein-fortified lines?",8.2 billion servings a year; a small protein increment per pack would be a large ingredient volume,Interview Acecook R&D; audit labels of high-protein noodle launches in Japan and Korea by the same groups,Acecook Vietnam; Masan Consumer,Medium
"What protein ingredients do Duc Viet, Le Gia, Uniben, Asia Foods, TH, IDP and FrieslandCampina Vietnam use, and have they made statements on plant protein?",Gaps in this wave's buyer map because web search was unavailable,Retail label audit (extend FORM-01 method) and company websites,AltProtein Vietnam field team,Medium
"How much food-grade whey, WPC and lactose go to infant formula versus feed, and at what specification?",Sizes the precision-fermentation dairy opportunity against real specifications,USDA FAS Dairy and Products Annual; customs declarations; formula makers,USDA FAS Hanoi; infant formula makers,Medium
"Will precision-fermented proteins be treated as GMO food ingredients under the new Food Safety Law and Decree 43/2026, and what does that mean for dairy buyers' labels?",Buyers such as Vinamilk market 'non-GMO'; a GMO label could block uptake regardless of price,Legal review after the October to November 2026 National Assembly session,Vietnam Food Administration (Ministry of Health); law firms,Medium
Is the next Fi Vietnam in May 2027 (USDA) or May 2028 (organiser site)?,Timing of the main ingredient trade fair for first-customer meetings,Ask Informa Markets Vietnam,Informa Markets Vietnam,Low
"Do chay exporters require Halal, Kosher or non-GMO certificates from ingredient suppliers, and which certifiers?",A domestic TVP must carry the certificates its export customers need,Interview Au Lac and An Nhien export managers,Au Lac; An Nhien Foods,Low
