source_id,citation,title,author_or_publisher,date,url,doi,source_type,accessed,notes
AIS-01,FoodNavigator. Alternative protein funding diverges as investors prioritize scale and bankability. 18 Feb 2026.,Alternative protein funding diverges as investors prioritize scale and bankability,FoodNavigator,2026-02-18,https://www.foodnavigator.com/Article/2026/02/18/alternative-protein-funding-shifts-in-2026/,,press,2026-09-25,"GFI data: global alternative-protein investment USD 881 million in 2025 (plant-based 450, fermentation 357, cultivated 74) against USD 1.1 billion in 2024. Investor phrases quoted: 'strong offtake agreements', 'contracted revenue', 'bankable growth strategies'. Read through a fetch summary."
AIS-02,AgFunder. AgFunder Global AgriFoodTech Investment Report 2026 (landing page). 30 Mar 2026.,AgFunder Global AgriFoodTech Investment Report 2026,AgFunder,2026-03-30,https://agfunder.com/research/agfunder-global-agrifoodtech-investment-report-2026/,,market-research,2026-09-25,"USD 16.2 billion agrifoodtech funding in 2025 (-3%). Quote on 'real unit economics, and clear paths to revenue'. Landing page only; full report gated."
AIS-03,AgFunder. Research index page. Accessed 25 Sep 2026.,Research,AgFunder,2026,https://agfunder.com/research/,,market-research,2026-09-25,Clean negative: the latest Asia-Pacific AgriFoodTech Investment Report listed is the 2024 edition; no 2025 or 2026 APAC edition and no Southeast Asia or Vietnam report.
AIS-04,"AgFunderNews. Data snapshot: APAC alt protein investment trends, transitioning from CPG to picks and shovels. 16 Nov 2023.",Data snapshot: APAC alt protein investment trends: transitioning from CPG to picks and shovels,AgFunderNews,2023-11-16,https://agfundernews.com/data-snapshot-apac-alt-protein-investment-trends-transitioning-from-cpg-to-picks-and-shovels,,press,2026-09-25,"GFI data: B2B share of new APAC alt-protein startups rose from 26% (2021) to 75% (2022); APAC funding USD 527 million in 2022, USD 142 million in H1 2023. Title punctuation simplified."
AIS-05,"Huling, R. Korea overtakes Singapore as APAC's cultivated meat startup epicentre, plus four other takeaways from GFI's new reports. GFI APAC, 21 Apr 2026.",Korea overtakes Singapore as APAC's cultivated meat startup epicentre,GFI APAC,2026-04-21,https://gfi-apac.org/korea-overtakes-singapore-as-apacs-cultivated-meat-startup-epicentre/,,advocacy,2026-09-25,"'Private investments into alternative protein innovation continued to decline in 2025'. Names Australia, Thailand and Vietnam as having 'all the right ingredients' for fermentation-derived protein. Same page as package RGN-21 and GLB-49."
AIS-06,GFI APAC. GFI APAC's 2025 Report Card + 6 Things to Watch in 2026. Jan 2026.,GFI APAC's 2025 Report Card + 6 Things to Watch in 2026,GFI APAC,2026-01,https://gfi-apac.org/gfi-apacs-2025-report-card-6-things-to-watch-in-2026/,,advocacy,2026-09-25,Watch items for 2026 include large-scale blended meat rollouts in Asian foodservice and 'protein maximisation' marketing. No Vietnam mention. Same page as package RGN-20 and EXP-11.
AIS-07,Temasek. Transcript: Temasek Review 2025 Media Briefing. 9 Jul 2025.,Transcript: Temasek Review 2025 Media Briefing,Temasek,2025-07-09,https://www.temasek.com.sg/en/news-and-resources/news-room/speeches/2025/temasek-review-2025-media-briefing,,company,2026-09-25,"No statement on food or alternative protein. One Vietnam sentence: 'Our TPCs also see opportunities to invest in Southeast Asia, such as in Vietnam and Malaysia.'"
AIS-08,Temasek. Temasek establishes the Asia Sustainable Foods Platform to accelerate the commercialisation of sustainable foods in Asia. 15 Nov 2021.,Temasek establishes the Asia Sustainable Foods Platform,Temasek,2021-11-15,https://www.temasek.com.sg/en/news-and-resources/news-room/news/2021/Temasek-establishes-Asia-Sustainable-Foods-Platform-accelerate-commercialisation-sustainable-foods,,company,2026-09-25,ASFP aims: commercialisation and scale-up in Asia; FTIC pilot facility; JVs with CREMER (plant protein) and ADM (microbial protein). Pre-2024; used for mandate only.
AIS-09,"Green Queen. Nurasa opens FTIC future food and alt-protein hub in Singapore. 3 May 2024, updated 30 Jul 2025.",Nurasa Opens FTIC Future Food & Alt-Protein Hub in Singapore,Green Queen,2024-05-03,https://www.greenqueen.com.hk/nurasa-food-tech-innovation-centre-ftic-singapore/,,press,2026-09-25,"Nurasa is Temasek-owned; FTIC offers pilot fermentation (ScaleUp Bio, up to 100 L at FTIC) and high-moisture extrusion for market-testing samples."
AIS-10,GFI APAC. Temasek-backed firm upgrades Singapore's conventional meat with plant proteins. Sep 2025.,Temasek-backed firm upgrades Singapore's conventional meat with plant proteins,GFI APAC,2025-09,https://gfi-apac.org/temasek-backed-firm-upgrades-singapores-conventional-meat-with-plant-proteins/,,advocacy,2026-09-25,"Q Protein: beef and chicken products enhanced with soy protein, co-developed by Nurasa, CREMER Sustainable Foods and importer Quality Meat, sold through Quality Meat's retail channels. No sales data. Blend percentages and prices not disclosed."
