name,vn_name,category,hq_province_current,plant_location,founded,ownership_country,stage,products,key_protein_inputs,scale_indicators,funding_known,website,status,source_ids,evidence_label,confidence,notes
Emmay (Emmay and Colleagues JSC),Emmay,mushroom/mycelium,Ho Chi Minh City,"HCMC (Hanh Thong ward, former Go Vap); warehouse in Singapore",2017 (informal from c.2010),Vietnam,startup,"Mushroom-based pork floss (cha bong), pate, banh mi fillings, spring rolls, snacks, sauces; 30+ SKUs (2023)",Shiitake mushroom and mycelium (solid and liquid fermentation claimed); few additives (3-5 vs 15-23 claimed for rivals),"Sales 1.5 t/month rising to about 2 t/month (2023, company-reported); revenue +20% in 2023; exports about 10% of revenue to UK, Australia, India, Netherlands from Q3 2023; claim '1,000 t in 14 days' is a capacity claim not output","None disclosed; ADB #SheExports accelerator (We-Fi funded, WISE implemented) 2023; Cherie Blair Foundation HerVenture",,active as of 2024 (last evidence); checked 2026-09-23,ECO-12; ECO-13; ECO-14,VN-direct,Medium,Founder/CEO Van Pham. Only VN startup found claiming mycelium technology. All figures are company-reported via donor case studies.
NutriGreen Food JSC,Cong ty CP Thuc pham NutriGreen,plant-based meat,Ho Chi Minh City,"HCMC (office 781/C2 Le Hong Phong, former District 10); plant not stated",unknown,Vietnam,SME,Plant-based meat substitutes,"Non-GMO soy, rice, coconut ('100% plant protein from 4 sources'), beet colouring",No scale data found,None found,nutrigreenfood.com.vn (did not resolve on 2026-09-23),unknown (checked 2026-09-23; website did not resolve),ECO-25,VN-direct,Low,Listed in a Top-5 vegetarian manufacturer list; website unreachable at check date.
Cay De Food Company (VMEAT brand),Cong ty Thuc pham Cay De / VMEAT,plant-based meat,Ho Chi Minh City (assumed),unknown,2018 (VMEAT R&D start),Vietnam,startup,"Burger patties (VND 445,000/kg), ground meat (VND 297,000/kg), cha lua (VND 220,000/kg), ham (VND 164,000/kg) (2022 prices)",Not stated (soy likely; unverified),VND 3 bn invested (2018-2022); target VND 60 bn/yr sales in 4-5 years; 'market research phase' in 2022,Founders' own capital (VND 3 bn),,unknown after 2022 (checked 2026-09-23),ECO-17; ECO-19,VN-direct,Low,Co-founder Le Huy. Priced at about 1/4 of imports (claimed). No post-2022 evidence found.
Bien Phuong,Bien Phuong,plant-based seafood,unknown,unknown,2020 (market entry mid-2020),Vietnam,startup,Plant-based versions of seafood products,Not stated,No data,None found,,unknown after 2022 (checked 2026-09-23),ECO-17; ECO-19,VN-direct,Low,Director Le Thi Phuong Thao; entered during COVID-19.
Vinamit JSC (jackfruit plant protein),Vinamit,plant-based meat,Ho Chi Minh City (HQ; not verified this wave),Binh Duong/HCMC area (not verified),unknown,Vietnam,corporate,Young-jackfruit 'vegan meat' for export (dried fruit is core business),Young jackfruit (low protein; a texturiser not a protein source),No volume found,None found,vinamit.vn (timed out),active corporate; jackfruit line status unknown (checked 2026-09-23),ECO-17; ECO-18; ECO-19,VN-direct,Low,"CEO Nguyen Lam Vien quoted as advocate. Jackfruit meat is low-protein; count as meat analogue, not protein supply."
Is It Meat?,Is It Meat?,plant-based meat,Ho Chi Minh City,HCMC (kitchen scale),2020,Vietnam (expat-founded),startup,"Nuggets, sausages, schnitzels, sausage rolls sold to HCMC restaurants",Not stated,"Foodservice only (Brick & Barrel, Zeroism, Kebaby)",None found,,unknown (checked 2026-09-23),ECO-15,VN-direct,Low,Founder Jessica Marber (per 2022 blog). Single blog source.
Yukino Foods,Yukino Foods,plant-based meat,Ho Chi Minh City,HCMC shop (Thao Dien),2016 in VN (claimed),Japan-linked (claimed),SME,"Gyoza, falafel, burgers, curry, tacos",Not stated,One shop plus online (2022),None found,yukinofoods.com (unreachable),unknown (checked 2026-09-23),ECO-15,VN-direct,Low,Blog claims 'first plant-based meat brand in Vietnam' and 'founded 1946'; both unverified and internally odd.
Beyond Meat,Beyond Meat,plant-based meat,n/a (USA),USA/EU plants; imported,2009,USA,multinational,"Beyond Burger, sausages, ground, meatballs",Pea protein,"First VN appearance Aug 2019 via BiaCraft (3 HCMC venues); later gourmet retail and e-commerce (Annam Gourmet, Nam An, Organicfood, Shopee, Lazada); retail VND 1.2-1.8 m/kg (2022)",n/a,beyondmeat.com; facebook.com/beyondmeatviet,present in VN via importers as of 2022; current availability unverified (checked 2026-09-23),ECO-15; ECO-16; ECO-17; ECO-19,VN-direct,Medium,No official exclusive VN distributor identified.
"OmniFoods (OmniPork, Omni Luncheon)",OmniFoods,plant-based meat,n/a (Hong Kong),Imported (Thailand/China co-manufacture; not verified),2018,Hong Kong (Green Monday Group),multinational,"OmniPork mince, luncheon meat, strips","Soy, pea, rice, shiitake","Starbucks Vietnam limited menu (meatball sandwich, luncheon bake) summer 2023; gourmet retail (Annam Gourmet, Nam An) 2022",n/a,omnifoods.co (did not resolve 2026-09-23),unknown in 2026; last VN evidence 2023 (checked 2026-09-23),ECO-15; ECO-20; ECO-21,VN-direct,Medium,2019 Asian expansion plan did not include Vietnam. Brand website unreachable at check date (not proof of exit).
Heura Foods,Heura,plant-based meat,n/a (Spain),Imported,2017,Spain,startup (scale-up),"Chicken strips, burgers, sausages",Soy protein (blog also says mycelium; unverified),Gourmet retail and e-commerce (2022),n/a,,unknown in 2026 (checked 2026-09-23),ECO-15,VN-direct,Low,Single blog source for VN presence.
