record_id,item_id,item,funder_id,funder,fit,reason,source_ids,evidence_label,confidence,demand_evidence_type,notes
FFT-001,DMV-01,Chay-day question in a probability survey,F01,Nova Vista Foundation (Protein Innovation RFP),excluded,Measures a culture-change route (chay days); culture change and individual diet change are out of scope.,AFN-04; AFN-05; demand_moves.csv,general,Medium,stated,Funder's stated scope read against the item; 'stated' is the funder's stated priority (revealed evidence of what it will pay for).
FFT-002,DMV-02,"Declaration-level customs analysis (food vs feed, named buyers)",F01,Nova Vista Foundation (Protein Innovation RFP),partial,"Open data is in scope ('shared resources that lift the whole field'), but only as the evidence base for a procurement or market-commitment outcome.",AFN-04; AFN-05; demand_moves.csv,general,Medium,stated,Funder's stated scope read against the item; 'stated' is the funder's stated priority (revealed evidence of what it will pay for).
FFT-003,DMV-03,Vietnamese sensory and choice-test capacity,F01,Nova Vista Foundation (Protein Innovation RFP),outside remit,Not a policy or market-shaping outcome; research and product work are outside the RFP (direct R&D is excluded).,AFN-04; AFN-05; demand_moves.csv,general,Medium,stated,Funder's stated scope read against the item; 'stated' is the funder's stated priority (revealed evidence of what it will pay for).
FFT-004,DMV-04,Randomised label and name test,F01,Nova Vista Foundation (Protein Innovation RFP),partial,"Evidence for fair naming and labelling rules, which are in scope; the test itself is a milestone, not an outcome.",AFN-04; AFN-05; demand_moves.csv,general,Medium,stated,Funder's stated scope read against the item; 'stated' is the funder's stated priority (revealed evidence of what it will pay for).
FFT-005,DMV-05,Canteen trial with one large caterer (chay days or protein extender),F01,Nova Vista Foundation (Protein Innovation RFP),partial,"The extender arm could support public or corporate procurement of innovative protein; the chay-day arm is whole-food and diet change, both out of scope.",AFN-04; AFN-05; demand_moves.csv,general,Medium,stated,Funder's stated scope read against the item; 'stated' is the funder's stated priority (revealed evidence of what it will pay for).
FFT-006,DMV-06,In-store test of protein-upgraded chay in 20 minimarts,F01,Nova Vista Foundation (Protein Innovation RFP),outside remit,Not a policy or market-shaping outcome; research and product work are outside the RFP (direct R&D is excluded).,AFN-04; AFN-05; demand_moves.csv,general,Medium,stated,Funder's stated scope read against the item; 'stated' is the funder's stated priority (revealed evidence of what it will pay for).
FFT-007,DMV-07,Chay composition and authenticity survey,F01,Nova Vista Foundation (Protein Innovation RFP),outside remit,Not a policy or market-shaping outcome; research and product work are outside the RFP (direct R&D is excluded).,AFN-04; AFN-05; demand_moves.csv,general,Medium,stated,Funder's stated scope read against the item; 'stated' is the funder's stated priority (revealed evidence of what it will pay for).
FFT-008,DMV-08,Standing panel of research and procurement buyers,F01,Nova Vista Foundation (Protein Innovation RFP),partial,A buyer panel could underpin an advance market commitment or offtake pool; fits only if tied to such a commitment.,AFN-04; AFN-05; demand_moves.csv,general,Medium,stated,Funder's stated scope read against the item; 'stated' is the funder's stated priority (revealed evidence of what it will pay for).
FFT-009,DMV-09,Share of meat eaten as processed products,F01,Nova Vista Foundation (Protein Innovation RFP),outside remit,Not a policy or market-shaping outcome; research and product work are outside the RFP (direct R&D is excluded).,AFN-04; AFN-05; demand_moves.csv,general,Medium,stated,Funder's stated scope read against the item; 'stated' is the funder's stated priority (revealed evidence of what it will pay for).
FFT-010,DMV-10,Nha Trang hotel and menu audit,F01,Nova Vista Foundation (Protein Innovation RFP),partial,"Follow-through on Accor's 50% vegetarian or plant-based target is corporate-commitment work (in scope), but the target counts vegetarian dishes, mostly whole-food.",AFN-04; AFN-05; demand_moves.csv,general,Medium,stated,Funder's stated scope read against the item; 'stated' is the funder's stated priority (revealed evidence of what it will pay for).
FFT-011,DMV-11,Survey of EU and UK private-label and seafood buyers,F01,Nova Vista Foundation (Protein Innovation RFP),outside remit,Not a policy or market-shaping outcome; research and product work are outside the RFP (direct R&D is excluded).,AFN-04; AFN-05; demand_moves.csv,general,Medium,stated,Funder's stated scope read against the item; 'stated' is the funder's stated priority (revealed evidence of what it will pay for).
FFT-012,DMV-12,Feed carbon-footprint benchmark for shrimp and pangasius feed,F01,Nova Vista Foundation (Protein Innovation RFP),outside remit,Not a policy or market-shaping outcome; research and product work are outside the RFP (direct R&D is excluded).,AFN-04; AFN-05; demand_moves.csv,general,Medium,stated,Funder's stated scope read against the item; 'stated' is the funder's stated priority (revealed evidence of what it will pay for).
FFT-013,DMV-13,Define chay and vegetarian claims (TCVN 13625),F01,Nova Vista Foundation (Protein Innovation RFP),partial,Labelling rules are in scope; chay claims concern mostly traditional and whole-food products.,AFN-04; AFN-05; demand_moves.csv,general,Medium,stated,Funder's stated scope read against the item; 'stated' is the funder's stated priority (revealed evidence of what it will pay for).
FFT-014,DMV-14,Honest percentage labelling of blended meat,F01,Nova Vista Foundation (Protein Innovation RFP),partial,Labelling policy is in scope; blended meat is not among the named product classes.,AFN-04; AFN-05; demand_moves.csv,general,Medium,stated,Funder's stated scope read against the item; 'stated' is the funder's stated priority (revealed evidence of what it will pay for).
FFT-015,DMV-15,Neutral naming guidance avoiding nhan tao,F01,Nova Vista Foundation (Protein Innovation RFP),fits,Fair naming rules for novel foods; 'defending against unfair labelling rules' is in scope.,AFN-04; AFN-05; demand_moves.csv,general,Medium,stated,Funder's stated scope read against the item; 'stated' is the funder's stated priority (revealed evidence of what it will pay for).
FFT-016,DMV-16,GMO declaration status of purified precision-fermented proteins,F01,Nova Vista Foundation (Protein Innovation RFP),fits,"A regulatory pathway question for fermentation-derived protein, a named product class.",AFN-04; AFN-05; demand_moves.csv,general,Medium,stated,Funder's stated scope read against the item; 'stated' is the funder's stated priority (revealed evidence of what it will pay for).
FFT-017,DMV-17,Public-meal protein guidance on quality and cost; Dispatch 64 supplier documents,F01,Nova Vista Foundation (Protein Innovation RFP),partial,"Public procurement of innovative protein is the named priority; as written the move opens public meals to plant protein generally, including tofu and legumes (whole food). Recast as a procurement standard for innovative protein to fit.",AFN-04; AFN-05; demand_moves.csv,general,Medium,stated,Funder's stated scope read against the item; 'stated' is the funder's stated priority (revealed evidence of what it will pay for).
FFT-018,DMV-18,Eight-digit customs subheadings for plant proteins,F01,Nova Vista Foundation (Protein Innovation RFP),partial,"Open data is in scope ('shared resources that lift the whole field'), but only as the evidence base for a procurement or market-commitment outcome.",AFN-04; AFN-05; demand_moves.csv,general,Medium,stated,Funder's stated scope read against the item; 'stated' is the funder's stated priority (revealed evidence of what it will pay for).
FFT-019,DMV-19,"Use and protect EU, UK and Japanese tariff preferences",F01,Nova Vista Foundation (Protein Innovation RFP),outside remit,Not a policy or market-shaping outcome; research and product work are outside the RFP (direct R&D is excluded).,AFN-04; AFN-05; demand_moves.csv,general,Medium,stated,Funder's stated scope read against the item; 'stated' is the funder's stated priority (revealed evidence of what it will pay for).
FFT-020,TPP-01,Domestic textured soy or soy-gluten protein,F01,Nova Vista Foundation (Protein Innovation RFP),partial,"Textured soy is the base of plant-based meat; a procurement or offtake commitment could fit, but whether funders count it as 'innovative' is untested and direct investment is excluded.",AFN-04; AFN-05; target_product_profiles.csv,general,Medium,stated,Funder's stated scope read against the item; 'stated' is the funder's stated priority (revealed evidence of what it will pay for).
FFT-021,TPP-02,Higher-protein chay foods,F01,Nova Vista Foundation (Protein Innovation RFP),outside remit,Not a policy or market-shaping outcome; research and product work are outside the RFP (direct R&D is excluded).,AFN-04; AFN-05; target_product_profiles.csv,general,Medium,stated,Funder's stated scope read against the item; 'stated' is the funder's stated priority (revealed evidence of what it will pay for).
FFT-022,TPP-03,Hybrid extender for processed meat,F01,Nova Vista Foundation (Protein Innovation RFP),partial,Blends are not a named class; could enter through processors' protein-ratio commitments.,AFN-04; AFN-05; target_product_profiles.csv,general,Medium,stated,Funder's stated scope read against the item; 'stated' is the funder's stated priority (revealed evidence of what it will pay for).
FFT-023,TPP-04,Canteen protein ingredient and dish base,F01,Nova Vista Foundation (Protein Innovation RFP),fits,The product a public or corporate procurement commitment would buy; both levers are named priorities.,AFN-04; AFN-05; target_product_profiles.csv,general,Medium,stated,Funder's stated scope read against the item; 'stated' is the funder's stated priority (revealed evidence of what it will pay for).
FFT-024,TPP-05,Rice or mung bean isolate for plant milks,F01,Nova Vista Foundation (Protein Innovation RFP),partial,Dairy alternatives are in scope for policy and market shaping; product development is direct R&D and excluded.,AFN-04; AFN-05; target_product_profiles.csv,general,Medium,stated,Funder's stated scope read against the item; 'stated' is the funder's stated priority (revealed evidence of what it will pay for).
FFT-025,TPP-06,Fungal biomass functional ingredient,F01,Nova Vista Foundation (Protein Innovation RFP),partial,"Fermentation-derived protein is a named class; rules and procurement fit, product development does not.",AFN-04; AFN-05; target_product_profiles.csv,general,Medium,stated,Funder's stated scope read against the item; 'stated' is the funder's stated priority (revealed evidence of what it will pay for).
FFT-026,TPP-07,Precision-fermented specialty protein,F01,Nova Vista Foundation (Protein Innovation RFP),fits,The GMO-labelling and novel-food pathway (DMV-16) is exactly the policy work in scope.,AFN-04; AFN-05; target_product_profiles.csv,general,Medium,stated,Funder's stated scope read against the item; 'stated' is the funder's stated priority (revealed evidence of what it will pay for).
FFT-027,TPP-08,"Export private-label plant foods (EU, UK)",F01,Nova Vista Foundation (Protein Innovation RFP),outside remit,Not a policy or market-shaping outcome; research and product work are outside the RFP (direct R&D is excluded).,AFN-04; AFN-05; target_product_profiles.csv,general,Medium,stated,Funder's stated scope read against the item; 'stated' is the funder's stated priority (revealed evidence of what it will pay for).
FFT-028,TPP-09,Diaspora protein-upgraded chay,F01,Nova Vista Foundation (Protein Innovation RFP),outside remit,Not a policy or market-shaping outcome; research and product work are outside the RFP (direct R&D is excluded).,AFN-04; AFN-05; target_product_profiles.csv,general,Medium,stated,Funder's stated scope read against the item; 'stated' is the funder's stated priority (revealed evidence of what it will pay for).
