where,current,proposed,evidence_source_ids,strength,type
"ch26-business-buyers 26.2, paragraph after the price ladder","""Vietnam's most-favoured-nation duties on these lines are low (3% for HS 3504, 5% for 2106.10, 10% for gluten) ... so domestic makers get little protection.""","""Chinese, ASEAN and Korean product pays no duty: 2106.10, 3504 and 1109 are at 0% under ACFTA, ATIGA, AKFTA and RCEP in 2025 to 2027 with a certificate of origin. The MFN rates (5%, 3%, 10%) apply only to other origins, chiefly the United States. Domestic makers get no tariff protection against Chinese product.""",FTR-32; FTR-33,strong,corrects
ch26.7 buyer map row 1; app-ae-buyers row 1; buyer_segments.csv BSG-001,"""plus freight and 5% MFN duty""","""plus freight; no duty under ACFTA or RCEP (about USD 1.28 to 1.36 per kg landed in 2025)""",FTR-32; BUY-02,strong,corrects
target_product_profiles.csv TPP-01 price_target; ch29.2 table row TPP-01,"""USD 1.24 per kg FOB in 2025 plus freight and 5% duty (about USD 1.9 per kg of protein)""","""USD 1.24 per kg FOB in 2025 plus 3 to 10% freight and insurance and 0% duty under ACFTA or RCEP: about USD 1.28 to 1.36 per kg, or USD 2.0 to 2.1 per kg of protein (our calculation)""",FTR-32; BUY-02; FTR-38,moderate,corrects
play_demand_check.csv T1 demand_kill_test; ch29.3 kill tests,"""Domestic ex-factory cost stays above Chinese landed cost""","""Domestic ex-factory cost stays above Chinese landed cost at 0% duty (ACFTA or RCEP), about USD 1.28 to 1.36 per kg in 2025; there is no tariff shelter against China, ASEAN or Korea""",FTR-32,strong,corrects
target_product_profiles.csv TPP-05 (price_target; format_and_function; notes),Price band USD 2 to 8.5 per kg; no sugar or tax condition,"Add: ""Chinese, French and Canadian pea protein enter at 0%; US pea at 3%, so the band is unprotected."" Add to must-have: ""host drinks designed at or below 5 g total sugar per 100 ml; the reference drink (Vinamilk Sữa Hạt Cao Đạm Ít Đường, 6.5% added sugar) would be excise-liable from 2027 if plant milks are in scope""",FTR-32; FTR-02; FORM-01,moderate,adds
play_demand_check.csv T10 (demand_evidence; demand_kill_test),Kill test on cost band and UHT stability only,"Add: ""Host drinks above 5 g total sugar per 100 ml may pay 8% excise from 2027 (10% from 2028) while dairy is exempt; rice-based drinks are cereal drinks, the clearest taxable case. No tariff shelter against Chinese pea."" Market pull stays 4.",FTR-01; FTR-02; FTR-05; FTR-32,moderate,adds
"ch23-consumers 23.5 ""Why plant milk worked"" table, price row, and a new sentence after the table","""Mass soy milk about VND 22,900 per litre, below cow milk at VND 33,000 to 45,000""","Add: ""From 1 January 2027 drinks above 5 g total sugar per 100 ml that count as *nước giải khát* pay an 8% excise (10% from 2028), and since 1 January 2026 they have lost the 2% VAT cut; dairy is exempt. Core Fami soy milks carry 6.5 to 9.3 g. Whether soy and nut milks are in scope is unresolved; cereal milks are named. If taxed and passed on in full, mass soy milk would be about VND 25,200 per litre in 2028, still 24 to 44% below cow milk.""",FTR-01; FTR-02; FTR-05; FTR-09; FTR-17; FTR-18; FORM-01; CON-35,moderate,adds
"ch23.9 bullet ""Plant milk is the proven category""; ch29.1 finding 5","""priced at or below dairy by local incumbents; protein content has just started to sell in it""","Append: ""A sugary-drink excise from 2027 may fall on sweetened plant milks but not on dairy, so design new plant milks at or below 5 g total sugar per 100 ml.""",FTR-01; FTR-02; FTR-05,moderate,adds
"ch26.3 ""Dairy and plant milks"" paragraph",No tariff note,"Add: ""Regional plant-milk imports are duty-free (2202.99 at 0% under ACFTA, ATIGA, AKFTA; 30% MFN applies only to non-FTA origins), so local makers' advantage is distribution, not tariffs.""",FTR-32,moderate,adds
"ch05-rules ""Tariffs give no shelter""; app-i-costs I6 import-duty table; app-g-regulation G.18 ""ATIGA / ACFTA"" column; data/tariffs.csv atiga_rate and acfta_rate","""Not verified""","Fill 0% (ATIGA) and 0% (ACFTA) for 1109, 1208.10, 2106.10, 3504, 2102.10, 2102.20 and 2304; add ""and none from China, ASEAN or Korea under ACFTA, ATIGA, AKFTA and RCEP (2025 to 2027)"". Note VNTR's MFN column is stale and 1208.10 MFN is 8%.",FTR-32; FTR-33,strong,updates
app-g-regulation G.18 reading bullet; app-h-feed-market tariff note (line 236); app-x-drivers-signals X (line 102),"""An imported dried SCP entering under 2102.20 would pay about 7% ... a small edge for local SCP producers over imported SCP""; ""Preferential rates ... unverified""","""SCP from China and ASEAN enters at 0% under ACFTA, ATIGA and RCEP; the 7% MFN applies only to other origins, so local SCP has no tariff edge over Chinese product""",FTR-32,strong,corrects
data/open_questions.csv OQ-150,open,"closed: HS 2102, 2106.10 and 3504 are at 0% under ACFTA and RCEP-China, 2025 to 2027",FTR-32,strong,updates
