record_id,product,brand_or_owner,retailer_or_channel,market,category,protein_g_per_100g,origin_evidence,evidence_basis,record_date,route,source_ids,evidence_label,confidence,demand_evidence_type,notes
VPA-01,Battered fishless fillets,Plant Pioneers (Sainsbury's own brand),Sainsbury's,United Kingdom,"plant-based fish (jackfruit 28%, king oyster mushroom 8%, soya protein)",5.4,'origins: Vietnam',crowd-sourced database record,created January 2021; modified 2026,UK private label,XBA-26,VN-direct,Low,revealed,Origin field may describe the product or the jackfruit; confirm on pack.
VPA-02,4 Katsu Curry Vegetable Steamed Buns,Menyū,Waitrose,United Kingdom,vegetable bun (vegetables 33%),5.2,'origins: Vietnam',crowd-sourced database record,modified March 2026,UK retail brand,XBA-26,VN-direct,Low,revealed,
VPA-03,Vegetable Spring Rolls with Edamame,Royal Asia,Costco,Canada; United States,"vegetable spring roll with wheat protein, soy protein and edamame",not recorded,'origins: Vietnam',crowd-sourced database record,modified August 2026,club-store brand,XBA-26,VN-direct,Low,revealed,
VPA-04,"Prawn Hargow 12 pieces, 300 g",Mr Chen's (Australian brand),Coles,Australia,seafood dumpling (not plant-based),not read,'Made in Vietnam' (mandatory country-of-origin label),retailer product page,2026-09-25,co-packed brand,XBA-25,VN-direct,High,revealed,"Evidence of the co-pack route for wrapped foods, not of plant-based demand."
VPA-05,Family vegetable dumplings,Mr Chen's,Australian retail (store not recorded),Australia,vegetable dumpling,not recorded,Vietnamese GS1 prefix (8935239),crowd-sourced database record,2018,co-packed brand,XBA-26; XBA-27,VN-direct,Low,revealed,"No Mr Chen's vegetable SKU in Coles search, September 2026."
VPA-06,Mandu Vegetable Dumplings 280 g,Bibigo (CJ CheilJedang),Coles,Australia,vegetable dumpling,not read,'Made in Australia from at least 55% Australian ingredients',retailer product page,2026-09-25,brand owner,XBA-25,general,High,revealed,Counter-example: CJ's vegetable dumplings for Australia are not made in Vietnam.
VPA-07,Dry soy pieces: vegan pork chops; cot let chay; vegan beef slices; vegan chicken slice; vegan chicken balls; vegan grilled steak,An Nhien,Asian grocers (store not recorded),France; Germany,dry textured soy chay,48 to 61.2,Vietnamese GS1 prefix (8936093330); manufacturing place Vietnam on one record,crowd-sourced database records,2023 to 2026,"Vietnamese brand, diaspora and Asian grocery",XBA-26; XBA-27,VN-direct,Low,revealed,Roasted pork record lists non-GMO soy protein isolate as first ingredient.
VPA-08,Vegan roasted pork; vegan beef jerky; vegan chicken satay,An Nhien,Asian grocers (store not recorded),France; Spain,seasoned soy chay,11.9 to 24.8,Vietnamese GS1 prefix; manufacturing place Vietnam (roasted pork),crowd-sourced database records,2026,"Vietnamese brand, diaspora and Asian grocery",XBA-26; XBA-27,VN-direct,Low,revealed,
VPA-09,Vegan shredded squid; ga cuc chay; vegan fish sauce; vegan pork meat slice,Au Lac and brands sharing the same Vietnamese GS1 prefix,Asian grocers (store not recorded),Colombia; France; Germany; Norway,chay analogues and sauces,40 to 42 (analogues),Vietnamese GS1 prefix (89350014),crowd-sourced database records,2023 to 2026,"Vietnamese brand, diaspora and Asian grocery",XBA-26; XBA-27; EXP-38,VN-direct,Low,revealed,"Au Lac claims exports to the US, Canada, Australia, Germany and UK (EXP-38)."
VPA-10,Mixed vegetable dumplings (banh bao chay),MT Trading Corp,Asian grocery,United States,vegetarian steamed bun,4,Vietnamese GS1 prefix,crowd-sourced database record,2025,importer brand,XBA-26,VN-direct,Low,revealed,
VPA-11,Cashew butters: K-take it veggie Cashewmus; Rewe Bio Cashewmus,Kaufland and Rewe own brands,Kaufland; Rewe,Germany,nut butter (ingredient route),not recorded,'origins: Vietnam' (cashew),crowd-sourced database records,2024 to 2026,EU private label using Vietnamese cashew,XBA-27,VN-direct,Low,revealed,"Ingredient export, already in the package (EXP-19)."
VPA-12,Cashew-based cheese alternatives: Pa'lais range; Les Nouveaux Affineurs; French Kiss,Belgian and French plant-based makers,Delhaize; Bio-Planet; Biocoop; Monoprix,Belgium; France; Germany; Netherlands,cashew cheese alternative (ingredient route),not recorded,'origins: Vietnam' (cashew),crowd-sourced database records,2024 to 2026,EU brand using Vietnamese cashew,XBA-27,VN-direct,Low,revealed,
VPA-13,Vegetarian net spring rolls; vegan lemongrass jerky; vegetarian soups; bao; sauces,Vietnamese makers,Weee! (online Asian grocer),United States,chay convenience foods,not marketed on protein,Made in Vietnam,retailer listing (package),2026-09-24,diaspora,EXP-37,VN-direct,High,revealed,From the package; USD 3.50 to 10 a pack.
