play_id,type,name,family,segment,what,why_vietnam,must_be_true,kill_tests,first_customers,partners,horizon,horizon_start_years,horizon_end_years,capital_note,lead_audiences,related_pages,source_ids,evidence_label,confidence,market_pull,vietnam_advantage,technical_readiness,route_clarity,capital_efficiency,defensibility,public_value
T1,play,Domestic textured plant protein,Plant protein,food ingredient,"Dry textured soy protein and soy-gluten granules and slices, made in Vietnam for chay brands, frozen-food makers and co-packers; high-moisture whole cuts as a second step","Every audited Vietnamese product with 10 g protein or more per 100 g runs on imported textured soy, soy protein or gluten; no commercial extrusion found; buyers named; ordinary food rules","Ex-factory cost at or below landed Chinese textured protein (USD 1.24/kg FOB in 2025; USD 1.29 to 1.38/kg landed; 0% duty under ACFTA and RCEP) (TIC-12; BUY-02; FTR-32); a food-grade, low-temperature defatted soy flour supply below the breakeven price (about USD 700 to 940 per t delivered for a 1 t/h line at 70% utilisation; our calculation, TIC-12; TIC-13); buyers value freshness, customisation and local supply","Delivered food-grade flour costs more than about USD 700 to 940 per t (1 t/h at 70%) or USD 590 to 900 per t (0.5 t/h at 70%); fewer than three buyers sign conditional orders totalling at least 2,000 t a year; Chinese landed price (USD 1.29 to 1.38/kg in 2025) stays below Vietnamese full cost at 2,800 t a year (0.5 t/h at 70%) or 5,600 t a year (1 t/h at 70%), on 8,000 operating hours a year; India-origin textured soy (USD 0.98/kg FOB in 2025) becomes the reference price","An Nhien, Au Lac, Xuan Hong, LC Foods, Cholimex, CJ Foods Vietnam (Cau Tre, bibigo), Vissan, Thoai An, GN Foods and other co-packers",Extrusion-line suppliers; a soy crusher (VAL) for a food-grade flake stream; FIRI for pilot trials,0 to 2 years,0,2,"Chinese dry-TVP lines of 0.5 to 1 t/h with dryer are listed at USD 11,000 to 100,000 (list prices, TIC-01 to TIC-10); installed capex in Vietnam USD 0.28 to 1.38 million (our calculation); working capital of USD 0.6 to 3.5 million is the larger need; a European-grade line is unverified (USD 2.0 to 5.6 million installed on the v0.1 equipment assumption of USD 1.5 to 4 million). Version 0.4: best owned by a chay maker, co-packer or distributor and financed with debt and trade finance, not venture equity; proposed score changes (capital efficiency 4 to 5, Vietnam advantage 3 to 2) recorded in play_demand_check.csv, scores here unchanged",startups; manufacturers; investors,ch02-alt-protein-today; ch09-economics; ch10-technology-fit,FORM-01; FORM-05; FORM-06; FORM-07; FORM-10; FORM-11; COST-21; COST-28,VN-direct,Medium,4,3,5,5,4,2,3
T2,play,Functional microbial feed ingredients for shrimp and pangasius,Microbial protein (feed),feed ingredient,"Yeast, fungal or bacterial biomass products used at 1 to 5% of shrimp or fish diets and sold on survival, feed efficiency or palatability, made on Vietnamese carbohydrate",Abundant cassava and sugar carbon; captive aerobic fermentation skills; about six firms make most shrimp feed; inactive yeasts already on the livestock feed list; buyers pay for function,"Repeatable species-specific trials show at least a 3 to 5% gain in survival or feed conversion at 1 to 5% inclusion; a legal route for aquafeed use (written opinion or trial); cost per tonne of product below the functional willingness to pay (about USD 1,000 to 4,250 per t in total for pangasius; USD 1,280 to 4,800 per t above fishmeal parity for shrimp); delivered price against a revealed bulk inactive-yeast price of about USD 1,100 per t (Vietnam imported about 9,200 t of HS 2102.20 in 2025, 95% at about USD 1.1/kg; FBA-17), or head-to-head trials that show a gain worth the difference",Two independent tank or pond trials fail to show a gain at 5% inclusion or less; Chinese by-product biomass matches the function at a lower price,"Sheng Long, CP Vietnam, Uni-President Vietnam, Tongwei, Grobest, Gromax (shrimp feed); Vinh Hoan and other integrated pangasius groups","Vedan, Ajinomoto or Daesang (tolling or co-product streams); ShrimpVet or university aquaculture labs for trials; De Heus, GreenFeed, Cargill as distribution",1 to 3 years,1,3,"Low if tolled on existing tanks; a dedicated plant sits in the fermentation capex range (USD 8,000 to 20,000 per annual tonne, indicative)",startups; manufacturers; investors; research,ch05-industrial-base; ch07-rules; ch09-economics; app-s6-feed-market,FM-01; FM-04; FM-10; FM-12; FM-20; FM-31; SCI-23; SCI-24; SCI-44; REG-32; REG-33; REG2-01,VN-direct,Medium,4,4,3,3,3,3,4
T3,play,Bulk microbial protein for fishmeal replacement,Microbial protein (feed),feed ingredient,"Fungal or bacterial protein made at 10,000 t a year or more to replace 25 to 50% of fishmeal in shrimp feed","Carbon and buyers exist; the displaceable fishmeal pool is about 120 to 245 kt a year (central), of which 25 to 90 kt in total is realistically contestable by novel proteins, already contested by insect meal and Chinese microbial protein","Capex below about USD 6,000 per annual tonne (tolling or brownfield); near-free carbon from a side stream; fishmeal stays near its 2026 high; beats Chinese by-product and FeedKind-type imports","After a pilot, measured cost stays above 1.2 times fishmeal-protein parity at 2025 prices; no mill signs an offtake at 70 to 90% of fishmeal-protein parity",Shrimp feed makers listed under T2,"Starch factories (pulp, wastewater) or amino-acid producers; a DFI for first-loss capital",3 to 6 years,3,6,"Tens of USD millions for a 10,000 t plant (indicative stack A: capital is 54 to 67% of cost)",investors; policy; international,ch09-economics; app-s6-feed-market,FM-01; FM-04; FM-12; FM-13; COST-43; COST-44,VN-direct,Low,3,3,3,3,1,1,4
T4,play,Cassava starch to fermentation sugar hub,Feedstock enabler,enabler,"Convert part of the cassava starch Vietnam exports into fermentation-grade glucose next to starch factories, and co-locate fermenters (domestic or foreign) at the same sites","Vietnam shipped 2.15 Mt of cassava starch in 2023, 93.5% to China, while China imported only USD 0.16 million of glucose syrup from Vietnam in 2024; starch factories cluster in Tay Ninh and the Central Highlands; glucose technology is standard",Cassava prices stabilise after the 2025 to 2026 spike and the E10 mandate; at least one fermenter commits to co-locate; wastewater and biogas infrastructure can serve fermentation,No fermenter commits within two years; cassava price volatility makes long-term sugar contracts impossible,"Domestic fermenters (amino acids, yeast, enzymes); foreign biomass or precision-fermentation firms seeking a lower-cost ASEAN site",Starch groups in Tay Ninh; provincial investment agencies; industrial parks,1 to 3 years,1,3,Not estimated; hydrolysis and refining lines are standard starch-industry equipment,policy; investors; international; manufacturers,ch04-asset-map; ch03-regional,RGN-51; RGN-53; RGN-55; FS-01; FS-11; FS-12; VCO-03,VN-direct,Medium,2,5,5,5,3,3,4
T5,play,Shared pilot and tolling fermentation,Infrastructure enabler,enabler,"A food-grade pilot line (hundreds of litres to a few cubic metres) plus negotiated tolling on existing industrial tanks, open to startups and researchers","Aerobic tanks exist inside Vedan, Ajinomoto and Daesang, but we found no published tolling offer and no open pilot fermenter; startups otherwise scale up in Singapore, Thailand or China","An anchor host (industrial producer, Saigon Hi-Tech Park, FIRI or a university) and an operator; enough users to fill the line; public or DFI co-funding",No host agrees to tolling terms; utilisation below about a third in the first two years,"Feed and food startups under T2, T7 and T9; research groups; foreign firms testing Vietnamese feedstocks",Saigon Hi-Tech Park; FIRI; Vedan; Ajinomoto; Daesang; Thai EECi (access arrangement),2 to 4 years,2,4,Pilot scale; public or DFI co-funding expected (not estimated),policy; international; research; startups,ch05-industrial-base; ch06-knowledge-talent; ch27-policy-options,INF-02; INF-06; IND-11; VCO-03; RGN-36,VN-direct,Medium,2,4,4,4,2,3,5
T6,play,Duckweed on aquaculture effluent for feed,Aquatic plants,feed ingredient,"Duckweed grown on pond or processing effluent, used fresh or dried in fish, poultry or pig feed; a protein concentrate for food later",Duckweed is already a permitted livestock feed material; warm climate; large aquaculture effluent volumes; a Vietnamese collection of more than 100 wild strains,Yields of 10 to 30 t dry matter per ha per year on Vietnamese sites; heavy-metal and manganese levels within feed limits; low-cost harvesting and drying,Field yields below 10 t per ha per year; contaminants above feed limits on typical effluent,Integrated pangasius and tilapia farms; small feed mills; livestock farms,Can Tho University and other aquaculture faculties; pangasius processors,1 to 3 years,1,3,"Low (ponds, harvesters, dryers)",research; startups; policy,ch04-asset-map; ch10-technology-fit,REG-32; REG-33; RD-44; SCI-28; SCI-30; SCI-34; SCI-36; SCI-37,VN-adjacent,Medium,2,4,3,4,4,3,3
T7,play,"High-value, low-dose precision-fermentation ingredients",Precision fermentation,food ingredient,"Enzymes, heme or sweet proteins and specialty functional proteins developed by Vietnamese teams and made under contract (Singapore, Thailand, China) until a domestic option exists",Vietnamese groups already express proteins in yeast; low-dose products escape the bulk-titer benchmark; export markets can rely on Singapore or other approvals,A product where titers of 1 to 10 g/L are economic; freedom to operate (OPENPichia or licensed strains); a foreign approval or an ingredient use outside novel-food rules; a clear GMO pathway under Decree 43/2026,No customer letter of intent after a sample programme; contract-manufacturing cost above the target price at pilot scale,Regional food and flavour ingredient firms; feed-enzyme buyers,ScaleUp Bio (Singapore); EECi (Thailand); Chinese CDMOs; Vietnamese protein-expression labs,2 to 5 years,2,5,Asset-light at first (contract manufacturing),startups; research; investors,ch07-rules; ch03-regional; ch10-technology-fit,SCI-01; SCI-03; SCI-04; SCI-05; SCI-08; RGN-10; RGN-36,general,Medium,2,2,2,1,3,3,2
T8,play,Cultivated seafood research,Cultivated meat and seafood,research,"Serum-free adaptation of striped catfish and shrimp cells, growth-factor expression and regulatory preparation, in partnership with foreign groups",Vietnam is the world's main pangasius producer; Vietnamese groups express growth factors and culture stem cells; regional approvals are arriving,A food-suitable cell line; research funding over 5 years or more; a partner with scale-up know-how,"No serum-free, suspension-capable line after 3 years of work",None in this decade; research partners and foreign companies,Foreign cultivated-seafood firms; ICAR-NBFGR-type cell repositories; Vinh Hoan (a prior investor abroad),5 to 10 years or more,5,10,Research grants,research; international,ch10-technology-fit; ch03-regional,SCI-10; SCI-11; SCI-12; SCI-14; SCI-16; COST-47; CAP-16,general,Medium,1,2,1,1,2,2,2
T9,play,Koji and fungal foods on food-grade side streams,Fungal foods,food product,"Solid-state fermented foods and ingredients using characterised Aspergillus oryzae or other food moulds on okara, broken rice or brewer's spent grain",Tuong (fermented soybean paste) tradition; local gene tools for A. oryzae; koji on food substrates goes through ordinary self-declaration; food-grade side streams exist,A characterised strain with no cyclopiazonic acid or 3-nitropropionic acid risk; a food-grade substrate supply; consumer acceptance in chay and mainstream dishes,Strain safety data cannot be obtained; sensory trials fail with target buyers,Chay brands; restaurants; frozen-food makers,VNU Hanoi fungal genetics group; tofu and soy-milk makers; breweries,1 to 3 years,1,3,Low (solid-state fermentation rooms),startups; research; manufacturers,ch07-rules; ch06-knowledge-talent; ch10-technology-fit,SCI-19; RD-33; RD-34; FS-01,VN-direct,Low,2,3,3,4,4,3,2
T10,play,Mung bean and rice protein for plant drinks,Plant protein,food ingredient,"Protein concentrates or isolates from mung bean and rice, replacing imported pea protein in high-protein plant drinks and yogurts",A large plant-milk industry; imported pea protein in high-protein lines; rice and mung bean are familiar; ordinary food rules,Functional and sensory parity in drinks; cost near imported pea protein; a buyer specification; a reliable mung bean supply (65% of imports come from Myanmar),Buyer rejects on taste or stability; cost above imported pea protein by more than a local-sourcing premium buyers will pay,"Vinamilk, TH and other plant-milk makers",Rice millers; FIRI; food-technology faculties,2 to 4 years,2,4,Moderate (wet fractionation and drying; not estimated),manufacturers; startups; research,ch02-alt-protein-today; ch10-technology-fit,FORM-01; FORM-08; SCI-40; SCI-41; SCI-42,VN-direct,Low,3,2,3,5,3,2,3
