commodity,hs_code,year,volume_t,value_usd,top_origins,source_ids,evidence_label,confidence,notes
Corn (maize),1005,2023,9710000,2870000000,n/a,MAC-11,VN-direct,Medium,"Derived by us from 2024 customs values and reported 2024 growth rates (+28.9% volume, +6.07% value). Implied average price about USD 295/t."
Corn (maize),1005,2024,12520000,3040000000,Argentina 6.4 Mt (51.1%); Brazil 4.9 Mt (39%); Laos 0.10 Mt (0.8%),MAC-11; MAC-02,VN-direct,High,"Vietnam customs, published 10 Jan 2025. USDA CY2024 figure identical (12.52 MMT). Average price about USD 243/t."
Corn (maize),1005,2025,11910000,2950000000,"Argentina 5.54 Mt (46.5%); Brazil 4.15 Mt (34.8%); United States about 1.6 Mt (13%, USDA); Cambodia 0.12 Mt (new)",MAC-08; MAC-01,VN-direct,High,"Vietnam customs preliminary, 10 Jan 2026. Volume -4.8%, value -2.9% vs 2024. Average price USD 248.1/t. About 74% of domestic corn supply (production about 4.1 Mt)."
Corn (maize),1005,2026 H1,6800000,,Argentina 37%; Brazil 36%; United States 13%,MAC-03,VN-direct,Medium,"USDA GAIN VM2026-0030 (4 Aug 2026), +49% y/y. USDA revised MY2026/27 corn import forecast to 15 MMT."
Soybeans,1201,2023,1860000,,n/a,MAC-05,VN-direct,Medium,Derived by us: CY2024 2.22 Mt was +19.4% y/y.
Soybeans,1201,2024,2220000,1122000000,Brazil 48.4%; United States 41.4%; Canada remainder,MAC-05; MAC-09,VN-direct,Medium,Volume and origins from USDA VM2025-0011. Value derived by us from 2025 customs value and reported +7.8% growth.
Soybeans,1201,2025,2610000,1210000000,Brazil 1.20 Mt (45.8%); United States 1.14 Mt (43.6%); Canada 0.19 Mt (7.3%),MAC-09; MAC-04,VN-direct,High,"Vietnam customs preliminary 10 Jan 2026; +17.6% volume, +7.8% value; average USD 465.5/t. Domestic output 42 to 43 kt, so imports are about 98.4% of supply. About 1.9 Mt crushed domestically; about 0.54 Mt food use."
Wheat (all),1001,2024,5740000,1584000000,Ukraine 1.5 Mt; Australia 1.2 Mt (USDA),MAC-10; MAC-02,VN-direct,Medium,"Customs-implied (derived from 2025 values and reported -5.1% volume, -7.8% value). USDA reports 5.5 MMT for CY2024. Discrepancy logged."
Wheat (all),1001,2025,5450000,1460000000,Australia 1.39 Mt (25.4%); Brazil 1.04 Mt (19.1%); United States 0.95 Mt (17.5%),MAC-10; MAC-01,VN-direct,High,"Customs preliminary 10 Jan 2026; average USD 267.4/t. Includes milling wheat. USDA: feed and residual 2.6 Mt, food/seed/industrial 2.85 Mt (MY2025/26)."
Wheat (feed grade),1001,2025,2580000,,Brazil 29%; Ukraine 24%; Russia 12%; United States 12%; Australia 10%,MAC-01,VN-direct,Medium,USDA Post estimate of feed wheat demand CY2025; origins are for feed wheat imports.
Wheat (all),1001,2026 H1,4800000,,Argentina 58%; Australia 16%; Brazil 9%; Canada 8%; United States 6%,MAC-03,VN-direct,Medium,"USDA VM2026-0030, +58% y/y."
Soybean meal,2304,2024,6000000,,Argentina 69%; United States 14%; Brazil 13%,MAC-05,VN-direct,High,"USDA VM2025-0011, +32% y/y. USDA notes customs reclassified SBM under two HS codes."
Soybean meal,2304,2025,5703000,,Argentina 69%; Brazil 15%; United States 13% (read from USDA table; see notes),MAC-04,VN-direct,Medium,"USDA PSD (MY2024/25 = Jan to Dec 2025). Share attribution read from a table header order; a summary tool first swapped Argentina and Brazil, so re-check in the PDF. SBM feed use 7.2 Mt; domestic meal output 1.48 Mt from imported beans. Import value not published in sources read."
DDGS,230330,2024,1300000,,United States about 70%,MAC-02,VN-direct,Medium,USDA reports MY2023/24; treated as approximately CY2024.
