source_id,citation,title,author_or_publisher,date,url,doi,source_type,accessed,notes
PMR-01,"Thủ tướng Chính phủ. Quyết định số 973/QĐ-TTg ngày 01/6/2026 phê duyệt Chương trình Sức khỏe học đường giai đoạn 2026-2035 (signed PDF, 15 pages, via Thư Viện Pháp Luật).",Quyết định 973/QĐ-TTg phê duyệt Chương trình Sức khỏe học đường giai đoạn 2026-2035,Prime Minister of Viet Nam,2026-06-01,https://cdn.thuvienphapluat.vn/phap-luat/2022-2/PTA/6-6-2026/973-QD-TTg.pdf,,gov/statistics,2026-09-25,"Full text read (pages 5 to 15 are scans, read as images). Appendix II: MOET circular on bán trú meal organisation (2026); scale up school meal model (ongoing); digital menu tools (2027 to 2028). No mention of TH Group, menu counts or milk."
PMR-02,Thủ tướng Chính phủ. Chỉ thị 33/CT-TTg ngày 14/8/2026 về tăng cường bảo đảm an toàn thực phẩm trong cơ sở giáo dục (Thư Viện Pháp Luật).,Chỉ thị 33/CT-TTg năm 2026 tăng cường bảo đảm an toàn thực phẩm trong cơ sở giáo dục,Prime Minister of Viet Nam,2026-08-14,https://thuvienphapluat.vn/van-ban/Giao-duc/Chi-thi-33-CT-TTg-2026-bao-dam-an-toan-thuc-pham-trong-co-so-giao-duc-720132.aspx,,gov/statistics,2026-09-25,"Read through a fetch summary (Medium). Supplier listing and evaluation; certificate checks; daily disclosure of caterer, ingredients, invoices, menus and tray photos; MOET rules on meal organisation by Q4 2026."
PMR-03,"Bộ Giáo dục và Đào tạo. Quyết định 2195/QĐ-BGDĐT ngày 10/8/2022 phê duyệt Hướng dẫn công tác tổ chức bữa ăn học đường kết hợp tăng cường hoạt động thể lực cho trẻ em, học sinh trong các cơ sở giáo dục mầm non và tiểu học.",Quyết định 2195/QĐ-BGDĐT năm 2022,Ministry of Education and Training,2022-08-10,https://thuvienphapluat.vn/van-ban/The-thao-Y-te/Quyet-dinh-2195-QD-BGDDT-2022-to-chuc-bua-an-hoc-duong-trong-cac-co-so-giao-duc-mam-non-525649.aspx,,gov/statistics,2026-09-25,Read through a fetch summary (Medium). Protein 13 to 20% of energy; at least 10 foods; menus include fresh milk and dairy; no legume or animal-share rule.
PMR-04,"Sở GD&ĐT Hà Nội. Sở GDĐT tập huấn công tác tổ chức bữa ăn bán trú cho hơn 600 hiệu trưởng trường mầm non, tiểu học. 13 Sep 2026.",Sở GDĐT tập huấn công tác tổ chức bữa ăn bán trú cho hơn 600 hiệu trưởng,Hanoi Department of Education and Training,2026-09-13,https://hanoi.edu.vn/tin-tuc-su-kien/so-gddt-tap-huan-cong-tac-to-chuc-bua-an-ban-tru-cho-hon-600-hieu-truong-truong/ctfull/525/17124,,gov/statistics,2026-09-25,"625 principals (298 primary, 327 preschool); schools must publish menus; HanoiCheck software for management and disclosure."
PMR-05,"UBND phường Bồ Đề. Thông báo số 979/TB-UBND ngày 26/8/2026 kết quả lựa chọn và phân công đơn vị cung cấp thực phẩm, nguyên liệu thực phẩm, suất ăn phục vụ bữa ăn bán trú năm học 2026-2027 (posted by Ngoc Lam Primary).",Thông báo 979/TB-UBND phường Bồ Đề,"Bo De ward People's Committee, Hanoi",2026-08-26,https://quantri.longbien.shieldix.app/uploadfoldernew/data/2026/thngoclam/2026_8/31/tb-979-lua-chon-va-phan-cong-ban-tru_318202618.pdf,,gov/statistics,2026-09-25,"Ward evaluation council (Decision 2055/QĐ-UBND, 4 Aug 2026) assigns caterers (Huong Viet Sinh, Hoa Sua, 5SPRO, Hong Anh), a food supplier, Vinamilk-brand milk distributors and Lavie water to each school; cites Hanoi Guidance 02/HD-BCĐ (18 Jul 2026)."
PMR-06,Trường Tiểu học Ngọc Lâm. Thông báo số 04/TB-THNL ngày 30/8/2026 về việc tổ chức bữa ăn bán trú cho học sinh theo Nghị quyết số 84/2026/NQ-HĐND.,Thông báo 04/TB-THNL,"Ngoc Lam Primary School, Hanoi",2026-08-30,https://quantri.longbien.shieldix.app/uploadfoldernew/data/2026/thngoclam/2026_8/31/tb-04-chuan-bi-an-ban-tru_318202617.pdf,,gov/statistics,2026-09-25,"Meal VND 40,000 per pupil (city VND 28,000, parents VND 12,000); care fee VND 235,000 a month; cites Hanoi Decision 4289/QĐ-UBND (14 Aug 2026) on a 2026 to 2030 school meal model scheme."
PMR-07,Trường Tiểu học Chu Văn An (Hải Phòng). Thư mời báo giá số 01/TM-THCVA gói thầu cung cấp dịch vụ suất ăn năm học 2026-2027. 21 Aug 2026.,Thư mời báo giá gói thầu cung cấp dịch vụ suất ăn năm học 2026-2027,"Chu Van An Primary School, Gia Vien ward, Hai Phong",2026-08-21,https://thchuvanan.haiphong.edu.vn/cong-khai-noi-dung-khac/thu-moi-bao-gia-goi-thau-cung-cap-dich-vu-suat-an-nam-hoc-2026-2027/ctfull/48312/696229,,gov/statistics,2026-09-25,"Six-page scanned PDF read as images. Supplier documents, 20-day menus, processed-food clause, fixed price norm with competition on extra portion value, 45,100 meals a month for 2,157 pupils."
PMR-08,"Trường Tiểu học An Phú Tây. Công văn số 40/THAPT nhu cầu mua sắm dịch vụ cung cấp suất ăn bán trú, nước uống năm học 2026-2027. 17 Sep 2026.","CV nhu cầu mua sắm dịch vụ cung cấp suất ăn bán trú, nước uống năm học 2026-2027","An Phu Tay Primary School, Binh Chanh commune, Ho Chi Minh City",2026-09-17,https://thanphutay.hcm.edu.vn/van-ban-3-cong-khai/cv-nhu-cau-mua-sam-dich-vu-cung-cap-suat-an-ban-tru-nuoc-uong-nam-hoc-2026-2027/ct/79200/1410465,,gov/statistics,2026-09-25,"Quotes with price plan, economic norms and capability dossier; commune appraisal; cites HCMC Document 7916/UBND-VX implementing Directive 33/CT-TTg."
PMR-09,Trường Tiểu học Trần Văn Ơn. Công khai hình ảnh suất ăn và nguồn cung ứng thực phẩm tuần 02 (14/9/2026 - 18/9/2026).,Công khai hình ảnh suất ăn và nguồn cung ứng thực phẩm tuần 02,"Tran Van On Primary School, Ho Chi Minh City",2026-09-18,https://thtranvanonq12.hcm.edu.vn/thuc-don/cong-khai-hinh-anh-suat-an-va-nguon-cung-ung-thuc-pham-tuan-02-1492026-1892026/ctfull/147810/1410800,,gov/statistics,2026-09-25,"Supply-chain poster: four fresh-food suppliers, three dry-food suppliers, three ready-to-eat suppliers (including Hila Foods, which also supplied a tofu pudding snack)."
PMR-10,"Trường Tiểu học Nguyễn Bỉnh Khiêm (TP.HCM). Thực đơn bán trú tuần 2, 3, 4 năm học 2026-2027.",Thực đơn bán trú năm học 2026-2027,"Nguyen Binh Khiem Primary School, Sai Gon ward, Ho Chi Minh City",2026-09,https://thnguyenbinhkhiem.hcm.edu.vn/thuc-don-ban-tru/c/41268,,other,2026-09-25,School website; weekly menu images for 14 Sep to 2 Oct 2026.
PMR-11,Trường Tiểu học Trần Hưng Đạo (TP.HCM). Thực đơn tuần 02 và tuần 03 năm học 2026-2027.,Thực đơn tuần,"Tran Hung Dao Primary School, Cau Ong Lanh ward, Ho Chi Minh City",2026-09,https://thtranhungdao.hcm.edu.vn/thuc-don/c/112420,,other,2026-09-25,School website; weekly menu PDFs.
