record_id,indicator,value,unit,year,source,type,source_ids,evidence_label,confidence,notes
OUT-001,"Population, UN WPP 2024 medium variant",101.6,million people,2025,UN DESA World Population Prospects 2024 via Our World in Data grapher,projected (modelled),GT-12,VN-direct,Medium,"Read through OWID re-publication of WPP 2024, not the UN portal. GSO official 2025 estimate is 102.3 M (MAC-19), about 0.7 M higher than UN."
OUT-002,"Population, UN WPP 2024 medium variant",104.25,million people,2030,UN DESA World Population Prospects 2024 via Our World in Data grapher,projected (modelled),GT-12,VN-direct,Medium,"Read through OWID re-publication of WPP 2024, not the UN portal. GSO official 2025 estimate is 102.3 M (MAC-19), about 0.7 M higher than UN."
OUT-003,"Population, UN WPP 2024 medium variant",106.53,million people,2035,UN DESA World Population Prospects 2024 via Our World in Data grapher,projected (modelled),GT-12,VN-direct,Medium,"Read through OWID re-publication of WPP 2024, not the UN portal. GSO official 2025 estimate is 102.3 M (MAC-19), about 0.7 M higher than UN."
OUT-004,"Population, UN WPP 2024 medium variant",108.44,million people,2040,UN DESA World Population Prospects 2024 via Our World in Data grapher,projected (modelled),GT-12,VN-direct,Medium,"Read through OWID re-publication of WPP 2024, not the UN portal. GSO official 2025 estimate is 102.3 M (MAC-19), about 0.7 M higher than UN."
OUT-005,"Population, UN WPP 2024 medium variant",110.01,million people,2050,UN DESA World Population Prospects 2024 via Our World in Data grapher,projected (modelled),GT-12,VN-direct,Medium,"Read through OWID re-publication of WPP 2024, not the UN portal. GSO official 2025 estimate is 102.3 M (MAC-19), about 0.7 M higher than UN."
OUT-006,"Population peak, UN WPP 2024 medium variant",110.02,million people,2049,UN WPP 2024 via OWID,projected,GT-12,VN-direct,Medium,Growth 2025-2035 about 4.9 M people (+4.9%); growth nearly flat after 2040
OUT-007,Population growth 2025-2035 (arithmetic),4.9,%,2025-2035,Derived from UN WPP 2024,derived,GT-12,VN-direct,Medium,"Demand growth to 2035 comes mostly from income and diet change, not headcount"
OUT-008,Aged society threshold,reached by 2035,qualitative,2035,Wikipedia Demographics of Vietnam (citing GSO),projected,GT-13,VN-direct,Low,Secondary summary; TFR 1.91 (2024) per same page
OUT-009,Meat output implied by per-capita target x UN population,6.05-6.46,million t,2030,Decision 1520 target 58-62 kg/person x UN WPP 2030,derived,GT-12; REG-54; MAC-23,VN-direct,Medium,"Matches the 6.0-6.5 Mt carcass target in Decision 1520, so the two targets are internally consistent"
OUT-010,Industrial feed output target,30-32,million t,2030,Decision 1520/QD-TTg,target,REG-54,VN-direct,High,"Versus about 21.5 Mt in 2024 (USDA, prior lead, unverified here): implies about 5.7-6.9%/yr growth, which is above recent trend"
OUT-011,Implied feed growth 2024-2030 to hit target,5.7-6.9,%/yr,2024-2030,Arithmetic,derived,REG-54,VN-direct,Low,Base 21.5 Mt unverified (prior lead); treat as a check on target realism
OUT-012,"Maize price, actual",191,USD/t,2024,World Bank CMO April 2026 forecast table,measured,GT-14,general,High,Nominal USD
OUT-013,"Maize price, actual",203,USD/t,2025,World Bank CMO April 2026 forecast table,measured,GT-14,general,High,Nominal USD
OUT-014,"Maize price, forecast",211,USD/t,2026,World Bank CMO April 2026,forecast (modelled),GT-14,general,High,Nominal USD; April 2026 vintage; forecasts end at 2027
OUT-015,"Maize price, forecast",214,USD/t,2027,World Bank CMO April 2026,forecast (modelled),GT-14,general,High,No World Bank forecast beyond 2027 in this table
OUT-016,"Soybean meal price, actual",442,USD/t,2024,World Bank CMO April 2026 forecast table,measured,GT-14,general,High,Nominal USD
OUT-017,"Soybean meal price, actual",366,USD/t,2025,World Bank CMO April 2026 forecast table,measured,GT-14,general,High,Nominal USD
OUT-018,"Soybean meal price, forecast",359,USD/t,2026,World Bank CMO April 2026,forecast (modelled),GT-14,general,High,Nominal USD; April 2026 vintage; forecasts end at 2027
OUT-019,"Soybean meal price, forecast",363,USD/t,2027,World Bank CMO April 2026,forecast (modelled),GT-14,general,High,No World Bank forecast beyond 2027 in this table
OUT-020,"Soybeans price, actual",462,USD/t,2024,World Bank CMO April 2026 forecast table,measured,GT-14,general,High,Nominal USD
OUT-021,"Soybeans price, actual",414,USD/t,2025,World Bank CMO April 2026 forecast table,measured,GT-14,general,High,Nominal USD
OUT-022,"Soybeans price, forecast",441,USD/t,2026,World Bank CMO April 2026,forecast (modelled),GT-14,general,High,Nominal USD; April 2026 vintage; forecasts end at 2027
OUT-023,"Soybeans price, forecast",446,USD/t,2027,World Bank CMO April 2026,forecast (modelled),GT-14,general,High,No World Bank forecast beyond 2027 in this table
OUT-024,"Soybean oil price, actual",1022,USD/t,2024,World Bank CMO April 2026 forecast table,measured,GT-14,general,High,Nominal USD
OUT-025,"Soybean oil price, actual",1140,USD/t,2025,World Bank CMO April 2026 forecast table,measured,GT-14,general,High,Nominal USD
OUT-026,"Soybean oil price, forecast",1233,USD/t,2026,World Bank CMO April 2026,forecast (modelled),GT-14,general,High,Nominal USD; April 2026 vintage; forecasts end at 2027
OUT-027,"Soybean oil price, forecast",1236,USD/t,2027,World Bank CMO April 2026,forecast (modelled),GT-14,general,High,No World Bank forecast beyond 2027 in this table
OUT-028,"Rice, Thai 5% price, actual",588,USD/t,2024,World Bank CMO April 2026 forecast table,measured,GT-14,general,High,Nominal USD
OUT-029,"Rice, Thai 5% price, actual",408,USD/t,2025,World Bank CMO April 2026 forecast table,measured,GT-14,general,High,Nominal USD
OUT-030,"Rice, Thai 5% price, forecast",401,USD/t,2026,World Bank CMO April 2026,forecast (modelled),GT-14,general,High,Nominal USD; April 2026 vintage; forecasts end at 2027
OUT-031,"Rice, Thai 5% price, forecast",413,USD/t,2027,World Bank CMO April 2026,forecast (modelled),GT-14,general,High,No World Bank forecast beyond 2027 in this table
OUT-032,"Palm oil price, actual",963,USD/t,2024,World Bank CMO April 2026 forecast table,measured,GT-14,general,High,Nominal USD
OUT-033,"Palm oil price, actual",1007,USD/t,2025,World Bank CMO April 2026 forecast table,measured,GT-14,general,High,Nominal USD
OUT-034,"Palm oil price, forecast",1089,USD/t,2026,World Bank CMO April 2026,forecast (modelled),GT-14,general,High,Nominal USD; April 2026 vintage; forecasts end at 2027
OUT-035,"Palm oil price, forecast",1096,USD/t,2027,World Bank CMO April 2026,forecast (modelled),GT-14,general,High,No World Bank forecast beyond 2027 in this table
OUT-036,"Crude oil, Brent price, actual",80.7,USD/bbl,2024,World Bank CMO April 2026 forecast table,measured,GT-14,general,High,Nominal USD
OUT-037,"Crude oil, Brent price, actual",69.0,USD/bbl,2025,World Bank CMO April 2026 forecast table,measured,GT-14,general,High,Nominal USD
OUT-038,"Crude oil, Brent price, forecast",86.0,USD/bbl,2026,World Bank CMO April 2026,forecast (modelled),GT-14,general,High,Nominal USD; April 2026 vintage; forecasts end at 2027
OUT-039,"Crude oil, Brent price, forecast",70.0,USD/bbl,2027,World Bank CMO April 2026,forecast (modelled),GT-14,general,High,No World Bank forecast beyond 2027 in this table
OUT-040,"Urea, E. Europe price, actual",338,USD/t,2024,World Bank CMO April 2026 forecast table,measured,GT-14,general,High,Nominal USD
OUT-041,"Urea, E. Europe price, actual",423,USD/t,2025,World Bank CMO April 2026 forecast table,measured,GT-14,general,High,Nominal USD
