record_id,date,jurisdiction,event,instrument,status,relevance,source_ids,evidence_label,confidence,notes
MS-001,2025-03-01,Vietnam,"New Government structure: 14 ministries and 3 ministerial-level agencies; MAE, merged MOST, merged MOF operate","Resolution 176/2025/QH15 (18 Feb 2025); Decrees 29, 35, 40, 42, 55/2025",in force,"Changes which agency owns feed, food safety, biotech, standards and tax incentives",GT-04; GT-05; GT-06; GT-07; GT-08; GT-09,VN-direct,High,
MS-002,2025-04-15,Vietnam,"Revised Power Development Plan 8 approved: non-hydro renewables 28-36% of generation by 2030, 74-75% by 2050; nuclear 4.0-6.4 GW in 2030-2035",Decision 768/QD-TTg,in force,Grid carbon intensity and power price path for fermentation and drying loads,GT-11,VN-direct,High,Plan assumes GDP growth about 10%/yr 2026-2030
MS-003,2025-06-12,Vietnam,"National Assembly adopts provincial merger resolution; district level to end 1 Jul 2025 (Party Resolution 60-NQ/TW, 12 Apr 2025)",Resolution 202/2025/QH15,in force,Legal basis for 34-unit map,GT-01; GT-02,VN-direct,High,"Commune units cut by about 60-70% (Res 60 target); final count about 3,321 is agent knowledge, not verified"
MS-004,2025-07-01,Vietnam,"63 provinces reduced to 34 (28 provinces, 6 centrally governed cities); district level ends; two-tier local government",Resolution 202/2025/QH15 (12 Jun 2025); Resolution 60-NQ/TW (12 Apr 2025),in force,"All location references, provincial statistics series and licensing authorities change",GT-01; GT-02; GT-03,VN-direct,High,Pre-2025 provincial statistics must be re-aggregated to compare
MS-005,2025-10-01,Vietnam,"Law on Science, Technology and Innovation takes effect (controlled testing sandbox Arts 21-23; research risk acceptance)",Law 93/2025/QH15 (27 Jun 2025),in force,Only general legal basis found for a supervised novel-food pilot,REG-48,VN-direct,Medium,Effective date from wave 1 (REG-48 section C2); RD-08 flagged it as unverified; not re-read here
MS-006,2025-10-01,Vietnam,New Corporate Income Tax Law takes effect (applies to 2025 tax period); 10% for 15 years for high-tech and S&T firms,Law 67/2025/QH15 (14 Jun 2025); Decree 320/2025/ND-CP,in force,Tax incentive for fermentation plants that obtain high-tech status,REG-45,VN-direct,Medium,Not re-read here
MS-007,2025-11,Thailand,Biotechnology Industry Development Framework 2026-2035 (NXPO) names future food and alternative proteins as a target sub-industry; GMP precision-fermentation pilot plant; 500 M baht/yr for 10 yrs for synthetic biology,NXPO framework,adopted (implementation 2026-2035),Nearest competitor for regional PF capacity and investment,RGN-35,VN-adjacent,Medium,From wave 1; not re-read
MS-008,2025-11-28,Singapore,Food Safety and Security Act: supplying unapproved novel food becomes an offence; pre-market approval codified,FSSA 2025; FSSA (Authorisations: Administration) Regulations 2025,in force,Regional reference regulator; route for Vietnamese firms exporting or seeking reliance,REG-63; RGN-05,VN-adjacent,High,From wave 1
MS-009,2025-12,South Korea,Food Tech Industry Promotion Act in force (MAFRA lead),Food Tech Industry Promotion Act,in force,Promotion-law precedent separate from safety approval,RGN-19,VN-adjacent,Medium,Exact day not verified; wave 1 secondary
MS-010,2026-01-01,Vietnam,Circular on biofuel blending roadmap takes effect,Circular 50/2025/TT-BCT (7 Nov 2025),in force,Creates structural ethanol demand for cassava,GT-10,VN-direct,High,
MS-011,2026-01-01,Vietnam,Amended Law on Environmental Protection / Biodiversity provisions (gene-edited organism definition; genetic-resource access permits) take effect,Law 146/2025/QH15,in force,ABS and biosafety for isolated microbes and gene-edited strains,REG-43; REG-61,VN-direct,Medium,From wave 1
MS-012,2026-03,China,15th Five-Year Plan (2026-2030) adopted by the National People's Congress; biomanufacturing listed among emerging industries,15th Five-Year Plan outline,adopted (agent knowledge),"China sets price and scale for SCP, yeast protein, amino acids and textured protein imports into Vietnam",none,general,Low,Not verified: Wikipedia page could not be fetched (cache-only). Check the NPC outline text
MS-013,2026-04,World,World Bank CMO: overall commodity prices forecast +16% in 2026 on energy and fertilizer; soybean meal flat (359-363 USD/t 2026-27),CMO April 2026,published,Feed input price context,GT-14,general,High,
MS-014,2026-06-01,Vietnam,E10 gasoline mandatory nationwide for gasoline engines; E5 RON92 may continue to 31 Dec 2030,Circular 50/2025/TT-BCT Art on roadmap,in force,New competing buyer for cassava roots and chips; affects pulp availability and price,GT-10; FS-10,VN-direct,High,"Resolves the 1 Jan vs 1 Jun question: circular effective 1 Jan 2026, E10 mandate from 1 Jun 2026"
MS-015,2026-07-01,Vietnam,"New priority high-tech list and strategic technology list take effect (recombinant proteins, synthetic biology, new-generation microbial technology listed)",Decision 23/2026/QD-TTg (15 May 2026); Decision 21/2026/QD-TTg (30 Apr 2026),in force,Precision fermentation and microbial products can qualify for high-tech incentives,REG-47; REG-56,VN-direct,High,From wave 1
MS-016,2026-08,World,"Fishmeal price reaches USD 2,500/t (World Bank series), up 47% on the 2025 average",Pink Sheet Sep 2026,observed,Strengthens the case for fishmeal replacers in aquafeed,GT-15,general,High,Monthly value; could revert
MS-017,2026-10 to 2026-12,Vietnam,Revised Food Safety Law: first comments at the October 2026 National Assembly session; passage considered at the May 2027 session (v0.4; WTO notice had said approval Oct 2026),"Draft Food Safety Law (8 chapters, 71 articles); G/SPS/N/VNM/187",planned,One-off window to define new food / new food ingredient and a proportionate approval route,REG-12; REG-14; APR-07,VN-direct,Medium,"Timing per National Assembly Standing Committee, 24 September 2026 (APR-07)"
MS-018,2027,Vietnam,Entry into force of the revised Food Safety Law not before mid-2027 (WTO SPS notification had said 1 January 2027),Draft Food Safety Law,planned,Decree 15/2018 remains in force until the new law and its decree apply (Resolution 15/2026/NQ-CP),REG-06; REG-12,VN-direct,Low,Depends on vote; implementing decree timing unknown
MS-019,2027-12-31,World,End of World Bank price forecast horizon (no official 2030/2035 price forecasts found),CMO,n/a,2030/2035 price paths must be scenario assumptions,GT-14,general,High,
MS-020,2028-12-31,Vietnam,End of pilot phase of domestic carbon market,Decree 06/2022 as amended by Decree 119/2025,in force,No quota obligation for agri-food before 2029; offsets up to 30% of quotas,REG-59,VN-direct,Medium,From wave 1
MS-021,2029-01-01,Vietnam,Domestic carbon market in full operation,Decree 06/2022 as amended by Decree 119/2025,planned,Possible future price signal for low-emission protein if methods approved,REG-59,VN-direct,Medium,
MS-022,2030,Vietnam,Resolution 57 targets: R&D 2% of GDP (over 60% from society); at least 3% of state budget to S&T,Resolution 57-NQ/TW (22 Dec 2024),target,Funding pool for protein R&D programmes,REG-50,VN-direct,High,From wave 1
MS-023,2030,Vietnam,Resolution 36 biotech targets: biotech 7% of GDP; replace at least 50% of imported biotech products,Resolution 36-NQ/TW (30 Jan 2023),target,Import substitution framing for feed additives and ingredients,REG-51,VN-direct,High,From wave 1
MS-024,2030,Vietnam,Livestock strategy: meat 6.0-6.5 Mt carcass; industrial feed output 30-32 Mt (design capacity 40-45 Mt); 58-62 kg meat per person,Decision 1520/QD-TTg (6 Oct 2020),target,Feed protein demand baseline for 2030,REG-54; MAC-23,VN-direct,High,From wave 1
MS-025,2030,Vietnam,Power: non-hydro renewables 28-36% of generation; commercial electricity 500.4-557.8 TWh,Decision 768/QD-TTg (PDP8 revised),target,Energy cost and carbon footprint of bioprocessing,GT-11,VN-direct,High,
MS-026,2030-12-31,Vietnam,Last date for E5 RON92 blending; E10 only thereafter,Circular 50/2025/TT-BCT,in force,Further ethanol demand for cassava after 2030,GT-10,VN-direct,High,
MS-027,2030-2035,Vietnam,First nuclear units (4.0-6.4 GW) planned; former Ninh Thuan sites now in Khanh Hoa,Decision 768/QD-TTg,target,Low-carbon baseload for industrial bioprocessing in the south-central coast,GT-11,VN-direct,High,
MS-028,2035,Vietnam,Vietnam becomes an 'aged society'; population about 106.5 M (UN WPP 2024),Demographic projection,projected,"Protein demand shifts toward older consumers (texture, health claims)",GT-12; GT-13,VN-direct,Low to Medium,
MS-029,2035,Vietnam,NDC 3.0 2035 target,NDC 3.0,unverified,Would set the agriculture methane and emissions path relevant to feed and livestock,GT-16,VN-direct,Low,Not found in thuvienphapluat search or Climate Action Tracker (updated 28 Oct 2025). Check UNFCCC NDC registry
MS-030,2049,Vietnam,Population peaks at about 110.0 M (UN WPP 2024 medium),Projection,projected,Long-run demand ceiling from headcount,GT-12,VN-direct,Medium,
