record_id,school_week_id,province,school_en,week_start,menu_author,days,days_with_plant_protein,meets_plant_twice_weekly,days_with_fish_or_seafood,meets_fish_2_to_3_weekly,days_with_minced_or_processed_meat_or_fish,price_per_meal_vnd,source_ids,evidence_label,confidence,demand_evidence_type,notes
SMW-001,HCM-NBK-W2,Ho Chi Minh City,Nguyen Binh Khiem Primary (Sai Gon ward),2026-09-14,not stated,5,0,no,1,no,0,,PMR-10,VN-direct,High,revealed,"rules tested against Decision 3958/QĐ-BYT (AIB-39); plant days count tofu, legumes, peanuts or sesame in the protein dishes, not soups"
SMW-002,HCM-NBK-W3,Ho Chi Minh City,Nguyen Binh Khiem Primary (Sai Gon ward),2026-09-21,not stated,5,1,no,0,no,1,,PMR-10,VN-direct,High,revealed,"rules tested against Decision 3958/QĐ-BYT (AIB-39); plant days count tofu, legumes, peanuts or sesame in the protein dishes, not soups"
SMW-003,HCM-NBK-W4,Ho Chi Minh City,Nguyen Binh Khiem Primary (Sai Gon ward),2026-09-28,not stated,5,3,yes,1,no,0,,PMR-10,VN-direct,High,revealed,"rules tested against Decision 3958/QĐ-BYT (AIB-39); plant days count tofu, legumes, peanuts or sesame in the protein dishes, not soups"
SMW-004,HCM-THD-W2,Ho Chi Minh City,Tran Hung Dao Primary (Cau Ong Lanh ward),2026-09-14,not stated,5,0,no,1,no,0,,PMR-11,VN-direct,High,revealed,"rules tested against Decision 3958/QĐ-BYT (AIB-39); plant days count tofu, legumes, peanuts or sesame in the protein dishes, not soups"
SMW-005,HCM-THD-W3,Ho Chi Minh City,Tran Hung Dao Primary (Cau Ong Lanh ward),2026-09-21,not stated,5,0,no,2,yes,0,,PMR-11,VN-direct,High,revealed,"rules tested against Decision 3958/QĐ-BYT (AIB-39); plant days count tofu, legumes, peanuts or sesame in the protein dishes, not soups"
SMW-006,HCM-PL-W2,Ho Chi Minh City,Phu Lam Primary (Phu Lam ward),2026-09-14,not stated,5,0,no,1,no,2,,PMR-12,VN-direct,High,revealed,"rules tested against Decision 3958/QĐ-BYT (AIB-39); plant days count tofu, legumes, peanuts or sesame in the protein dishes, not soups"
SMW-007,HCM-PL-W3,Ho Chi Minh City,Phu Lam Primary (Phu Lam ward),2026-09-21,not stated,5,0,no,1,no,1,,PMR-12,VN-direct,High,revealed,"rules tested against Decision 3958/QĐ-BYT (AIB-39); plant days count tofu, legumes, peanuts or sesame in the protein dishes, not soups"
SMW-008,HCM-CVA-W2,Ho Chi Minh City,Chu Van An Primary (Binh Thanh ward),2026-09-14,not stated,5,0,no,2,yes,2,,PMR-13,VN-direct,High,revealed,"rules tested against Decision 3958/QĐ-BYT (AIB-39); plant days count tofu, legumes, peanuts or sesame in the protein dishes, not soups"
SMW-009,HCM-CVA-W3,Ho Chi Minh City,Chu Van An Primary (Binh Thanh ward),2026-09-21,not stated,5,0,no,2,yes,2,,PMR-13,VN-direct,High,revealed,"rules tested against Decision 3958/QĐ-BYT (AIB-39); plant days count tofu, legumes, peanuts or sesame in the protein dishes, not soups"
SMW-010,HCM-HBSG-W1,Ho Chi Minh City,Hoa Binh Primary (Sai Gon ward),2026-09-07,not stated,5,0,no,2,yes,1,,PMR-14,VN-direct,High,revealed,"rules tested against Decision 3958/QĐ-BYT (AIB-39); plant days count tofu, legumes, peanuts or sesame in the protein dishes, not soups"
SMW-011,HCM-HBSG-W2,Ho Chi Minh City,Hoa Binh Primary (Sai Gon ward),2026-09-14,not stated,5,0,no,1,no,0,,PMR-14,VN-direct,High,revealed,"rules tested against Decision 3958/QĐ-BYT (AIB-39); plant days count tofu, legumes, peanuts or sesame in the protein dishes, not soups"
SMW-012,HCM-APT-W3,Ho Chi Minh City,An Phu Tay Primary (Binh Chanh commune),2026-09-21,not stated,5,1,no,1,no,1,,PMR-15,VN-direct,High,revealed,"rules tested against Decision 3958/QĐ-BYT (AIB-39); plant days count tofu, legumes, peanuts or sesame in the protein dishes, not soups"
SMW-013,HCM-VTS-W2,Ho Chi Minh City,Vo Thi Sau Primary (Tan Thoi Hiep ward),2026-09-14,not stated,5,0,no,2,yes,1,35000,PMR-16,VN-direct,High,revealed,"rules tested against Decision 3958/QĐ-BYT (AIB-39); plant days count tofu, legumes, peanuts or sesame in the protein dishes, not soups"
SMW-014,HCM-VTS-W3,Ho Chi Minh City,Vo Thi Sau Primary (Tan Thoi Hiep ward),2026-09-21,not stated,5,0,no,2,yes,2,35000,PMR-16,VN-direct,High,revealed,"rules tested against Decision 3958/QĐ-BYT (AIB-39); plant days count tofu, legumes, peanuts or sesame in the protein dishes, not soups"
SMW-015,HCM-VTS-W4,Ho Chi Minh City,Vo Thi Sau Primary (Tan Thoi Hiep ward),2026-09-28,not stated,5,0,no,1,no,0,35000,PMR-16,VN-direct,High,revealed,"rules tested against Decision 3958/QĐ-BYT (AIB-39); plant days count tofu, legumes, peanuts or sesame in the protein dishes, not soups"
SMW-016,HCM-LTV-W2,Ho Chi Minh City,Luong The Vinh Primary (Cau Ong Lanh ward),2026-09-14,not stated,5,0,no,1,no,2,,PMR-17,VN-direct,High,revealed,"rules tested against Decision 3958/QĐ-BYT (AIB-39); plant days count tofu, legumes, peanuts or sesame in the protein dishes, not soups"
SMW-017,HCM-LTV-W3,Ho Chi Minh City,Luong The Vinh Primary (Cau Ong Lanh ward),2026-09-21,not stated,5,0,no,2,yes,1,,PMR-17,VN-direct,High,revealed,"rules tested against Decision 3958/QĐ-BYT (AIB-39); plant days count tofu, legumes, peanuts or sesame in the protein dishes, not soups"
SMW-018,HCM-LH-W2,Ho Chi Minh City,Lac Hong Primary (Binh Hung Hoa ward),2026-09-14,Tu Anh industrial catering company,5,0,no,2,yes,0,,PMR-18,VN-direct,High,revealed,"rules tested against Decision 3958/QĐ-BYT (AIB-39); plant days count tofu, legumes, peanuts or sesame in the protein dishes, not soups"
SMW-019,HCM-LH-W3,Ho Chi Minh City,Lac Hong Primary (Binh Hung Hoa ward),2026-09-21,Tu Anh industrial catering company,5,0,no,0,no,1,,PMR-18,VN-direct,High,revealed,"rules tested against Decision 3958/QĐ-BYT (AIB-39); plant days count tofu, legumes, peanuts or sesame in the protein dishes, not soups"
SMW-020,HCM-LTT-W2,Ho Chi Minh City,Ly Tu Trong Primary (Dong Hung Thuan ward),2026-09-14,not stated,5,0,no,2,yes,1,35000,PMR-19,VN-direct,High,revealed,"rules tested against Decision 3958/QĐ-BYT (AIB-39); plant days count tofu, legumes, peanuts or sesame in the protein dishes, not soups"
SMW-021,HCM-LTT-W3,Ho Chi Minh City,Ly Tu Trong Primary (Dong Hung Thuan ward),2026-09-21,not stated,5,0,no,1,no,0,35000,PMR-19,VN-direct,High,revealed,"rules tested against Decision 3958/QĐ-BYT (AIB-39); plant days count tofu, legumes, peanuts or sesame in the protein dishes, not soups"
SMW-022,HCM-NK-W2,Ho Chi Minh City,Nguyen Khuyen Primary (Dong Hung Thuan ward),2026-09-14,"school (menu staff, health officer, principal sign)",5,0,no,1,no,0,,PMR-20,VN-direct,High,revealed,"rules tested against Decision 3958/QĐ-BYT (AIB-39); plant days count tofu, legumes, peanuts or sesame in the protein dishes, not soups"
SMW-023,HCM-NK-W3,Ho Chi Minh City,Nguyen Khuyen Primary (Dong Hung Thuan ward),2026-09-21,"school (menu staff, health officer, principal sign)",5,1,no,1,no,1,,PMR-20,VN-direct,High,revealed,"rules tested against Decision 3958/QĐ-BYT (AIB-39); plant days count tofu, legumes, peanuts or sesame in the protein dishes, not soups"
SMW-024,HCM-TVO-W2,Ho Chi Minh City,Tran Van On Primary (Dong Hung Thuan ward),2026-09-14,not stated,5,0,no,1,no,1,,PMR-21,VN-direct,High,revealed,"rules tested against Decision 3958/QĐ-BYT (AIB-39); plant days count tofu, legumes, peanuts or sesame in the protein dishes, not soups"
SMW-025,HCM-TVO-W3,Ho Chi Minh City,Tran Van On Primary (Dong Hung Thuan ward),2026-09-21,not stated,5,1,no,2,yes,1,,PMR-21,VN-direct,High,revealed,"rules tested against Decision 3958/QĐ-BYT (AIB-39); plant days count tofu, legumes, peanuts or sesame in the protein dishes, not soups"
SMW-026,HN-LB-W2,Hanoi,Long Bien Primary (Long Bien ward),2026-09-14,caterer (Hoa Sua format),5,1,no,2,yes,3,40000,PMR-22,VN-direct,High,revealed,"rules tested against Decision 3958/QĐ-BYT (AIB-39); plant days count tofu, legumes, peanuts or sesame in the protein dishes, not soups"
SMW-027,HN-LB-W3,Hanoi,Long Bien Primary (Long Bien ward),2026-09-21,Hoa Sua catering company,5,1,no,2,yes,2,40000,PMR-22,VN-direct,High,revealed,"rules tested against Decision 3958/QĐ-BYT (AIB-39); plant days count tofu, legumes, peanuts or sesame in the protein dishes, not soups"
SMW-028,HN-GT-W2,Hanoi,Gia Thuy Primary (Bo De ward),2026-09-14,Hoa Sua catering company,5,1,no,2,yes,2,40000,PMR-23,VN-direct,High,revealed,"rules tested against Decision 3958/QĐ-BYT (AIB-39); plant days count tofu, legumes, peanuts or sesame in the protein dishes, not soups"
SMW-029,HN-GT-W3,Hanoi,Gia Thuy Primary (Bo De ward),2026-09-21,Hoa Sua catering company,5,1,no,1,no,3,40000,PMR-23,VN-direct,High,revealed,"rules tested against Decision 3958/QĐ-BYT (AIB-39); plant days count tofu, legumes, peanuts or sesame in the protein dishes, not soups"
SMW-030,HN-NL-W2,Hanoi,Ngoc Lam Primary (Bo De ward),2026-09-14,Hoa Sua catering company,5,1,no,2,yes,2,40000,PMR-24,VN-direct,High,revealed,"rules tested against Decision 3958/QĐ-BYT (AIB-39); plant days count tofu, legumes, peanuts or sesame in the protein dishes, not soups"
SMW-031,HN-NL-W3,Hanoi,Ngoc Lam Primary (Bo De ward),2026-09-21,Hoa Sua catering company,5,2,yes,1,no,3,40000,PMR-24,VN-direct,High,revealed,"rules tested against Decision 3958/QĐ-BYT (AIB-39); plant days count tofu, legumes, peanuts or sesame in the protein dishes, not soups"
SMW-032,HN-QT-M5W2,Hanoi,Quang Trung Primary (Hanoi),2026-05-11,not stated,5,1,no,1,no,4,,PMR-25,VN-direct,High,revealed,"rules tested against Decision 3958/QĐ-BYT (AIB-39); plant days count tofu, legumes, peanuts or sesame in the protein dishes, not soups"
SMW-033,HN-QT-M5W3,Hanoi,Quang Trung Primary (Hanoi),2026-05-18,not stated,5,1,no,1,no,2,,PMR-25,VN-direct,High,revealed,"rules tested against Decision 3958/QĐ-BYT (AIB-39); plant days count tofu, legumes, peanuts or sesame in the protein dishes, not soups"
SMW-034,HN-NTR-0316,Hanoi,Nguyen Trai Primary (Hanoi),2026-03-16,Ngoi Sao Xanh food company (Bac Ha group),5,2,yes,1,no,2,35000,PMR-26,VN-direct,High,revealed,"rules tested against Decision 3958/QĐ-BYT (AIB-39); plant days count tofu, legumes, peanuts or sesame in the protein dishes, not soups"
SMW-035,HN-NTR-0323,Hanoi,Nguyen Trai Primary (Hanoi),2026-03-23,Ngoi Sao Xanh food company (Bac Ha group),5,2,yes,1,no,1,35000,PMR-26,VN-direct,High,revealed,"rules tested against Decision 3958/QĐ-BYT (AIB-39); plant days count tofu, legumes, peanuts or sesame in the protein dishes, not soups"
SMW-036,HN-NTR-0330,Hanoi,Nguyen Trai Primary (Hanoi),2026-03-30,Ngoi Sao Xanh food company (Bac Ha group),5,2,yes,1,no,2,35000,PMR-26,VN-direct,High,revealed,"rules tested against Decision 3958/QĐ-BYT (AIB-39); plant days count tofu, legumes, peanuts or sesame in the protein dishes, not soups"
