name,type,hq,vietnam_presence,relevant_thesis,example_relevant_deals,typical_ticket,url,source_ids,evidence_label,confidence,notes
Mekong Capital (Mekong Enterprise Fund IV),PE,"Ho Chi Minh City, Vietnam",Yes (local manager),"Growth equity in consumer-driven VN companies; portfolio includes Entobel (insect feed), HUSK (biochar/organic fertiliser), Marou (chocolate), LiveSpo (probiotics)",Entobel Series B USD 25M (2022),USD 5M to 25M (Entobel USD 25M from a USD 246M fund),https://www.mekongcapital.com/our-investment/,CAP-01;CAP-02;CAP-10;CAP-47,VN-direct,High,Proparco is an LP (USD 15M). The only VN investor to lead a >USD 10M alt-protein-adjacent round found.
Dragon Capital,PE / asset manager,"Ho Chi Minh City, Vietnam",Yes,Listed and private equity; co-investor,Entobel Series B USD 5M (2022),USD 5M (single example),https://www.dragoncapital.com,CAP-02,VN-direct,Medium,No other alt-protein deal found.
VinaCapital Ventures,VC (arm of VinaCapital),"Ho Chi Minh City, Vietnam",Yes,Tech VC; has invested to bring foreign plant-based meat into VN/SEA,"INNOHAS (Korea, plant-based meat), 2024, undisclosed",not found,https://vinacapital.com,CAP-18;CAP-32,VN-direct,Medium,VinaCapital is also a founding investor in HCMC's HCM VIF venture fund (2026). Website timed out.
Ascend Vietnam Ventures (AVV),VC,"Ho Chi Minh City, Vietnam",Yes,Early-stage tech incl. agrifood supply chain,Techcoop Series A co-lead (announced Feb 2025),not found,https://avv.vc,CAP-19;CAP-20;CAP-21,VN-direct,Medium,Named among leading active funds in 2025 (Do Ventures 2026 report). Website unreachable at access.
TNB Aura,VC,Singapore,Invests in VN,SEA growth-stage tech,Techcoop Series A co-lead,not found,,CAP-19;CAP-20,VN-adjacent,Medium,
Do Ventures,VC,"Ho Chi Minh City, Vietnam",Yes,Generalist early-stage tech; co-author of the annual Vietnam Innovation and Private Capital Report,No agrifood/alt-protein deal found,not found this wave,https://doventures.vc,CAP-20;CAP-21,VN-direct,Medium,Named among leading active funds in 2025.
ThinkZone Ventures,VC / accelerator,"Hanoi and Ho Chi Minh City, Vietnam",Yes,Pre-seed to Series A tech; runs Virtual Investment Days,"Hosted Emmay (mushroom protein) pitch, May 2021; investment not confirmed",not found,https://thinkzone.vn,CAP-15;CAP-69,VN-direct,Low,Website returned metadata only.
500 Global (formerly 500 Startups),VC,"San Francisco, USA",Has invested in VN,Seed-stage,Cricket One seed (2019),not found,https://500.co,CAP-11,VN-direct,High,
Corecam Capital Partners,family office,Singapore,Invests in VN,Not stated,Cricket One pre-Series A lead (2020),'seven-figure' round,,CAP-12;CAP-14,VN-direct,Medium,
Masik Enterprises,family office / private investor,Singapore,Invests in VN,Not stated,Cricket One seed (2019) and pre-Series A (2020),not found,,CAP-11;CAP-12,VN-direct,Medium,
