record_id,item,period,value,unit,ratio_to_live_hog,role_in_model,source_ids,evidence_label,confidence,demand_evidence_type,notes
HXP-01,"Pig producer price, annual average (FAOSTAT, treated as live weight)",2019,46076,VND per kg,1.00,low hog scenario,DIE-25,VN-direct,Medium,revealed,"FAOSTAT item: meat of pig with the bone, producer price, LCU per tonne divided by 1,000. The package reads it as live weight; the level matches live-hog spot prices."
HXP-02,"Pig producer price, annual average",2020,78138,VND per kg,1.00,high hog scenario,DIE-25,VN-direct,Medium,revealed,"African swine fever year; press monthly peak about 100,000 (DIE-27; DG-179)."
HXP-03,"Pig producer price, annual average",2021,59176,VND per kg,1.00,median input,DIE-25,VN-direct,Medium,revealed,
HXP-04,"Pig producer price, annual average",2022,57975,VND per kg,1.00,median input,DIE-25,VN-direct,Medium,revealed,Value read from the package extract tools/faostat_producer_prices_vnm_extract.csv (wave 6).
HXP-05,"Pig producer price, annual average",2023,56299,VND per kg,1.00,median input,DIE-25,VN-direct,Medium,revealed,
HXP-06,"Pig producer price, annual average",2024,61051,VND per kg,1.00,median input,DIE-25,VN-direct,Medium,revealed,
HXP-07,Median of the six annual values 2019 to 2024,2019 to 2024,58576,VND per kg,1.00,median hog scenario,DIE-25,VN-direct,Medium,revealed,"Our calculation: median of 56,299; 57,975; 59,176; 61,051 (middle pair 57,975 and 59,176) and the two extremes."
HXP-08,"Live hog spot price, three regions",26 Feb 2025,72000 to 80000,VND per kg,1.00,context only,DIE-27,VN-direct,Low,revealed,Press daily report; highest since 2020. No 2025 annual average found (FAOSTAT extract ends 2024).
HXP-09,"Live hog average, Vissan management at the 2026 AGM",Q1 2026,71000 to 74000,VND per kg,1.00,"current scenario (midpoint 72,500)",AIB-15,VN-direct,Medium,revealed,Press report of the AGM.
HXP-10,"Live hog price, USDA attache",Apr 2026,65000,VND per kg,1.00,context only,COST-35,VN-direct,Medium,revealed,
HXP-11,Live hog spot price by province,24 Sep 2026,57000 to 60000,VND per kg,1.00,context and retail ratio anchor,DIE-26,VN-direct,Low,revealed,Press daily report.
HXL-01,Carcass-equivalent price (live price divided by dressing yield 0.723),2025 basis,1.38 x live,ratio,1.38,floor for lean trimming price,QNT-01; MAC-14,VN-direct,Medium,inferred,Dressing 0.723 = OECD-FAO carcass production over NSO live weight (package BLA-030). A lean trimming cannot cost less than the average carcass.
HXL-02,"Lean pork retail, C.P. tray, Bach Hoa Xanh online",24 Sep 2026,132000,VND per kg,2.20 to 2.32,ceiling for lean trimming price,COST-39; DIE-26,VN-direct,Medium,revealed,"Ratio uses live 57,000 to 60,000 on the same day (our calculation)."
HXL-03,"Shoulder lean (nac vai) at markets, about the belly price",26 Feb 2025,140000 to 160000,VND per kg,1.75 to 2.22,cross-check,DIE-27,VN-direct,Low,revealed,"Press; ratio against live 72,000 to 80,000 (our calculation)."
HXL-04,"Vissan VietGAP retail: nac vai and nac dui 32,000 per 200 g; thit vai 141,000 per kg; pork skin 11,400 per 200 g",Sep 2026,160000; 141000; 57000,VND per kg,2.7; 2.4; 1.0,premium retail cross-check; skin price for alternatives table,HXE-11; DIE-26,VN-direct,Medium,revealed,"Vissan online shop, read 25 Sep 2026."
HXL-05,Lean trimming price paid by a processor (model),model,1.5 / 1.8 / 2.2 x live,ratio,1.5 to 2.2,low / central / high lean price,HXL-01 to HXL-04,VN-direct,Low,inferred,Assumption bracketed by the carcass floor (1.38) and supermarket retail (2.2 to 2.3). No Vietnamese business-to-business trimming price was found (OQ-203).
