item,element,unit,year,value,source_ids,evidence_label,confidence,demand_evidence_type,notes
Soyabeans,Food,thousand t,2010,273,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
Soyabeans,Food,thousand t,2015,332,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
Soyabeans,Food,thousand t,2019,519,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
Soyabeans,Food,thousand t,2020,476,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
Soyabeans,Food,thousand t,2021,497,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
Soyabeans,Food,thousand t,2022,519,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
Soyabeans,Food,thousand t,2023,533,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
Soyabeans,Food supply quantity (kg/capita/yr),kg per person a year,2010,3.12,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
Soyabeans,Food supply quantity (kg/capita/yr),kg per person a year,2015,3.57,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
Soyabeans,Food supply quantity (kg/capita/yr),kg per person a year,2019,5.34,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
Soyabeans,Food supply quantity (kg/capita/yr),kg per person a year,2020,4.85,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
Soyabeans,Food supply quantity (kg/capita/yr),kg per person a year,2021,5.03,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
Soyabeans,Food supply quantity (kg/capita/yr),kg per person a year,2022,5.21,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
Soyabeans,Food supply quantity (kg/capita/yr),kg per person a year,2023,5.31,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
Soyabeans,Protein supply quantity (g/capita/day),g protein per person a day,2010,2.91,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
Soyabeans,Protein supply quantity (g/capita/day),g protein per person a day,2015,3.32,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
Soyabeans,Protein supply quantity (g/capita/day),g protein per person a day,2019,4.96,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
Soyabeans,Protein supply quantity (g/capita/day),g protein per person a day,2020,4.51,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
Soyabeans,Protein supply quantity (g/capita/day),g protein per person a day,2021,4.67,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
Soyabeans,Protein supply quantity (g/capita/day),g protein per person a day,2022,4.84,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
Soyabeans,Protein supply quantity (g/capita/day),g protein per person a day,2023,4.94,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
Pulses,Food,thousand t,2010,231,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
