move_id,class,move,what_it_involves,lead_actors,start_by,cost_scale,pays_off_in,trigger_or_signpost,related_plays,evidence_basis,source_ids,foresight_type,confidence,score_A,score_B,score_C,score_D
RM-01,no-regret,Publish a national protein and feed balance,"A yearly balance of feed protein by source and origin, with soybean-meal inclusion and feed conversion by species; aligned with the EU balance-sheet method",MAE; NSO; feed association,2028,Low,A; B; C; D,None needed,P6,Every tracked foreign target has a statistic; the two largest levers in the balance model are unmeasured,VIS-15; VIS-13; VIS-05,estimate,Medium,2,2,2,2
RM-02,no-regret,Feed-efficiency and formulation programme,"Amino acids, low-protein diets, precision feeding, by-product meals and FCR benchmarking; target soybean-meal inclusion falling 1 to 2% a year (relative)",MAE; integrators; feed mills; universities,2027,Low to medium,A; B; C; D,None needed,P3,Cuts 2050 soybean-meal need by about 3.4 Mt in the model; China achieved a comparable pace,GEO-10; GEO-11; VIS-19,estimate,Medium,2,2,2,2
RM-03,no-regret,New-food and new-feed-ingredient routes with deadlines,A defined new-food procedure with statutory timelines and reliance on reference regulators; clear aquafeed raw-material entries for microbial biomass and algal oils,MOH; MAE,2027 to 2028,Low,A; B; C; D,Food Safety Law and decree (2026 to 2027); feed-list updates,P1; P2,Needed to import as well as to make; Korea amended a rule in about nine months,REG-12; REG-14; REG2-01,estimate,Medium,2,2,2,2
RM-04,no-regret,Shared food-grade pilot and feed-trial capacity,"10,000 to 30,000 L of open, food-grade pilot fermentation plus public tank and pond trials",MOST; Ho Chi Minh City; universities; DFIs,2030,Medium,A; B; C; D,None needed,T5; P3,"Rivals put pilot capacity in designated zones (EECi, ScaleUp Bio, BioE3 hubs)",RGN-36; FTB-42; FTB-17,estimate,Medium,2,2,2,2
RM-05,no-regret,Protein-quality laboratory and open price series,"Accredited testing for protein quality, authenticity and contaminants; a public price and cost series for feed proteins",MOST; MAE; a university,2028,Low,A; B; C; D,None needed,P4; P6,Imports and domestic products need the same checks; adulteration is a listed wildcard; v0.1 found no Vietnamese lab offering amino-acid digestibility tests,RD-01,estimate,Medium,2,2,2,2
RM-06,no-regret,Residue-carbon rules and a by-product atlas,"Mapped volumes of cassava pulp, straw, stillage and brewery streams; collection contracts; feed-safety rules for side streams that match export-market rules",MAE; provinces; industry,2028,Low,A; B; C; D,None needed,P5; T4; T9,Straw must be 100% collected on 1 million ha by 2030; EU feed law bans some waste streams,NTS-32; NGF-14; NGF-30,estimate,Medium,2,2,2,2
RM-07,no-regret,Omega-3 sourcing plan for aquafeed,Qualify algal and oilseed omega-3 oils in shrimp and marine-fish feeds; track EPA plus DHA needs,Feed mills; MAE; research institutes,2028,Low,A; B; C; D,None needed,T2,Omega-3 is a tighter constraint than protein; alternatives are commercial,AQF-16; AQF-19; AQF-23,estimate,Medium,2,2,2,2
RM-08,no-regret,Climate-proof siting for new plants,"Raised sites, surface water rather than groundwater, and process designs for 40 degC cooling water in the Mekong",Provinces; MAE; investors,2027,Low,A; B; C; D,None needed,T3; T4; T6,Subsidence about 1.1 cm a year; plants built after 2035 in coastal Ca Mau or Vinh Long face flood risk in their lifetime,CLM-13; CLM-14; CLM-16,estimate,Medium,2,2,2,2
RM-09,no-regret,Process-engineering skills,Fermentation operators and senior process engineers; industry placements; links to foreign plants,MOET; MOST; universities; industry,2027,Medium,A; B; C; D,None needed,T3; T5; T7,Senior process talent is the named bottleneck; biotech graduate targets exist,ECF-41; ECF-39,estimate,Medium,2,2,2,2
RM-10,option,Reserve hub sites,"Name fermentation and feed-protein sites in the MAE biotechnology-cluster plan (due December 2026) and provincial hi-tech agriculture zones: Ho Chi Minh City with Dong Nai, Tay Ninh, the Mekong river belt, the Mekong shrimp coast",MAE; provinces,2026 to 2027,Low,A; C (D partly),Cluster plan drafting now,T4; T5,The bioeconomy map is still blank; provinces can now create hi-tech agriculture zones,HUB-09; HUB-10; HUB-26,estimate,Medium,2,0,2,1
