record_id,intervention,setting,country,effect_size,outcome_measure,study_design,follow_up,sample,source_ids,evidence_label,confidence,demand_evidence_type,notes
IEF-001,double share of vegetarian options from 25% to 50%,university cafeterias,United Kingdom,"+7.8 percentage points vegetarian sales (+40.8%) experimental; +14.9 and +14.5 pp (+61.8%, +78.8%) observational",share of meals sold that were vegetarian,field experiment (one cafeteria) plus observational (two),"same-day; checked other mealtimes, no rebound found","94,644 meals, 2017",GLB-35,general,High,tested,Little effect on total sales; biggest effect among diners who rarely chose vegetarian
IEF-002,raise meat-free options from one in three to two in three,university cafeteria,United Kingdom,-19.9 percentage points share of meat meals (95% CI -25.2 to -14.6),share of meals with meat,natural experiment,weeks; no change in other cafeterias,one cafeteria,GLB-36,general,Medium,revealed,"Study 2 in 18 worksite cafeterias: +2.3 pp, not robust, poor implementation"
IEF-003,vegetarian lunch as the default at registration,academic conferences,Denmark,"vegetarian choice 2% to 87%, 6% to 86%, 12.5% to 89%",share choosing vegetarian lunch,randomised controlled field experiments (3),immediate (registration choice),330 participants,GLB-37,general,High,tested,Men more likely to opt out; excluded from the Green 2025 meta-analysis for lack of delayed outcome
IEF-004,plant-based meal as the default on RSVP form,catered campus events,United States,risk ratio 3.52 (95% CI 2.44 to 5.09) of choosing plant-based meal,share choosing plant-based meal,randomised controlled trials (3),immediate,280 participants,GLB-38,general,High,tested,
IEF-005,"Veganuary multi-component in-store promotion (visibility, availability, price, placement)","supermarket chain, 154 stores",United Kingdom,"plant-based unit sales +57% during (IRR 1.52), +15% after (IRR 1.13); no significant change in meat sales",weekly unit sales,natural experiment with pre and post periods,two months after,"154 stores, January 2021",GLB-33,general,High,revealed,Largest rise in lower-affluence areas (+64%)
IEF-006,"placement, taste and social-norm nudges for meat and dairy alternatives",online supermarket,Netherlands,"alternatives +10% (IRR 1.10, 95% CI 0.99 to 1.23, not significant); meat -3% (not significant)",items purchased per transaction,"randomised controlled trial, pre-registered",per transaction,"8,488 transactions",GLB-34,general,High,tested,Retailer revenue unchanged
IEF-007,"10% temporary price reduction on plant-based beef, alone or with feature advert",US grocery retail,United States,+20% units with discount alone; +80% with discount plus feature,incremental unit sales vs base,econometric price and promotion model on store scanner data,short-term promotion weeks,national store sample,GLB-03,general,High,revealed,Promotional efficiency of the category is low because promotions are frequent
IEF-008,price parity for private-label vegan range (Vemondo),"Lidl Germany, all stores",Germany,vegan sales +30% or more in six months (company claim),sales value of vegan range,"before and after, no control",six months,national chain,GLB-13; GLB-14,general,Low,revealed,Whole German plant-based meat market volume +6.2% in 2024 then -1.7% in 2025 (GLB-09; GLB-08); meat sales effect not reported
IEF-009,sector protein targets plus price parity pledges by several retailers,Dutch supermarket sector,Netherlands,"plant share of protein 42.0% (2023), 42.7% (2024), 42.6% (2025)",plant share of all protein sold,"annual retailer self-assessment, validated",three years,"13 chains, about 95% of market",GLB-12,general,High,revealed,Plant-based meat volume fell 6.2% (2024) and 10.7% (2025) over the same period
IEF-010,prominent advertising of a new plant-based burger (Impossible),US households,United States,purchase-probability lift for meat-burger buyers about one fifth of that for vegan-burger buyers,probability of buying,ad exposure data merged with household scanner panel,weeks,national panel,GLB-41,general,Medium,revealed,Advertising mainly recruited existing vegan-burger buyers
IEF-011,all meat-reduction interventions with at least one day follow-up (meta-analysis),"mixed (cafeterias, online, schools, households)",mostly United States and Europe,pooled SMD 0.07 (95% CI 0.02 to 0.12); red and processed meat only 0.25; choice architecture 0.21 (3 estimates); 0.2 if weaker designs included,meat and animal product consumption,meta-analysis of randomised trials,at least one day,"112 interventions, about 87,000 subjects",GLB-39,general,High,tested,Most vegetarian-default studies lacked delayed outcomes and were excluded; North American effect 0.04
IEF-012,weekly vegetarian meal mandated in school canteens,all French school canteens,France,effect on total meat intake not measured in retrieved sources,not applicable,national regulation since 2018,not applicable,national,GLB-64,general,Medium,revealed,"Policy precedent only; retrieved studies address nutrition, emissions and children's liking"
