record_id,topic,query_string,query_url,country,count_2015_2026,country_total_2015_2026,per_10k,source_ids,evidence_label,confidence,notes
BC-001,T01 Plant-based meat / meat analogue,"""plant-based meat"" OR ""meat analogue"" OR ""meat analog"" OR ""meat substitute""",https://api.openaire.eu/graph/v1/researchProducts?search=%22plant-based+meat%22+OR+%22meat+analogue%22+OR+%22meat+analog%22+OR+%22meat+substitute%22&countryCode=VN&fromPublicationDate=2015-01-01&type=publication,VN,9,240387,0.374,BIB-01,VN-direct,Medium,"All 9 titles read: about 6 on-topic (2 reviews, extrudate texture, soy burger, meat-reduced sausage, methyl cellulose/guar gum cooking study); 3 off-topic or unclear. Top-cited item (10.1007/s00217-021-03810-1) may be a false VN tag."
BC-002,T02 Textured / extruded protein,"""textured vegetable protein"" OR ""high moisture extrusion"" OR ""extruded protein""",https://api.openaire.eu/graph/v1/researchProducts?search=%22textured+vegetable+protein%22+OR+%22high+moisture+extrusion%22+OR+%22extruded+protein%22&countryCode=VN&fromPublicationDate=2015-01-01&type=publication,VN,1,240387,0.042,BIB-01,VN-direct,Medium,"Only hit is a 2026 review on plant-based fish analogues (10.1111/jfpe.70365). A first 4-phrase version incl. ""textured protein"" OR ""texturized protein"" broke the parser and returned all 240,387 VN records; not used."
BC-003,T03 Mung bean protein,"""mung bean protein"" OR ""mungbean protein""",https://api.openaire.eu/graph/v1/researchProducts?search=%22mung+bean+protein%22+OR+%22mungbean+protein%22&countryCode=VN&fromPublicationDate=2015-01-01&type=publication,VN,1,240387,0.042,BIB-01,VN-direct,Low,"Single hit 10.22437/ifstj.v9i1.45748 (Indonesian journal, hydrocolloid/tapioca study); VN affiliation and topic not verified. Wave 1 found a VN mung bean flour sausage paper (10.1111/ijfs.17089) that this query misses because it says 'mung bean flour'."
BC-004,T04 Rice protein incl. rice bran protein,"""rice protein"" OR ""rice bran protein""",https://api.openaire.eu/graph/v1/researchProducts?search=%22rice+protein%22+OR+%22rice+bran+protein%22&countryCode=VN&fromPublicationDate=2015-01-01&type=publication,VN,1,240387,0.042,BIB-01,VN-direct,Medium,Only 10.1016/j.ifset.2021.102692 (rice protein ultrafiltration). Wave 1 found HUST rice DDG and IBT rice bran protein papers not caught here: coverage gap.
BC-005,T05 Soy protein isolate / concentrate,"""soy protein isolate"" OR ""soy protein concentrate""",https://api.openaire.eu/graph/v1/researchProducts?search=%22soy+protein+isolate%22+OR+%22soy+protein+concentrate%22&countryCode=VN&fromPublicationDate=2015-01-01&type=publication,VN,9,240387,0.374,BIB-01,VN-direct,Medium,"All 9 read: 4 aquafeed (SPC as fishmeal replacer), 1 meat analogue extrudate, 1 peanut vs soy protein, 3 other."
BC-006,T06 Mycoprotein / fungal biomass protein,"mycoprotein OR ""fungal biomass"" OR ""mycelial protein""",https://api.openaire.eu/graph/v1/researchProducts?search=mycoprotein+OR+%22fungal+biomass%22+OR+%22mycelial+protein%22&countryCode=VN&fromPublicationDate=2015-01-01&type=publication,VN,11,240387,0.458,BIB-01,VN-direct,Low,Noise: 9 of 10 titles shown are biosorption/bioremediation ('fungal biomass'). Effective VN mycoprotein count is 0 to 1.
BC-007,T07 Single cell protein,"""single cell protein""",https://api.openaire.eu/graph/v1/researchProducts?search=%22single+cell+protein%22&countryCode=VN&fromPublicationDate=2015-01-01&type=publication,VN,6,240387,0.25,BIB-01,VN-direct,Medium,All 6 read: kingfish SCP feed trial 2025; methanotroph isolation 2016; bamboo-cellulose SCP 2023 RETRACTED plus a duplicate record; 2 bioremediation papers mentioning SCP.
BC-008,T08 Aspergillus oryzae / koji,"""Aspergillus oryzae""",https://api.openaire.eu/graph/v1/researchProducts?search=%22Aspergillus+oryzae%22&countryCode=VN&fromPublicationDate=2015-01-01&type=publication,VN,23,240387,0.957,BIB-01,VN-direct,Medium,'koji' dropped: it matched the Japanese given name Koji in author fields (169 hits). Top 10 are mostly fungal genetic tools (VNU Hanoi HUS group) and enzymes; no koji-protein food product papers in top 10.
BC-009,T09 Tempeh (combined with mycoprotein),tempeh OR mycoprotein,https://api.openaire.eu/graph/v1/researchProducts?search=tempeh+OR+mycoprotein&countryCode=VN&fromPublicationDate=2015-01-01&type=publication,VN,4,240387,0.166,BIB-01,VN-direct,Low,"All 4 read: 2 Indonesian tempeh peptide papers (VN tag unverified), 1 plant/algae protein review, 1 fish analogue review. No VN tempeh production research."
BC-010,T10 Precision fermentation / recombinant food protein,"""precision fermentation"" OR ""recombinant casein"" OR ""recombinant ovalbumin""",https://api.openaire.eu/graph/v1/researchProducts?search=%22precision+fermentation%22+OR+%22recombinant+casein%22+OR+%22recombinant+ovalbumin%22&countryCode=VN&fromPublicationDate=2015-01-01&type=publication,VN,1,240387,0.042,BIB-01,VN-direct,Medium,Single hit off-topic (unculturable microbes in fermented foods). Effective count 0.
